lord_id,lord_name,lord_key,slave_id,slave_name,attribute,attribute_value,expression_value,expression
0>>1198,H_CANT_S7,Overlay,0>>151,HS7A,HKICK,0.0000E+00,0.0000E+00,0.6506*HKICK
0>>1198,H_CANT_S7,Overlay,0>>157,HS7B,HKICK,0.0000E+00,-0.0000E+00,-1*HKICK
0>>1198,H_CANT_S7,Overlay,0>>165,HS7C,HKICK,0.0000E+00,0.0000E+00,0.6506*HKICK
0>>1202,H_CANT_TRIM_S7,Overlay,0>>151,HS7A,HKICK,0.0000E+00,-0.0000E+00,-1*HKICK
0>>1202,H_CANT_TRIM_S7,Overlay,0>>165,HS7C,HKICK,0.0000E+00,-0.0000E+00,-1*HKICK
0>>1232,V09AW,Overlay,0>>180,SEX_09AW,VKICK,0.0000E+00,0.0000E+00,VKICK
0>>1231,H09AW,Overlay,0>>182,HKICK_9AW,HKICK,0.0000E+00,0.0000E+00,HKICK
0>>1233,V10W,Overlay,0>>190,SEX_10W,VKICK,0.0000E+00,0.0000E+00,VKICK
0>>1234,H10AW,Overlay,0>>194,SK_Q10AW,HKICK,0.0000E+00,0.0000E+00,HKICK
0>>1235,H11W,Overlay,0>>212,B11W,HKICK,0.0000E+00,0.0000E+00,HKICK
0>>1236,H12W,Overlay,0>>218,B12W,HKICK,0.0000E+00,0.0000E+00,0.5*HKICK
0>>1236,H12W,Overlay,0>>234,B13W,HKICK,0.0000E+00,0.0000E+00,0.5*HKICK
0>>1326,RAW_XQUNEING_1,Group,0>>232,SEX_12W,K2,1.6632E+00,-0.0000E+00,-0.008718*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>238,SEX_13W,K2,-2.3583E+00,-0.0000E+00,-0.105840*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>254,SEX_14W,K2,1.4994E+00,-0.0000E+00,-0.009968*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>273,SEX_15W,K2,-3.4656E+00,-0.0000E+00,-0.383800*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>279,SEX_16W,K2,1.4267E+00,0.0000E+00,0.066543*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>287,SEX_17W,K2,-2.8269E+00,-0.0000E+00,-0.207791*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>295,SEX_18W,K2,8.5652E-01,0.0000E+00,0.028691*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>303,SEX_19W,K2,-1.6304E+00,-0.0000E+00,-0.168483*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>309,SEX_20W,K2,1.2829E+00,-0.0000E+00,-0.052207*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>317,SEX_21W,K2,-3.7855E+00,-0.0000E+00,-0.210718*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>325,SEX_22W,K2,2.6980E+00,-0.0000E+00,-0.002880*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>333,SEX_23W,K2,-3.8314E+00,-0.0000E+00,-0.268823*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>345,SEX_24W,K2,2.5187E+00,0.0000E+00,0.041727*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>353,SEX_25W,K2,-1.6952E+00,-0.0000E+00,-0.176657*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>361,SEX_26W,K2,1.3344E+00,0.0000E+00,0.042453*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>371,SEX_27W,K2,-2.9797E+00,-0.0000E+00,-0.517422*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>379,SEX_28W,K2,8.0779E-01,0.0000E+00,0.023079*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>389,SEX_29W,K2,-3.2016E+00,-0.0000E+00,-0.104011*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>399,SEX_30W,K2,4.8591E-02,0.0000E+00,0.015781*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>407,SEX_31W,K2,-2.5642E+00,-0.0000E+00,-0.193214*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>415,SEX_32W,K2,5.8720E-01,-0.0000E+00,-0.010219*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>463,SEX_37W,K2,-8.9663E-01,-0.0000E+00,-0.142163*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>471,SEX_38W,K2,1.9680E+00,0.0000E+00,0.041854*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>479,SEX_39W,K2,-2.0560E+00,-0.0000E+00,-0.198567*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>487,SEX_40W,K2,-2.1123E-01,0.0000E+00,0.037903*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>495,SEX_41W,K2,-3.5783E+00,-0.0000E+00,-0.345836*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>503,SEX_42W,K2,1.8269E+00,-0.0000E+00,-0.088400*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>511,SEX_43W,K2,-2.3560E+00,-0.0000E+00,-0.141880*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>527,SEX_44W,K2,-1.6714E+00,-0.0000E+00,-0.118268*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>537,SEX_45W,K2,1.6601E+00,0.0000E+00,0.030733*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>551,SEX_47W,K2,3.6506E+00,0.0000E+00,0.124211*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>960,SEX_11E,K2,-1.8519E+00,-0.0000E+00,-0.299336*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>948,SEX_12E,K2,1.7368E+00,-0.0000E+00,-0.017833*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>942,SEX_13E,K2,-2.2534E+00,-0.0000E+00,-0.127284*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>924,SEX_14E,K2,1.7694E+00,0.0000E+00,0.026340*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>907,SEX_15E,K2,-1.8345E+00,-0.0000E+00,-0.339006*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>901,SEX_16E,K2,1.4568E+00,0.0000E+00,0.080437*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>893,SEX_17E,K2,-2.9836E+00,-0.0000E+00,-0.160206*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>885,SEX_18E,K2,8.3209E-01,0.0000E+00,0.028656*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>871,SEX_19E,K2,-1.8777E+00,-0.0000E+00,-0.272068*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>865,SEX_20E,K2,1.6952E+00,-0.0000E+00,-0.019886*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>857,SEX_21E,K2,-3.7749E+00,-0.0000E+00,-0.306936*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>849,SEX_22E,K2,3.0763E+00,0.0000E+00,0.017515*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>841,SEX_23E,K2,-2.6970E+00,-0.0000E+00,-0.155499*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>831,SEX_24E,K2,2.1794E+00,0.0000E+00,0.047523*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>823,SEX_25E,K2,-8.7606E-01,-0.0000E+00,-0.153570*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>815,SEX_26E,K2,1.3819E+00,0.0000E+00,0.016908*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>805,SEX_27E,K2,-2.5024E+00,-0.0000E+00,-0.385302*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>797,SEX_28E,K2,7.4012E-01,0.0000E+00,0.035022*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>787,SEX_29E,K2,-2.6507E+00,-0.0000E+00,-0.168287*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>777,SEX_30E,K2,-2.2905E-01,0.0000E+00,0.030902*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>769,SEX_31E,K2,-3.8103E+00,-0.0000E+00,-0.279730*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>761,SEX_32E,K2,9.8800E-01,-0.0000E+00,-0.037340*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>753,SEX_33E,K2,-7.7256E-01,-0.0000E+00,-0.074816*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>743,SEX_34E,K2,3.7472E-01,-0.0000E+00,-0.008723*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>737,SEX_35E,K2,-1.0010E+00,-0.0000E+00,-0.161988*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>725,SEX_36E,K2,8.2482E-01,0.0000E+00,0.054143*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>717,SEX_37E,K2,-1.4119E+00,-0.0000E+00,-0.126699*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>709,SEX_38E,K2,1.8048E+00,0.0000E+00,0.048859*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>699,SEX_39E,K2,-2.4064E+00,-0.0000E+00,-0.145321*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>691,SEX_40E,K2,-2.2583E-02,0.0000E+00,0.027101*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>683,SEX_41E,K2,-3.7815E+00,-0.0000E+00,-0.408904*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>675,SEX_42E,K2,1.8009E+00,-0.0000E+00,-0.033550*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>667,SEX_43E,K2,-2.4064E+00,-0.0000E+00,-0.117695*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>651,SEX_44E,K2,-1.3789E+00,-0.0000E+00,-0.152509*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>641,SEX_45E,K2,1.7695E+00,0.0000E+00,0.033837*COMMAND
0>>1326,RAW_XQUNEING_1,Group,0>>627,SEX_47E,K2,3.4405E+00,-0.0000E+00,-0.191595*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>232,SEX_12W,K2,1.6632E+00,0.0000E+00,0.084563*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>238,SEX_13W,K2,-2.3583E+00,-0.0000E+00,-0.040778*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>254,SEX_14W,K2,1.4994E+00,0.0000E+00,0.130463*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>273,SEX_15W,K2,-3.4656E+00,-0.0000E+00,-0.097362*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>279,SEX_16W,K2,1.4267E+00,0.0000E+00,0.406018*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>287,SEX_17W,K2,-2.8269E+00,-0.0000E+00,-0.086020*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>295,SEX_18W,K2,8.5652E-01,0.0000E+00,0.076375*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>303,SEX_19W,K2,-1.6304E+00,-0.0000E+00,-0.036177*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>309,SEX_20W,K2,1.2829E+00,0.0000E+00,0.108757*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>317,SEX_21W,K2,-3.7855E+00,-0.0000E+00,-0.080888*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>325,SEX_22W,K2,2.6980E+00,0.0000E+00,0.132549*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>333,SEX_23W,K2,-3.8314E+00,-0.0000E+00,-0.102021*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>345,SEX_24W,K2,2.5187E+00,0.0000E+00,0.156350*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>353,SEX_25W,K2,-1.6952E+00,-0.0000E+00,-0.069659*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>361,SEX_26W,K2,1.3344E+00,0.0000E+00,0.137571*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>371,SEX_27W,K2,-2.9797E+00,-0.0000E+00,-0.135676*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>379,SEX_28W,K2,8.0779E-01,0.0000E+00,0.197188*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>389,SEX_29W,K2,-3.2016E+00,-0.0000E+00,-0.038892*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>399,SEX_30W,K2,4.8591E-02,0.0000E+00,0.078345*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>407,SEX_31W,K2,-2.5642E+00,-0.0000E+00,-0.067591*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>415,SEX_32W,K2,5.8720E-01,0.0000E+00,0.107317*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>463,SEX_37W,K2,-8.9663E-01,-0.0000E+00,-0.018300*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>471,SEX_38W,K2,1.9680E+00,0.0000E+00,0.145363*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>479,SEX_39W,K2,-2.0560E+00,-0.0000E+00,-0.099269*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>487,SEX_40W,K2,-2.1123E-01,0.0000E+00,0.119469*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>495,SEX_41W,K2,-3.5783E+00,-0.0000E+00,-0.110277*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>503,SEX_42W,K2,1.8269E+00,0.0000E+00,0.132849*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>511,SEX_43W,K2,-2.3560E+00,-0.0000E+00,-0.050502*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>527,SEX_44W,K2,-1.6714E+00,-0.0000E+00,-0.046792*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>537,SEX_45W,K2,1.6601E+00,0.0000E+00,0.177340*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>551,SEX_47W,K2,3.6506E+00,0.0000E+00,0.414574*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>960,SEX_11E,K2,-1.8519E+00,-0.0000E+00,-0.120223*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>948,SEX_12E,K2,1.7368E+00,0.0000E+00,0.087926*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>942,SEX_13E,K2,-2.2534E+00,-0.0000E+00,-0.045489*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>924,SEX_14E,K2,1.7694E+00,0.0000E+00,0.152538*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>907,SEX_15E,K2,-1.8345E+00,0.0000E+00,0.001280*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>901,SEX_16E,K2,1.4568E+00,0.0000E+00,0.207804*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>893,SEX_17E,K2,-2.9836E+00,-0.0000E+00,-0.071010*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>885,SEX_18E,K2,8.3209E-01,0.0000E+00,0.108180*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>871,SEX_19E,K2,-1.8777E+00,-0.0000E+00,-0.042678*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>865,SEX_20E,K2,1.6952E+00,0.0000E+00,0.182959*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>857,SEX_21E,K2,-3.7749E+00,-0.0000E+00,-0.106090*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>849,SEX_22E,K2,3.0763E+00,0.0000E+00,0.125952*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>841,SEX_23E,K2,-2.6970E+00,-0.0000E+00,-0.064529*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>831,SEX_24E,K2,2.1794E+00,0.0000E+00,0.117499*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>823,SEX_25E,K2,-8.7606E-01,-0.0000E+00,-0.068688*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>815,SEX_26E,K2,1.3819E+00,0.0000E+00,0.149930*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>805,SEX_27E,K2,-2.5024E+00,-0.0000E+00,-0.078892*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>797,SEX_28E,K2,7.4012E-01,0.0000E+00,0.140486*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>787,SEX_29E,K2,-2.6507E+00,-0.0000E+00,-0.065182*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>777,SEX_30E,K2,-2.2905E-01,0.0000E+00,0.099376*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>769,SEX_31E,K2,-3.8103E+00,-0.0000E+00,-0.045479*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>761,SEX_32E,K2,9.8800E-01,0.0000E+00,0.130196*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>753,SEX_33E,K2,-7.7256E-01,-0.0000E+00,-0.021463*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>743,SEX_34E,K2,3.7472E-01,0.0000E+00,0.070712*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>737,SEX_35E,K2,-1.0010E+00,-0.0000E+00,-0.042555*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>725,SEX_36E,K2,8.2482E-01,0.0000E+00,0.173577*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>717,SEX_37E,K2,-1.4119E+00,-0.0000E+00,-0.049512*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>709,SEX_38E,K2,1.8048E+00,0.0000E+00,0.157368*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>699,SEX_39E,K2,-2.4064E+00,-0.0000E+00,-0.062340*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>691,SEX_40E,K2,-2.2583E-02,0.0000E+00,0.144323*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>683,SEX_41E,K2,-3.7815E+00,-0.0000E+00,-0.138514*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>675,SEX_42E,K2,1.8009E+00,0.0000E+00,0.121203*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>667,SEX_43E,K2,-2.4064E+00,-0.0000E+00,-0.045330*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>651,SEX_44E,K2,-1.3789E+00,-0.0000E+00,-0.051179*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>641,SEX_45E,K2,1.7695E+00,0.0000E+00,0.142769*COMMAND
0>>1327,RAW_XQUNEING_2,Group,0>>627,SEX_47E,K2,3.4405E+00,0.0000E+00,0.299675*COMMAND
0>>1237,V13W,Overlay,0>>238,SEX_13W,VKICK,0.0000E+00,0.0000E+00,VKICK
0>>1215,SK_Q14W,Overlay,0>>254,SEX_14W,A1,0.0000E+00,-0.0000E+00,-0.272*K1
0>>1238,H14W,Overlay,0>>256,B15W,HKICK,0.0000E+00,0.0000E+00,HKICK
0>>1239,V15W,Overlay,0>>273,SEX_15W,VKICK,0.0000E+00,0.0000E+00,VKICK
0>>1240,H16W,Overlay,0>>275,B16W,HKICK,0.0000E+00,0.0000E+00,0.5*HKICK
0>>1240,H16W,Overlay,0>>283,B17W,HKICK,0.0000E+00,0.0000E+00,0.5*HKICK
0>>1241,V17W,Overlay,0>>287,SEX_17W,VKICK,0.0000E+00,0.0000E+00,VKICK
0>>1242,H18W,Overlay,0>>291,B18W,HKICK,0.0000E+00,0.0000E+00,HKICK
0>>1216,SK_Q18W,Overlay,0>>295,SEX_18W,A1,0.0000E+00,-0.0000E+00,-0.272*K1
0>>1243,V19W,Overlay,0>>303,SEX_19W,VKICK,0.0000E+00,0.0000E+00,VKICK
0>>1244,H20W,Overlay,0>>305,B20W,HKICK,0.0000E+00,0.0000E+00,0.5*HKICK
0>>1244,H20W,Overlay,0>>313,B21W,HKICK,0.0000E+00,0.0000E+00,0.5*HKICK
0>>1217,SK_Q20W,Overlay,0>>309,SEX_20W,A1,0.0000E+00,-0.0000E+00,-0.272*K1
