lord_id,lord_name,lord_key,variable,step,observation_index,dx,dpx,dy,dpy,dz,dpz
0>>1198,H_CANT_S7,Overlay,HKICK,1e-06,151,0.03577584923237555,0.6505999999999765,-2.4890029273749725e-09,0.0,7.941258761690051e-06,0.0
0>>1198,H_CANT_S7,Overlay,HKICK,1e-06,157,1.181626820035385,-0.34940000000002075,-8.220782724260162e-08,0.0,0.0002622889717918131,0.0
0>>1198,H_CANT_S7,Overlay,HKICK,1e-06,165,0.5662512194334066,0.30119999999996927,-3.9395028038347046e-08,0.0,0.00012569234542070262,0.0
0>>1198,H_CANT_S7,Overlay,HKICK,1e-06,1177,1.9427969314896607,0.24468910391487386,0.0045730574284503535,-0.0010869513361751702,-0.026653745470331478,-0.0002565454735990345
0>>1202,H_CANT_TRIM_S7,Overlay,HKICK,1e-06,151,-0.05498900896461917,-1.0000000000000109,3.825661575723727e-09,0.0,-1.2206062549591223e-05,0.0
0>>1202,H_CANT_TRIM_S7,Overlay,HKICK,1e-06,165,-3.773245815136793,-2.000000000000008,2.6251125839066303e-07,0.0,-0.0008375578078312351,0.0
0>>1202,H_CANT_TRIM_S7,Overlay,HKICK,1e-06,1177,-12.91342003720351,-1.62434575241209,-0.03023723289573364,0.007247807963875214,0.17699662169866717,0.0017037626789132227
0>>1232,V09AW,Overlay,VKICK,1e-06,180,1.8025294798440505e-08,0.00012282335852585938,0.13597257177751926,0.9998980984081506,-9.921515068929757e-05,0.0
0>>1232,V09AW,Overlay,VKICK,1e-06,1177,-0.11247252791244354,-0.018491498959003275,8.79078156717242,-0.18153968762047065,0.05389552132898821,0.0006010154994398696
0>>1231,H09AW,Overlay,HKICK,1e-06,182,0.03199353027839337,1.0000000000000244,4.238146292245837e-09,0.0,-5.8258477794552455e-06,0.0
0>>1231,H09AW,Overlay,HKICK,1e-06,1177,-1.2856205165097694,1.229809313566736,0.10979260510254472,0.01617315263316302,-0.09387573711070428,-0.0008031361724080517
0>>1233,V10W,Overlay,VKICK,1e-06,190,1.3023870176764873e-08,-6.0034669509961835e-05,0.13597248350112787,1.0000408157281682,3.179453835627788e-05,0.0
0>>1233,V10W,Overlay,VKICK,1e-06,1177,-0.13250329225836505,-0.018837023116140793,11.291416788933374,-0.04212127168774392,0.060499432351075834,0.0006939616268376901
0>>1234,H10AW,Overlay,HKICK,1e-06,194,0.07598461052612908,0.9999999999999701,0.0,-5.421010862427522e-14,3.1158164264834254e-05,0.0
0>>1234,H10AW,Overlay,HKICK,1e-06,1177,-4.429475913201339,1.3417295352469096,0.1850179309999863,0.022434516979438855,-0.09085473504875106,-0.000735380159341153
0>>1235,H11W,Overlay,HKICK,1e-06,212,3.2847099260443744,0.9997166167694872,1.4251398889122968e-05,4.1346740728464074e-05,-0.08332640882358686,0.0
0>>1235,H11W,Overlay,HKICK,1e-06,1177,-7.422706311574533,1.0040336625046202,0.19613719357491033,0.02274956183503929,-0.13155475813713563,-0.0007751732853701621
0>>1236,H12W,Overlay,HKICK,1e-06,218,1.642466495340887,0.49987761230612004,-9.474837581180395e-06,1.1677923737610577e-05,-0.04146365819044989,0.0
0>>1236,H12W,Overlay,HKICK,1e-06,234,4.062566619639327,0.449323638987008,0.014542081089438316,0.0019911415719074243,-0.39327299392272286,0.0
0>>1236,H12W,Overlay,HKICK,1e-06,1177,-3.930394490450043,-0.7188908012101151,-0.020431907946476802,-0.0016663828597703566,-0.9086195044872994,-0.004454536696633731
