girder,member_index,member_name,member_key,girder_parameter,scibmad_property,coefficient
GIRDER_4AB,11,GIRDER_4AB_START,Marker,x_offset,x_offset,0.9992150576787483
GIRDER_4AB,11,GIRDER_4AB_START,Marker,x_offset,y_offset,0.0
GIRDER_4AB,11,GIRDER_4AB_START,Marker,x_offset,z_offset,0.03961399381857689
GIRDER_4AB,11,GIRDER_4AB_START,Marker,x_offset,x_rot,0.0
GIRDER_4AB,11,GIRDER_4AB_START,Marker,x_offset,y_rot,0.0
GIRDER_4AB,11,GIRDER_4AB_START,Marker,x_offset,tilt,0.0
GIRDER_4AB,12,VX4A,Kicker,x_offset,x_offset,0.9992150576787483
GIRDER_4AB,12,VX4A,Kicker,x_offset,y_offset,0.0
GIRDER_4AB,12,VX4A,Kicker,x_offset,z_offset,0.03961399381857689
GIRDER_4AB,12,VX4A,Kicker,x_offset,x_rot,0.0
GIRDER_4AB,12,VX4A,Kicker,x_offset,y_rot,0.0
GIRDER_4AB,12,VX4A,Kicker,x_offset,tilt,0.0
GIRDER_4AB,14,DET_S4C,Marker,x_offset,x_offset,0.9992150576787483
GIRDER_4AB,14,DET_S4C,Marker,x_offset,y_offset,0.0
GIRDER_4AB,14,DET_S4C,Marker,x_offset,z_offset,0.03961399381857689
GIRDER_4AB,14,DET_S4C,Marker,x_offset,x_rot,0.0
GIRDER_4AB,14,DET_S4C,Marker,x_offset,y_rot,0.0
GIRDER_4AB,14,DET_S4C,Marker,x_offset,tilt,0.0
GIRDER_4AB,16,QX4A,Quadrupole,x_offset,x_offset,0.9992150576787483
GIRDER_4AB,16,QX4A,Quadrupole,x_offset,y_offset,0.0
GIRDER_4AB,16,QX4A,Quadrupole,x_offset,z_offset,0.03961399384078135
GIRDER_4AB,16,QX4A,Quadrupole,x_offset,x_rot,0.0
GIRDER_4AB,16,QX4A,Quadrupole,x_offset,y_rot,0.0
GIRDER_4AB,16,QX4A,Quadrupole,x_offset,tilt,0.0
GIRDER_4AB,18,DET_X4A,Marker,x_offset,x_offset,0.9992150576787483
GIRDER_4AB,18,DET_X4A,Marker,x_offset,y_offset,0.0
GIRDER_4AB,18,DET_X4A,Marker,x_offset,z_offset,0.03961399384078135
GIRDER_4AB,18,DET_X4A,Marker,x_offset,x_rot,0.0
GIRDER_4AB,18,DET_X4A,Marker,x_offset,y_rot,0.0
GIRDER_4AB,18,DET_X4A,Marker,x_offset,tilt,0.0
GIRDER_4AB,20,HX4A,Kicker,x_offset,x_offset,0.9992150576787483
GIRDER_4AB,20,HX4A,Kicker,x_offset,y_offset,0.0
GIRDER_4AB,20,HX4A,Kicker,x_offset,z_offset,0.03961399384078135
GIRDER_4AB,20,HX4A,Kicker,x_offset,x_rot,0.0
GIRDER_4AB,20,HX4A,Kicker,x_offset,y_rot,0.0
GIRDER_4AB,20,HX4A,Kicker,x_offset,tilt,0.0
GIRDER_4AB,22,DQX4B,SBend,x_offset,x_offset,0.9999975251182013
GIRDER_4AB,22,DQX4B,SBend,x_offset,y_offset,0.0
GIRDER_4AB,22,DQX4B,SBend,x_offset,z_offset,0.0022248049791340203
GIRDER_4AB,22,DQX4B,SBend,x_offset,x_rot,0.0
GIRDER_4AB,22,DQX4B,SBend,x_offset,y_rot,0.0
GIRDER_4AB,22,DQX4B,SBend,x_offset,tilt,0.0
GIRDER_4AB,24,HX4B,Kicker,x_offset,x_offset,0.9993814323205895
GIRDER_4AB,24,HX4B,Kicker,x_offset,y_offset,0.0
GIRDER_4AB,24,HX4B,Kicker,x_offset,z_offset,-0.03516749540466435
GIRDER_4AB,24,HX4B,Kicker,x_offset,x_rot,0.0
GIRDER_4AB,24,HX4B,Kicker,x_offset,y_rot,0.0
GIRDER_4AB,24,HX4B,Kicker,x_offset,tilt,0.0
GIRDER_4AB,26,DET_X4B,Marker,x_offset,x_offset,0.9993814323205895
GIRDER_4AB,26,DET_X4B,Marker,x_offset,y_offset,0.0
GIRDER_4AB,26,DET_X4B,Marker,x_offset,z_offset,-0.03516749540466435
GIRDER_4AB,26,DET_X4B,Marker,x_offset,x_rot,0.0
GIRDER_4AB,26,DET_X4B,Marker,x_offset,y_rot,0.0
GIRDER_4AB,26,DET_X4B,Marker,x_offset,tilt,0.0
GIRDER_4AB,28,VX4B,Kicker,x_offset,x_offset,0.9993814323205895
GIRDER_4AB,28,VX4B,Kicker,x_offset,y_offset,0.0
GIRDER_4AB,28,VX4B,Kicker,x_offset,z_offset,-0.03516749540466435
GIRDER_4AB,28,VX4B,Kicker,x_offset,x_rot,0.0
GIRDER_4AB,28,VX4B,Kicker,x_offset,y_rot,0.0
GIRDER_4AB,28,VX4B,Kicker,x_offset,tilt,0.0
GIRDER_4AB,30,QX4B,Quadrupole,x_offset,x_offset,0.9993814323205895
GIRDER_4AB,30,QX4B,Quadrupole,x_offset,y_offset,0.0
GIRDER_4AB,30,QX4B,Quadrupole,x_offset,z_offset,-0.03516749540466435
GIRDER_4AB,30,QX4B,Quadrupole,x_offset,x_rot,0.0
GIRDER_4AB,30,QX4B,Quadrupole,x_offset,y_rot,0.0
