girder,member_id,member_index,member_name,member_key
GIRDER_4AB,0>>11,11,GIRDER_4AB_START,Marker
GIRDER_4AB,0>>12,12,VX4A,Kicker
GIRDER_4AB,0>>14,14,DET_S4C,Marker
GIRDER_4AB,0>>16,16,QX4A,Quadrupole
GIRDER_4AB,0>>18,18,DET_X4A,Marker
GIRDER_4AB,0>>20,20,HX4A,Kicker
GIRDER_4AB,0>>22,22,DQX4B,SBend
GIRDER_4AB,0>>24,24,HX4B,Kicker
GIRDER_4AB,0>>26,26,DET_X4B,Marker
GIRDER_4AB,0>>28,28,VX4B,Kicker
GIRDER_4AB,0>>30,30,QX4B,Quadrupole
GIRDER_4AB,0>>31,31,GIRDER_4AB_END,Marker
GIRDER_4CD,0>>33,33,GIRDER_4CD_START,Marker
GIRDER_4CD,0>>34,34,QX4C,Quadrupole
GIRDER_4CD,0>>36,36,VX4C#1,Kicker
GIRDER_4CD,0>>37,37,DET_X4C,Marker
GIRDER_4CD,0>>38,38,VX4C#2,Kicker
GIRDER_4CD,0>>40,40,HX4C,Kicker
GIRDER_4CD,0>>42,42,DQX4D,SBend
GIRDER_4CD,0>>44,44,HX4D,Kicker
GIRDER_4CD,0>>46,46,QX4D,Quadrupole
GIRDER_4CD,0>>48,48,DET_X4D,Marker
GIRDER_4CD,0>>50,50,DET_IX4D,Marker
GIRDER_4CD,0>>52,52,VX4D,Kicker
GIRDER_4CD,0>>53,53,GIRDER_4CD_END,Marker
GIRDER_5AB,0>>61,61,GIRDER_5AB_START,Marker
GIRDER_5AB,0>>62,62,VX5A,Kicker
GIRDER_5AB,0>>64,64,DET_IX5A,Marker
GIRDER_5AB,0>>66,66,QX5A,Quadrupole
GIRDER_5AB,0>>68,68,DET_X5A,Marker
GIRDER_5AB,0>>70,70,HX5A,Kicker
GIRDER_5AB,0>>72,72,DQX5B,SBend
GIRDER_5AB,0>>74,74,HX5B,Kicker
GIRDER_5AB,0>>76,76,DET_X5B,Marker
GIRDER_5AB,0>>78,78,VX5B,Kicker
GIRDER_5AB,0>>80,80,QX5B,Quadrupole
GIRDER_5AB,0>>81,81,GIRDER_5AB_END,Marker
GIRDER_5CD,0>>83,83,GIRDER_5CD_START,Marker
GIRDER_5CD,0>>84,84,QX5C,Quadrupole
GIRDER_5CD,0>>86,86,VX5C#1,Kicker
GIRDER_5CD,0>>87,87,DET_X5C,Marker
GIRDER_5CD,0>>88,88,VX5C#2,Kicker
GIRDER_5CD,0>>90,90,HX5C,Kicker
GIRDER_5CD,0>>92,92,DQX5D,SBend
GIRDER_5CD,0>>94,94,HX5D,Kicker
GIRDER_5CD,0>>96,96,QX5D,Quadrupole
GIRDER_5CD,0>>98,98,DET_X5D,Marker
GIRDER_5CD,0>>100,100,DET_S6A,Marker
GIRDER_5CD,0>>102,102,VX5D,Kicker
GIRDER_5CD,0>>103,103,GIRDER_5CD_END,Marker
GIRDER_6AB,0>>107,107,GIRDER_6AB_START,Marker
GIRDER_6AB,0>>108,108,VX6A,Kicker
GIRDER_6AB,0>>110,110,DET_S6C,Marker
GIRDER_6AB,0>>112,112,QX6A,Quadrupole
GIRDER_6AB,0>>114,114,DET_X6A,Marker
GIRDER_6AB,0>>116,116,HX6A,Kicker
GIRDER_6AB,0>>118,118,DQX6B,SBend
GIRDER_6AB,0>>120,120,HX6B,Kicker
GIRDER_6AB,0>>122,122,DET_X6B,Marker
GIRDER_6AB,0>>124,124,VX6B,Kicker
GIRDER_6AB,0>>126,126,QX6B,Quadrupole
GIRDER_6AB,0>>127,127,GIRDER_6AB_END,Marker
GIRDER_6CD,0>>129,129,GIRDER_6CD_START,Marker
GIRDER_6CD,0>>130,130,QX6C,Quadrupole
GIRDER_6CD,0>>132,132,VX6C#1,Kicker
GIRDER_6CD,0>>133,133,DET_X6C,Marker
GIRDER_6CD,0>>134,134,VX6C#2,Kicker
GIRDER_6CD,0>>136,136,HX6C,Kicker
GIRDER_6CD,0>>138,138,DQX6D,SBend
GIRDER_6CD,0>>140,140,HX6D,Kicker
GIRDER_6CD,0>>142,142,QX6D,Quadrupole
GIRDER_6CD,0>>144,144,DET_X6D,Marker
GIRDER_6CD,0>>146,146,DET_S7A,Marker
GIRDER_6CD,0>>148,148,VX6D,Kicker
GIRDER_6CD,0>>149,149,GIRDER_6CD_END,Marker
GIRDER_1AB,0>>1003,1003,GIRDER_1AB_START,Marker
GIRDER_1AB,0>>1004,1004,VX1A,Kicker
GIRDER_1AB,0>>1006,1006,DET_S1C,Marker
GIRDER_1AB,0>>1008,1008,QX1A,Quadrupole
GIRDER_1AB,0>>1010,1010,DET_X1A,Marker
GIRDER_1AB,0>>1012,1012,HX1A,Kicker
GIRDER_1AB,0>>1014,1014,DQX1B,SBend
GIRDER_1AB,0>>1016,1016,HX1B,Kicker
GIRDER_1AB,0>>1018,1018,DET_X1B,Marker
GIRDER_1AB,0>>1020,1020,VX1B,Kicker
GIRDER_1AB,0>>1022,1022,QX1B,Quadrupole
GIRDER_1AB,0>>1023,1023,GIRDER_1AB_END,Marker
GIRDER_1CD,0>>1025,1025,GIRDER_1CD_START,Marker
GIRDER_1CD,0>>1026,1026,QX1C,Quadrupole
GIRDER_1CD,0>>1028,1028,VX1C#1,Kicker
GIRDER_1CD,0>>1029,1029,DET_X1C,Marker
GIRDER_1CD,0>>1030,1030,VX1C#2,Kicker
GIRDER_1CD,0>>1032,1032,HX1C,Kicker
GIRDER_1CD,0>>1034,1034,DQX1D,SBend
GIRDER_1CD,0>>1036,1036,HX1D,Kicker
GIRDER_1CD,0>>1038,1038,QX1D,Quadrupole
GIRDER_1CD,0>>1040,1040,DET_X1D,Marker
GIRDER_1CD,0>>1042,1042,DET_S2A,Marker
GIRDER_1CD,0>>1044,1044,VX1D,Kicker
GIRDER_1CD,0>>1045,1045,GIRDER_1CD_END,Marker
GIRDER_2AB,0>>1063,1063,GIRDER_2AB_START,Marker
