girder,parameter,step,observation_index,dx,dpx,dy,dpy,dz,dpz
GIRDER_4AB,x_offset,1e-05,11,0.0,0.0,0.0,0.0,0.0,0.0
GIRDER_4AB,x_offset,1e-05,12,0.0,0.0,0.0,0.0,0.0,0.0
GIRDER_4AB,x_offset,1e-05,14,0.0,0.0,0.0,0.0,0.0,0.0
GIRDER_4AB,x_offset,1e-05,16,0.12055454534989228,0.5903490712964546,0.0,0.0,6.903000882767326e-13,0.0
GIRDER_4AB,x_offset,1e-05,18,0.1294097814194934,0.5903490712964546,0.0,0.0,6.903000882767326e-13,0.0
GIRDER_4AB,x_offset,1e-05,20,0.2637141951417772,0.5903490712964546,0.0,0.0,6.903000882767326e-13,0.0
GIRDER_4AB,x_offset,1e-05,22,1.3291449138615532,0.43864574375158816,0.0,0.0,-0.06372416823109131,0.0
GIRDER_4AB,x_offset,1e-05,24,1.5016423525935247,0.43864574375158816,0.0,0.0,-0.06372416823109131,0.0
GIRDER_4AB,x_offset,1e-05,26,1.551209321637931,0.43864574375158816,0.0,0.0,-0.06372416823109131,0.0
GIRDER_4AB,x_offset,1e-05,28,1.6841189819959408,0.43864574375158816,0.0,0.0,-0.06372416823109131,0.0
GIRDER_4AB,x_offset,1e-05,30,1.7998124762786267,0.04995464905349562,0.0,0.0,-0.06372416823075737,0.0
GIRDER_4AB,x_offset,1e-05,31,1.7998124762786267,0.04995464905349562,0.0,0.0,-0.06372416823075737,0.0
GIRDER_4AB,x_offset,1e-05,1177,1.5642929932149898,-0.10395192929356699,3.180814051247597e-16,2.2064734647733598e-17,-0.07310594578973505,-0.0007747600719901974
GIRDER_4AB,y_offset,1e-05,11,0.0,0.0,0.0,0.0,0.0,0.0
GIRDER_4AB,y_offset,1e-05,12,0.0,0.0,0.0,0.0,0.0,0.0
GIRDER_4AB,y_offset,1e-05,14,0.0,0.0,0.0,0.0,0.0,0.0
GIRDER_4AB,y_offset,1e-05,16,0.0,0.0,-0.12570527217045943,-0.641374892326891,0.0,0.0
GIRDER_4AB,y_offset,1e-05,18,0.0,0.0,-0.13532589555556065,-0.641374892326891,0.0,0.0
GIRDER_4AB,y_offset,1e-05,20,0.0,0.0,-0.2812386835629295,-0.641374892326891,0.0,0.0
GIRDER_4AB,y_offset,1e-05,22,0.0,0.0,0.00861363464858956,0.8752601714871457,0.0,0.0
GIRDER_4AB,y_offset,1e-05,24,0.0,0.0,0.3528096970990938,0.8752601714871457,0.0,0.0
GIRDER_4AB,y_offset,1e-05,26,0.0,0.0,0.45171409648092975,0.8752601714871457,0.0,0.0
GIRDER_4AB,y_offset,1e-05,28,0.0,0.0,0.7169179284516932,0.8752601714871457,0.0,0.0
GIRDER_4AB,y_offset,1e-05,30,0.0,0.0,1.0736281730947383,0.8358874915959005,0.0,0.0
GIRDER_4AB,y_offset,1e-05,31,0.0,0.0,1.0736281730947383,0.8358874915959005,0.0,0.0
GIRDER_4AB,y_offset,1e-05,1177,5.346895479542771e-16,3.970466940254532e-17,0.1929280492504587,-1.3846469261373957,-2.6056189295420368e-18,0.0
GIRDER_4AB,z_offset,1e-05,11,0.0,0.0,0.0,0.0,0.0,0.0
GIRDER_4AB,z_offset,1e-05,12,0.0,0.0,0.0,0.0,0.0,0.0
GIRDER_4AB,z_offset,1e-05,14,0.0,0.0,0.0,0.0,0.0,0.0
GIRDER_4AB,z_offset,1e-05,16,-0.004779398568003863,-0.02340445561623286,0.0,0.0,2.7443867491039328e-14,0.0
GIRDER_4AB,z_offset,1e-05,18,-0.0051304654022473655,-0.02340445561623286,0.0,0.0,2.7443867491039328e-14,0.0
GIRDER_4AB,z_offset,1e-05,20,-0.010454979054940491,-0.02340445561623286,0.0,0.0,2.7443867491039328e-14,0.0
GIRDER_4AB,z_offset,1e-05,22,0.022093984930124374,-0.01739016005897598,0.0,0.0,-0.00027199410394143604,0.0
GIRDER_4AB,z_offset,1e-05,24,0.015255304486931968,-0.01739016005897598,0.0,0.0,-0.00027199410394143604,0.0
GIRDER_4AB,z_offset,1e-05,26,0.013290216400267653,-0.01739016005897598,0.0,0.0,-0.00027199410394143604,0.0
GIRDER_4AB,z_offset,1e-05,28,0.008020997902397851,-0.01739016005897598,0.0,0.0,-0.00027199410394143604,0.0
GIRDER_4AB,z_offset,1e-05,30,0.003434316253199439,-0.0019804577045660168,0.0,0.0,-0.0002719941039563438,0.0
