index,bmad_name,scibmad_name,name_match,bmad_key,scibmad_kind,bmad_length,scibmad_length,length_error,local_R_max,local_R_fro,local_R_relative_fro,local_R_row,local_R_column,vec0_max,orbit_out_max,cumulative_R_max
"1","IP_L0","ip_l0","true","Marker","Marker","0.0","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","0.0"
"2","SECTOR_4","sector_4","true","Marker","Marker","0.0","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","0.0"
"3","HS4B#2","hs4b!s2","true","SBend","SBend","0.02500000000002274","0.02500000000002274","0.0","4.163336342344337e-17","5.887846720064156e-17","2.403453011328983e-17","1","2","0.0","0.0","4.163336342344337e-17"
"4","D001#1","d001!s1","true","Drift","Drift","0.291","0.291","0.0","1.6543612251060553e-24","1.6543612251060553e-24","6.660551880858104e-25","5","6","0.0","0.0","1.2407709188295415e-24"
"5","UNDS4B#1","unds4b!s1","true","Drift","Drift","0.7419999999999773","0.7419999999999773","0.0","3.3306690738754696e-16","4.710277376051325e-16","1.7675951931375146e-16","1","2","0.0","0.0","2.220446049250313e-16"
"6","LS_4B","ls_4b","true","Photon_Fork","Marker","0.0","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","2.220446049250313e-16"
"7","UNDS4B#2","unds4b!s2","true","Drift","Drift","0.7420000000000226","0.7420000000000226","0.0","3.3306690738754696e-16","4.710277376051325e-16","1.7675951931374973e-16","1","2","0.0","0.0","2.220446049250313e-16"
"8","D002","d002","true","Drift","Drift","0.044","0.044","0.0","3.618915179919496e-25","3.618915179919496e-25","1.4769394532656788e-25","5","6","0.0","0.0","2.220446049250313e-16"
"9","HS4C","hs4c","true","SBend","SBend","0.11","0.11","0.0","5.169878828456423e-25","5.169878828456423e-25","2.1063506610456864e-25","5","6","0.0","0.0","2.220446049250313e-16"
"10","D003","d003","true","Drift","Drift","0.2119","0.2119","0.0","0.0","0.0","0.0","1","1","0.0","0.0","4.440892098500626e-16"
"11","GIRDER_4AB_START","girder_4ab_start","true","Marker","Marker","0.0","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","4.440892098500626e-16"
"12","VX4A","vx4a","true","Kicker","Kicker","0.0762","0.0762","0.0","3.101927297073854e-25","3.101927297073854e-25","1.2651327884078578e-25","5","6","0.0","0.0","4.440892098500626e-16"
"13","D004","d004","true","Drift","Drift","0.1119","0.1119","0.0","3.101927297073854e-25","3.101927297073854e-25","1.26372195680614e-25","5","6","0.0","0.0","4.440892098500626e-16"
"14","DET_S4C","det_s4c","true","Marker","Marker","0.0","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","4.440892098500626e-16"
"15","D005","d005","true","Drift","Drift","0.04","0.04","0.0","1.550963648536927e-25","1.550963648536927e-25","6.330094780603171e-26","5","6","0.0","0.0","4.440892098500626e-16"
"16","QX4A","qx4a","true","Quadrupole","Quadrupole","0.4","0.4","0.0","3.3306690738754696e-16","6.568167990716596e-16","2.454258356375207e-16","2","1","0.0","0.0","1.1102230246251565e-15"
"17","D006","d006","true","Drift","Drift","0.015","0.015","0.0","4.3943970041879595e-25","4.3943970041879595e-25","1.7939377931733266e-25","5","6","0.0","0.0","1.1102230246251565e-15"
"18","DET_X4A","det_x4a","true","Marker","Marker","0.0","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","1.1102230246251565e-15"
"19","D007","d007","true","Drift","Drift","0.0585","0.0585","0.0","2.0679515313825692e-25","2.0679515313825692e-25","8.437565569733153e-26","5","6","0.0","0.0","1.1102230246251565e-15"
"20","HX4A","hx4a","true","Kicker","Kicker","0.169","0.169","0.0","1.8611563782443123e-24","1.8611563782443123e-24","7.562226908117498e-25","5","6","0.0","0.0","1.1102230246251565e-15"
"21","D008","d008","true","Drift","Drift","0.08975","0.08975","0.0","4.1359030627651384e-25","4.1359030627651384e-25","1.6862131137513814e-25","5","6","0.0","0.0","1.1102230246251565e-15"
"22","DQX4B","dqx4b","true","SBend","SBend","2.3475","2.3475","0.0","4.289901767151605e-13","5.460878210311216e-13","9.841752900256116e-14","1","2","1.3552527156068805e-18","1.3552527156068805e-18","2.7755575615628914e-13"
"23","D009","d009","true","Drift","Drift","0.22425","0.22425","0.0","8.271806125530277e-25","8.271806125530277e-25","3.348998256923204e-25","5","6","0.0","0.0","3.1175062531474396e-13"
"24","HX4B","hx4b","true","Kicker","Kicker","0.169","0.169","0.0","1.8611563782443123e-24","1.8611563782443123e-24","7.562226908117498e-25","5","6","0.0","0.0","3.375077994860476e-13"
"25","D010","d010","true","Drift","Drift","0.113","0.113","0.0","3.101927297073854e-25","3.101927297073854e-25","1.2636700712163365e-25","5","6","0.0","0.0","3.5438318946034997e-13"
"26","DET_X4B","det_x4b","true","Marker","Marker","0.0","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","3.5438318946034997e-13"
"27","D011","d011","true","Drift","Drift","0.035","0.035","0.0","4.1359030627651384e-25","4.1359030627651384e-25","1.6881307300509334e-25","5","6","0.0","0.0","3.597122599785507e-13"
"28","VX4B","vx4b","true","Kicker","Kicker","0.268","0.268","0.0","4.549493369041652e-24","4.549493369041652e-24","1.8354809183814322e-24","5","6","0.0","0.0","4.005684672847565e-13"
"29","D012","d012","true","Drift","Drift","0.059","0.059","0.0","5.169878828456423e-26","5.169878828456423e-26","2.1093707618132954e-26","5","6","0.0","0.0","4.1033842990145786e-13"
"30","QX4B","qx4b","true","Quadrupole","Quadrupole","0.362","0.362","0.0","1.1102230246251565e-15","1.7806883670196607e-15","6.817935979120868e-16","3","3","0.0","0.0","4.4231285301066237e-13"
"31","GIRDER_4AB_END","girder_4ab_end","true","Marker","Marker","0.0","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","4.4231285301066237e-13"
"32","D013","d013","true","Drift","Drift","0.367","0.367","0.0","2.481541837659083e-24","2.481541837659083e-24","9.910815099264402e-25","5","6","0.0","0.0","5.677680547933051e-13"
"33","GIRDER_4CD_START","girder_4cd_start","true","Marker","Marker","0.0","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","5.677680547933051e-13"
"34","QX4C","qx4c","true","Quadrupole","Quadrupole","0.362","0.362","0.0","1.1102230246251565e-15","1.7806883670196607e-15","6.817935979120868e-16","3","3","0.0","0.0","7.49678097378137e-13"
"35","D014","d014","true","Drift","Drift","0.106","0.106","0.0","2.0679515313825692e-25","2.0679515313825692e-25","8.426611288371997e-26","5","6","0.0","0.0","8.204548151979907e-13"
"36","VX4C#1","vx4c!s1","true","Kicker","Kicker","0.07600000000000073","0.07600000000000073","0.0","2.7755575615628914e-17","3.925231146709438e-17","1.6009284859291715e-17","1","2","0.0","0.0","8.713030297258229e-13"
"37","DET_X4C","det_x4c","true","Marker","Marker","0.0","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","8.713030297258229e-13"
"38","VX4C#2","vx4c!s2","true","Kicker","Kicker","0.19199999999999928","0.19199999999999928","0.0","2.7755575615628914e-16","3.925231146709438e-16","1.592713153865286e-16","1","2","0.0","0.0","1.000088900582341e-12"
"39","D015","d015","true","Drift","Drift","0.099","0.099","0.0","0.0","0.0","0.0","1","1","0.0","0.0","1.0662581928500003e-12"
"40","HX4C","hx4c","true","Kicker","Kicker","0.169","0.169","0.0","1.8611563782443123e-24","1.8611563782443123e-24","7.562226908117498e-25","5","6","0.0","0.0","1.1790568521519162e-12"
"41","D016","d016","true","Drift","Drift","0.22625","0.22625","0.0","2.481541837659083e-24","2.481541837659083e-24","1.0045511249021382e-24","5","6","0.0","0.0","1.3302692281058626e-12"
"42","DQX4D","dqx4d","true","SBend","SBend","2.3475","2.3475","0.0","4.289901767151605e-13","5.460878210311216e-13","9.841752900256116e-14","1","2","1.3552527156068805e-18","1.3552527156068805e-18","1.6830981053317373e-12"
"43","D017","d017","true","Drift","Drift","0.08975","0.08975","0.0","4.1359030627651384e-25","4.1359030627651384e-25","1.6862131137513814e-25","5","6","0.0","0.0","1.765698698363849e-12"
"44","HX4D","hx4d","true","Kicker","Kicker","0.169","0.169","0.0","1.8611563782443123e-24","1.8611563782443123e-24","7.562226908117498e-25","5","6","0.0","0.0","1.9202417433916708e-12"
"45","D018","d018","true","Drift","Drift","0.0735","0.0735","0.0","1.0339757656912846e-25","1.0339757656912846e-25","4.217392860079256e-26","5","6","0.0","0.0","1.98596694644948e-12"
"46","QX4D","qx4d","true","Quadrupole","Quadrupole","0.4","0.4","0.0","3.3306690738754696e-16","6.568167990716596e-16","2.454258356375207e-16","2","1","0.0","0.0","2.0961010704922955e-12"
"47","D019","d019","true","Drift","Drift","0.024","0.024","0.0","2.8434333556510326e-25","2.8434333556510326e-25","1.160715383163739e-25","5","6","0.0","0.0","2.0872192862952943e-12"
"48","DET_X4D","det_x4d","true","Marker","Marker","0.0","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","2.0872192862952943e-12"
"49","D020","d020","true","Drift","Drift","0.08","0.08","0.0","3.101927297073854e-25","3.101927297073854e-25","1.2650078933030669e-25","5","6","0.0","0.0","2.05702122002549e-12"
"50","DET_IX4D","det_ix4d","true","Marker","Marker","0.0","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","2.05702122002549e-12"
"51","D021","d021","true","Drift","Drift","0.0249","0.0249","0.0","2.8434333556510326e-25","2.8434333556510326e-25","1.1607068710443848e-25","5","6","0.0","0.0","2.0481394358284888e-12"
"52","VX4D","vx4d","true","Kicker","Kicker","0.0762","0.0762","0.0","3.101927297073854e-25","3.101927297073854e-25","1.2651327884078578e-25","5","6","0.0","0.0","2.0197177263980848e-12"
"53","GIRDER_4CD_END","girder_4cd_end","true","Marker","Marker","0.0","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","2.0197177263980848e-12"
"54","D022","d022","true","Drift","Drift","0.4299","0.4299","0.0","0.0","0.0","0.0","1","1","0.0","0.0","1.8562928971732617e-12"
"55","DET_S5A","det_s5a","true","Marker","Marker","0.0","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","1.8562928971732617e-12"
"56","D023#1","d023!s1","true","Drift","Drift","1.7589999999999777","1.7589999999999777","0.0","2.220446049250313e-15","3.1401849173675502e-15","8.994688223055192e-16","1","2","0.0","0.0","1.4370726830748026e-12"
"57","SECTOR_5","sector_5","true","Marker","Marker","0.0","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","1.4370726830748026e-12"
"58","D023#2","d023!s2","true","Drift","Drift","1.7740000000000222","1.7740000000000222","0.0","2.220446049250313e-15","3.1401849173675502e-15","8.955831917550478e-16","1","2","0.0","0.0","2.710276447714932e-12"
"59","DET_S5C","det_s5c","true","Marker","Marker","0.0","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","2.710276447714932e-12"
"60","D024","d024","true","Drift","Drift","0.3919","0.3919","0.0","4.549493369041652e-24","4.549493369041652e-24","1.811530814752962e-24","5","6","0.0","0.0","2.9913849175500218e-12"
"61","GIRDER_5AB_START","girder_5ab_start","true","Marker","Marker","0.0","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","2.9913849175500218e-12"
"62","VX5A","vx5a","true","Kicker","Kicker","0.0762","0.0762","0.0","3.101927297073854e-25","3.101927297073854e-25","1.2651327884078578e-25","5","6","0.0","0.0","3.0460078903615795e-12"
"63","D025","d025","true","Drift","Drift","0.1119","0.1119","0.0","3.101927297073854e-25","3.101927297073854e-25","1.26372195680614e-25","5","6","0.0","0.0","3.126388037344441e-12"
"64","DET_IX5A","det_ix5a","true","Marker","Marker","0.0","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","3.126388037344441e-12"
"65","D026","d026","true","Drift","Drift","0.04","0.04","0.0","1.550963648536927e-25","1.550963648536927e-25","6.330094780603171e-26","5","6","0.0","0.0","3.154809746774845e-12"
"66","QX5A","qx5a","true","Quadrupole","Quadrupole","0.4","0.4","0.0","3.3306690738754696e-16","6.568167990716596e-16","2.454258356375207e-16","2","1","0.0","0.0","3.851585717029593e-12"
"67","D027","d027","true","Drift","Drift","0.015","0.015","0.0","4.3943970041879595e-25","4.3943970041879595e-25","1.7939377931733266e-25","5","6","0.0","0.0","3.894218281175199e-12"
"68","DET_X5A","det_x5a","true","Marker","Marker","0.0","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","3.894218281175199e-12"
"69","D028","d028","true","Drift","Drift","0.0585","0.0585","0.0","2.0679515313825692e-25","2.0679515313825692e-25","8.437565569733153e-26","5","6","0.0","0.0","4.0598635564492724e-12"
"70","HX5A","hx5a","true","Kicker","Kicker","0.169","0.169","0.0","1.8611563782443123e-24","1.8611563782443123e-24","7.562226908117498e-25","5","6","0.0","0.0","4.53814763545779e-12"
"71","D029","d029","true","Drift","Drift","0.08975","0.08975","0.0","4.1359030627651384e-25","4.1359030627651384e-25","1.6862131137513814e-25","5","6","0.0","0.0","4.792610752701876e-12"
"72","DQX5B","dqx5b","true","SBend","SBend","2.3475","2.3475","0.0","4.289901767151605e-13","5.460878210311216e-13","9.841752900256116e-14","1","2","1.3552527156068805e-18","1.3552527156068805e-18","4.60786964140425e-12"
"73","D030","d030","true","Drift","Drift","0.23325","0.23325","0.0","4.1359030627651384e-25","4.1359030627651384e-25","1.6733700912054738e-25","5","6","0.0","0.0","3.90176779774265e-12"
"74","HX5B","hx5b","true","Kicker","Kicker","0.169","0.169","0.0","1.8611563782443123e-24","1.8611563782443123e-24","7.562226908117498e-25","5","6","0.0","0.0","3.7410075037769275e-12"
"75","D031","d031","true","Drift","Drift","0.104","0.104","0.0","3.101927297073854e-25","3.101927297073854e-25","1.2640798517481366e-25","5","6","0.0","0.0","3.924860436654853e-12"
"76","DET_X5B","det_x5b","true","Marker","Marker","0.0","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","3.924860436654853e-12"
"77","D032","d032","true","Drift","Drift","0.035","0.035","0.0","4.1359030627651384e-25","4.1359030627651384e-25","1.6881307300509334e-25","5","6","0.0","0.0","3.987032926033862e-12"
"78","VX5B","vx5b","true","Kicker","Kicker","0.268","0.268","0.0","4.549493369041652e-24","4.549493369041652e-24","1.8354809183814322e-24","5","6","0.0","0.0","4.460432023734029e-12"
