column,control,relative_2norm
"1","H01W","0.00037334832774940223"
"2","HB01","0.00026578476939768925"
"3","H02W","0.0002665214066983707"
"4","HB02","0.0003145356935916312"
"5","H03W","0.00022774756015708447"
"6","HB03","0.0005314998610233495"
"7","H04W","0.00021730773351573917"
"8","HB04","0.0005085340208996084"
"9","HB05","0.0003108024963456923"
"10","HB06","0.00023802028464175675"
"11","H08W","0.00019781582480485357"
"12","H10W","0.000660610622557582"
"13","H12W","0.000201886905230468"
"14","H14W","0.0006507392979637534"
"15","H16W","0.00020353512424314208"
"16","H18W","0.0005237770542588472"
"17","H20W","0.0006453554931200417"
"18","H22W","0.00020042343636987345"
"19","H24W","0.0006623715101681957"
"20","H26W","0.00037652581050016514"
"21","H28W","0.00048160816364951035"
"22","H30W","0.0006242624179886352"
"23","H32W","0.00033679718727807234"
"24","H34W","0.0006582845793027619"
"25","H36W","0.0004991837286136331"
"26","H38W","0.0004263603578215845"
"27","H40W","0.0006771533417555373"
"28","H42W","0.00021555573352237848"
"29","H44W","0.0006062874707469554"
"30","H46W","0.0006304356157267883"
"31","H47W","0.0006807379746127401"
"32","H49W","0.000626451912369408"
"33","H49E","0.0006407590998784034"
"34","H47E","0.0006754735444531686"
"35","H46E","0.0006630857145323558"
"36","H44E","0.0005804924394275856"
"37","H42E","0.00024174315313486887"
"38","H40E","0.0006771334214445896"
"39","H38E","0.00041286115815639053"
"40","H36E","0.0005877900973068217"
"41","H34E","0.00063566759592373"
"42","H32E","0.0002968613058551766"
"43","H30E","0.0006278374398716542"
"44","H28E","0.0004732899442209069"
"45","H26E","0.000451619692173556"
"46","H24E","0.0006629661090697653"
"47","H22E","0.00023912504041972147"
"48","H20E","0.0006359249577819932"
"49","H18E","0.0005495588309277699"
"50","H16E","0.00021089813629891082"
"51","H14E","0.0005986647641769766"
"52","H12E","0.0002489588582778377"
"53","H10E","0.0006603559329777327"
"54","H08E","0.00018724463082547374"
"55","H04E","0.0001847258658717929"
"56","H03E","0.0002894174247581786"
"57","H02E","0.00033670042639825817"
"58","H01E","0.00036832405792297176"
"59","V01W","0.0007164911283840788"
"60","V02W","0.0003490032957870748"
"61","V04W","0.0027234369835665855"
"62","V05W","0.003133653969395035"
"63","V06W","0.0028274271008165283"
"64","V07W","0.002214722485917508"
"65","V08W","0.0008566078642932472"
"66","V09W","0.0010769026955948068"
"67","V10W","0.0009415296982460137"
"68","V11W","0.0028282572124900696"
"69","V13W","0.0032302540899727915"
"70","V15W","0.0012744207468243203"
"71","V16W","0.0008606336087109748"
"72","V17W","0.002587994508166692"
"73","V19W","0.0019960425254862474"
"74","V21W","0.0029569780380369753"
"75","V23W","0.0023177959646232854"
"76","V25W","0.0028344699877629353"
"77","V27W","0.0002732356281087312"
"78","V29W","0.003224806404016153"
"79","V31W","0.002250747800587971"
"80","V33W","0.0006217083319066547"
"81","V35W","0.002676892928815629"
"82","V37W","0.0032836251861544257"
"83","V39W","0.0009694793023281189"
"84","V41W","0.0027880801359998135"
"85","V43W","0.0032476038320095454"
"86","V45W","0.0009242840974856245"
"87","V47W","0.003199695481436758"
"88","V48W","0.0026814179948363424"
"89","V49W","0.0019890374010900834"
"90","V49E","0.0017742133586834347"
"91","V48E","0.0025670540221948437"
"92","V47E","0.0032359112690220266"
"93","V45E","0.0006765324501901404"
"94","V43E","0.0031933847131021993"
"95","V41E","0.0029619842591912093"
"96","V39E","0.0006638720236139956"
"97","V37E","0.0033209006426065325"
"98","V35E","0.0028232883170923686"
"99","V34E","0.0020347510693958996"
"100","V33E","0.0012046669212224844"
"101","V31E","0.0015400952124928328"
"102","V29E","0.0034680127447102096"
"103","V27E","0.0008845589076994535"
"104","V25E","0.003285929298983052"
"105","V23E","0.0016081371475268286"
"106","V21E","0.003382181379539367"
"107","V19E","0.001293629662441468"
"108","V17E","0.0031083695902342644"
"109","V15E","0.0005149400165208322"
"110","V13E","0.0032624420188426193"
"111","V11E","0.00302885188793551"
"112","V09E","0.0009930799339969785"
"113","V08E","0.0007017316542753314"
"114","V07E","0.0022046275646753657"
"115","V06E","0.003228410405313897"
"116","V05E","0.003542456655144229"
"117","V04E","0.0031957342615922223"
"118","V02E","0.000266291202388654"
"119","V01E","0.0006702255705238885"
