index,name,bmad_key,scibmad_kind,bmad_length_m,scibmad_length_m,length_error_m,length_relative,length_relative_percent,local_R_max,bmad_local_R_max_scale,local_R_max_relative,local_R_max_relative_percent,local_R_fro,bmad_local_R_fro_scale,local_R_fro_relative,local_R_fro_relative_percent,local_R_row,local_R_col,vec0_max,orbit_out_max,bmad_orbit_out_max_scale,orbit_out_max_relative,orbit_out_max_relative_percent,bmad_affine_residual,cumulative_R_max,bmad_cumulative_R_max_scale,cumulative_R_max_relative,cumulative_R_max_relative_percent
"1","IP_L0","Marker","Marker","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","2.449489742783178","0.0","0.0","1","1","0.0","0.0","0.00238956895","0.0","0.0","0.0","0.0","1.0","0.0","0.0"
"2","CLEO_SOL#3","Solenoid","Solenoid","0.622301","0.622301","0.0","0.0","0.0","4.6685146377454e-8","1.0","4.6685146377454e-8","4.6685146377454e-6","1.517105816833639e-7","2.602223015119177","5.830037656338838e-8","5.830037656338838e-6","2","3","8.688126728162817e-13","7.71246413087956e-12","0.0023878687","3.2298526844794944e-9","3.2298526844794945e-7","1.040244500103869e-10","4.6685146377454e-8","1.0","4.6685146377454e-8","4.6685146377454e-6"
"3","DET_00W","Marker","Marker","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","2.449489742783178","0.0","0.0","1","1","0.0","0.0","0.0023878687","0.0","0.0","0.0","4.6685146377454e-8","1.0","4.6685146377454e-8","4.6685146377454e-6"
"4","CLEO_SOL#4","Solenoid","Solenoid","0.015654999999999974","0.015655","2.42861286636753e-17","1.5513336738214844e-15","1.5513336738214845e-13","4.75239485819845e-8","1.0","4.75239485819845e-8","4.75239485819845e-6","1.5264135679890868e-7","2.4495895057671375","6.231303507773071e-8","6.231303507773071e-6","3","4","2.2597836946446017e-14","4.50050662969409e-12","0.00238778283","1.88480567543661e-9","1.88480567543661e-7","1.3271464201040917e-10","7.395154844047624e-8","1.0","7.395154844047624e-8","7.3951548440476245e-6"
"5","Q00W\CLEO_SOL","Sol_Quad","Solenoid","1.117044","1.117044000000091","9.103828801926284e-14","8.149928563177712e-14","8.149928563177712e-12","9.144894385615387e-5","1.5653916","5.8419212072016914e-5","0.0058419212072016915","0.00014108827592178712","3.455681276332926","4.0827919197312694e-5","0.004082791919731269","2","1","6.638526971412231e-8","1.934556662346737e-7","0.00550520021","3.514053237941617e-5","0.003514053237941617","1.3551726602868686e-10","9.155850550812694e-5","2.314790847827761","3.955368390800707e-5","0.003955368390800707"
"6","Q00W#1","Quadrupole","Quadrupole","0.407756","0.4077560000001048","1.0480505352461478e-13","2.570288445163646e-13","2.5702884451636462e-11","2.7108119181606938e-5","1.0700039","2.533459848287183e-5","0.002533459848287183","2.9333754015981033e-5","2.5680340979298966","1.1422649738033892e-5","0.001142264973803389","1","2","1.1666154988633789e-7","5.832774354827541e-8","0.00815067611","7.1561846846930365e-6","0.0007156184684693036","3.198202449400389e-10","0.00011736124455241637","3.4258201814215585","3.425785310883329e-5","0.0034257853108833293"
"7","D003","Drift","Drift","0.3306650000000002","0.330665","2.220446049250313e-16","6.715092462916582e-16","6.715092462916583e-14","4.965031111349224e-8","1.0","4.965031111349224e-8","4.965031111349224e-6","1.063476956783357e-7","2.493736391286735","4.264592522686878e-8","4.264592522686878e-6","3","2","1.9841557155695754e-12","6.434365193430658e-12","0.010704831069999999","6.01071156691374e-10","6.01071156691374e-8","4.072658439874602e-10","0.00010311026085485508","4.498708378290475","2.2919969952361602e-5","0.00229199699523616"
"8","DET_01W","Marker","Marker","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","2.449489742783178","0.0","0.0","1","1","0.0","0.0","0.010704831069999999","0.0","0.0","0.0","0.00010311026085485508","4.498708378290475","2.2919969952361602e-5","0.00229199699523616"
"9","D004","Drift","Drift","0.4305399999999997","0.43054","2.7755575615628914e-16","6.446689184658552e-16","6.446689184658552e-14","4.7915397598182555e-8","1.0","4.7915397598182555e-8","4.7915397598182555e-6","9.895329347588131e-8","2.5240446745221172","3.920425596057104e-8","3.920425596057104e-6","3","2","1.4105086459855485e-11","4.992886204306657e-12","0.01403045027","3.558607249392757e-10","3.558607249392757e-8","3.68359941290905e-10","9.723127078586913e-5","5.8956549040315025","1.6492022068554504e-5","0.0016492022068554503"
"10","Q01W","Quadrupole","Quadrupole","0.9500000000000002","0.95","2.220446049250313e-16","2.3373116307898026e-16","2.3373116307898028e-14","2.7435262550778994e-5","1.2957477","2.1173305999909546e-5","0.0021173305999909547","3.303357851099816e-5","3.0041845204361217","1.0995855376487537e-5","0.0010995855376487538","1","2","1.4019322950493625e-7","7.008697012686471e-8","0.01685113177","4.159184741029695e-6","0.0004159184741029695","3.275186059858992e-10","0.0001627699971905594","7.079762016377076","2.299088540180248e-5","0.0022990885401802477"
"11","D005","Drift","Drift","1.0634200000000003","1.06342","2.220446049250313e-16","2.088023592983311e-16","2.088023592983311e-14","4.0769524339736955e-8","1.0634347","3.8337590770488265e-8","3.8337590770488265e-6","9.121691408044487e-8","2.8743327900368407","3.173498712349022e-8","3.1734987123490222e-6","3","6","4.042680051887659e-12","1.0698019076507692e-11","0.014652639700000001","7.301086558831916e-10","7.301086558831915e-8","6.808819404558603e-11","0.0002826157758417658","6.154887721247141","4.5917291856706765e-5","0.004591729185670677"
"12","HV01W","Kicker","Kicker","0.17269999999999985","0.1727","1.3877787807814457e-16","8.035777537819611e-16","8.035777537819611e-14","4.97055218036396e-8","1.0","4.97055218036396e-8","4.97055218036396e-6","1.0297558100806676e-7","2.4616360982551115","4.1832170514991726e-8","4.183217051499173e-6","1","4","2.9846240483722873e-13","4.82115736222255e-12","0.01429560337","3.3724756048702196e-10","3.37247560487022e-8","1.2117586502356087e-10","0.00030255968562986624","6.004687622568693","5.038724820466795e-5","0.005038724820466795"
"13","D006","Drift","Drift","0.22231999999999985","0.22232","1.3877787807814457e-16","6.242257920031695e-16","6.242257920031695e-14","3.896347834746376e-8","1.0","3.896347834746376e-8","3.896347834746376e-6","7.574531585131729e-8","2.4695860366127476","3.0671260174117516e-8","3.0671260174117517e-6","5","6","2.9550753251831447e-13","4.9416638858192086e-12","0.013835983690000001","3.5716028556688824e-10","3.571602855668882e-8","6.54454549906501e-11","0.00032822228970808","5.811332152630251","5.647969881733988e-5","0.005647969881733988"
