sample_index,beamline_index,s_m,element_name,orbit_x_m,orbit_px,orbit_y_m,orbit_py,orbit_z_m,orbit_pz,tune_1,tune_2,chromaticity_1,chromaticity_2,phi_1_turn,phi_2_turn,accumulated_chromaticity_1,accumulated_chromaticity_2,beta_1_m,beta_2_m,dbeta_1_ddelta_m,dbeta_2_ddelta_m,alpha_1,alpha_2,dalpha_1_ddelta,dalpha_2_ddelta
1,1,0.0,"""ip_l0""",-1.6637304827667648e-5,0.0023898579259203053,1.065879859272616e-6,1.7824300080990756e-6,0.0,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,0.0,0.0,0.0,0.0,0.954535551173987,0.017902492505294326,11.39324047217806,-0.10154406550573909,0.013393150122300744,-0.009355488199535834,-17.597238671212082,15.432616018768863
2,2,0.0,"""cleo_sol!s3""",-1.6637304827667648e-5,0.0023898579259203053,1.065879859272616e-6,1.7824300080990756e-6,0.0,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,0.0,0.0,-2.8936396658911006e-16,2.6411542501285797e-16,0.954535551173987,0.01790249250529432,11.39324047217806,-0.10154406550573905,0.013393150122300744,-0.009355488199535831,-17.59723867121208,15.432616018768856
3,3,0.622301,"""det_00w""",0.001469838225810121,0.0023881573167824424,4.106920656139693e-5,6.497502120020893e-5,-1.7770520537517148e-6,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,0.0925005366127968,0.2439430775079744,-1.7519706239430348,2.471125841582164,1.345731145182033,21.656551327707295,26.363241995580605,53.69816164456505,-0.6395960719011093,-34.75521198063036,-8.002552216052392,-136.5475603518019
4,4,0.622301,"""cleo_sol!s4""",0.001469838225810121,0.0023881573167824424,4.106920656139693e-5,6.497502120020893e-5,-1.7770520537517148e-6,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,0.0925005366127968,0.2439430775079744,-1.7519706239430346,2.471125841582164,1.345731145182033,21.656551327707295,26.363241995580605,53.69816164456506,-0.6395960719011093,-34.75521198063036,-8.002552216052393,-136.5475603518019
5,5,0.637956,"""q00w!mcleo_sol""",0.0015071962638741152,0.0023880714321050283,4.308946667455194e-5,6.656317463997954e-5,-1.8217567061650695e-6,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,0.09433547279367167,0.24405547472911313,-1.7884592047818884,2.470662607442508,1.36608633194234,22.75837246827778,26.56204071976383,56.92664723527143,-0.6560071040778144,-35.62843226701254,-7.762729160878592,-140.3570111059961
6,5,0.6617228936170232,"""q00w!mcleo_sol""",0.0015642692512564428,0.002418441163561195,4.629620320356462e-5,7.272719003775658e-5,-1.8905023375127165e-6,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,0.09706830913345278,0.2442160021348189,-1.8422352412338687,2.4699866407099282,1.3984684638158935,24.46926064221294,26.92465657180992,63.15033985608584,-0.7084361770088475,-36.46382522693854,-8.028345134422636,-146.65194421997538
7,5,0.6854897872340464,"""q00w!mcleo_sol""",0.0016220742092433397,0.0024499480391863213,4.970911382002916e-5,7.90297071929157e-5,-1.9610458903176655e-6,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,0.09973591564859355,0.24436558238618442,-1.8940678298721008,2.469337298624536,1.4333596381226528,26.21775747813889,27.303614471724366,69.82182098478208,-0.7621781473795036,-37.22963906097554,-8.317175520955391,-152.96835477047406
8,5,0.7092566808510696,"""q00w!mcleo_sol""",0.001680638134886296,0.0024826072567638614,5.333223480653256e-5,8.546999897808606e-5,-2.033478829561175e-6,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,0.10233675037691103,0.24450543032284866,-1.943923501997879,2.4687113312370492,1.4708228739014084,28.000471827023045,27.700633205041353,76.96619031294274,-0.8173324254946042,-37.924399991728215,-8.630562288391111,-159.3043473196133
9,5,0.7330235744680929,"""q00w!mcleo_sol""",0.0017399883889096998,0.002516434563303955,5.716961283122967e-5,9.204735557271619e-5,-2.1078962239001666e-6,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,0.10486961412196726,0.24463658988234616,-1.9917851662661303,2.4681058809710876,1.510925844245514,29.813943270583625,28.1175482354687,84.6096620388295,-0.8740009090874564,-38.546771542974525,-8.969976867658538,-165.65670906715914
10,5,0.7567904680851161,"""q00w!mcleo_sol""",0.0018001527088420887,0.002551446262363805,6.122530575082074e-5,9.876108592216257e-5,-2.184396923292169e-6,0.0,-0.469846098091189,-0.42092375657744185,-1.172337815327994,-0.966075323253681,0.10733363305136681,0.2447599632520303,-2.0376507092279654,2.467518421153232,1.553740989091614,31.654648812358378,28.556322023590457,92.77946489661515,-0.9322881656804678,-39.095557425827955,-9.337028441565808,-172.02077968224862
