index,name,bmad_key,scibmad_kind,bmad_length_m,scibmad_length_m,length_error_m,length_relative,length_relative_percent,local_R_max,bmad_local_R_max_scale,local_R_max_relative,local_R_max_relative_percent,local_R_fro,bmad_local_R_fro_scale,local_R_fro_relative,local_R_fro_relative_percent,local_R_row,local_R_col,vec0_max,orbit_out_max,bmad_orbit_out_max_scale,orbit_out_max_relative,orbit_out_max_relative_percent,bmad_affine_residual,cumulative_R_max,bmad_cumulative_R_max_scale,cumulative_R_max_relative,cumulative_R_max_relative_percent
"1","IP_L0","Marker","Marker","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","2.449489742783178","0.0","0.0","1","1","0.0","0.0","0.0023893354000000004","0.0","0.0","0.0","0.0","1.0","0.0","0.0"
"2","CLEO_SOL#3","Solenoid","Solenoid","0.622301","0.622301","0.0","0.0","0.0","4.649872002368549e-8","1.0","4.649872002368549e-8","4.649872002368549e-6","1.5668523955538394e-7","2.6022208789856465","6.021212143085268e-8","6.021212143085268e-6","4","2","2.6206151354182415e-13","7.402911671259421e-12","0.00238763565","3.1005198264900347e-9","3.1005198264900346e-7","1.1779823000563922e-10","4.649872002368549e-8","1.0","4.649872002368549e-8","4.649872002368549e-6"
"3","DET_00W","Marker","Marker","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","2.449489742783178","0.0","0.0","1","1","0.0","0.0","0.00238763565","0.0","0.0","0.0","4.649872002368549e-8","1.0","4.649872002368549e-8","4.649872002368549e-6"
"4","CLEO_SOL#4","Solenoid","Solenoid","0.015654999999999974","0.015655","2.42861286636753e-17","1.5513336738214844e-15","1.5513336738214845e-13","4.874905149040011e-8","1.0","4.874905149040011e-8","4.874905149040011e-6","1.4599546071656934e-7","2.4495895038483386","5.9599969908104384e-8","5.9599969908104386e-6","1","6","1.1529334016906901e-14","6.223804891597462e-12","0.00238754979","2.606774911109796e-9","2.6067749111097956e-7","1.432323679999469e-10","8.757392061173319e-8","1.0","8.757392061173319e-8","8.757392061173319e-6"
"5","Q00W\CLEO_SOL","Sol_Quad","Solenoid","1.117044","1.117044000000091","9.103828801926284e-14","8.149928563177712e-14","8.149928563177712e-12","9.142371898329671e-5","1.5653872","5.8403262134312015e-5","0.005840326213431201","0.0001410863973362336","3.4556723210661597","4.082748137783648e-5","0.004082748137783648","2","1","6.636338295389066e-8","1.934580272861322e-7","0.00550468493","3.514425071484195e-5","0.0035144250714841947","2.0277627233583617e-10","9.1508699259224e-5","2.3147698585679746","3.95325258450685e-5","0.00395325258450685"
"6","Q00W#1","Quadrupole","Quadrupole","0.407756","0.4077560000001048","1.0480505352461478e-13","2.570288445163646e-13","2.5702884451636462e-11","2.7145384994986532e-5","1.0700034","2.536943807373559e-5","0.002536943807373559","2.9379044599856155e-5","2.568033103578433","1.1440290453778746e-5","0.0011440290453778746","1","2","1.1662513483938486e-7","5.831828959503016e-8","0.00814989548","7.1557101239082585e-6","0.0007155710123908258","3.241185832095553e-10","0.00011761519170905288","3.4257851549580995","3.4332331535394084e-5","0.0034332331535394086"
"7","D003","Drift","Drift","0.3306650000000002","0.330665","2.220446049250313e-16","6.715092462916582e-16","6.715092462916583e-14","4.929757356500219e-8","1.0","4.929757356500219e-8","4.929757356500219e-6","1.3511026423167217e-7","2.493735780869206","5.417986350766427e-8","5.417986350766427e-6","3","2","4.561408551017492e-12","8.1347428793066e-12","0.010703793290000001","7.599869185540484e-10","7.599869185540484e-8","3.637911040119124e-10","0.00010311063774803841","4.498659393555763","2.2920303300966124e-5","0.0022920303300966124"
"8","DET_01W","Marker","Marker","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","2.449489742783178","0.0","0.0","1","1","0.0","0.0","0.010703793290000001","0.0","0.0","0.0","0.00010311063774803841","4.498659393555763","2.2920303300966124e-5","0.0022920303300966124"
"9","D004","Drift","Drift","0.4305399999999997","0.43054","2.7755575615628914e-16","6.446689184658552e-16","6.446689184658552e-14","4.9459896263228526e-8","1.0","4.9459896263228526e-8","4.9459896263228526e-6","1.0630893875201315e-7","2.524043616074354","4.211850305398267e-8","4.211850305398267e-6","3","6","4.974615278423842e-12","1.4736452075975182e-12","0.014029077669999999","1.0504220179411967e-10","1.0504220179411968e-8","3.748546739939379e-10","9.732007226070927e-5","5.895587403398987","1.6507273253993532e-5","0.0016507273253993531"
"10","Q01W","Quadrupole","Quadrupole","0.9500000000000002","0.95","2.220446049250313e-16","2.3373116307898026e-16","2.3373116307898028e-14","2.7446320548185632e-5","1.2957455","2.1181876030582882e-5","0.0021181876030582883","3.310370762654764e-5","3.0041790135173287","1.1019219386593552e-5","0.0011019219386593552","1","2","1.4014914096610598e-7","7.007354057425585e-8","0.016849496380000002","4.158791396129303e-6","0.00041587913961293034","7.643873494236897e-10","0.00016306166995483373","7.079689450744846","2.3032319579734985e-5","0.0023032319579734985"
