"sample_id","Q1_signed","Q2_signed","Qx_fractional","Qy_fractional","slip_tps_constant","xi_1","xi_2","slip_factor","twiss_seconds"
"0","-0.46984609809119743","-0.42092375657747416","0.5301539019088026","0.5790762434225258","0.0","-1.1723378153293342","-0.9660753232539784","-8.842321438933764","0.0730958111"
"1","-0.4701150542376808","-0.4207648738908549","0.5298849457623191","0.5792351261091451","0.0","-1.1724494781558177","-0.9710603451000831","-8.842689797165004","0.0730958111"
"2","-0.46974131552227905","-0.42129573818270366","0.530258684477721","0.5787042618172964","0.0","-1.1744419314347814","-0.9782570495541519","-8.841912556468106","0.0730958111"
"3","-0.46982511615707095","-0.42101661658140743","0.530174883842929","0.5789833834185926","0.0","-1.1726112672600884","-0.985924708007403","-8.842078765081032","0.0730958111"
"4","-0.46976635995984256","-0.4205069164848662","0.5302336400401575","0.5794930835151337","0.0","-1.1761592555273286","-0.9628629644902361","-8.842732293757098","0.0730958111"
"5","-0.4699383619321764","-0.4208797585664163","0.5300616380678236","0.5791202414335836","0.0","-1.169099210491526","-0.9731377207495153","-8.842053861035064","0.0730958111"
"6","-0.46990388357268376","-0.4209980098583478","0.5300961164273162","0.5790019901416522","0.0","-1.1626559336808109","-0.9799041754838131","-8.84269799809578","0.0730958111"
"7","-0.46983146756070693","-0.42109301800485144","0.5301685324392931","0.5789069819951486","0.0","-1.1787018972744923","-0.9464808722925917","-8.84260612648362","0.0730958111"
"8","-0.4700186957547041","-0.42084517062830296","0.5299813042452959","0.579154829371697","0.0","-1.1725954675439834","-0.9732119577403365","-8.842427172763657","0.0730958111"
"9","-0.46985061982481113","-0.42105201701490413","0.5301493801751889","0.5789479829850959","0.0","-1.1822084987721893","-0.9514205276751855","-8.841325260753052","0.0730958111"
"10","-0.4699342429401212","-0.42133379954202166","0.5300657570598788","0.5786662004579783","0.0","-1.1700820575133366","-0.989970713517605","-8.842671553625252","0.0730958111"
"11","-0.4701397948050038","-0.4207909850206981","0.5298602051949962","0.5792090149793019","0.0","-1.1574980764276896","-0.9865674967376341","-8.843443967586039","0.0730958111"
"12","-0.4698893198518043","-0.42052910286284784","0.5301106801481956","0.5794708971371522","0.0","-1.1728499459370232","-0.9558836952532936","-8.842476104621067","0.0730958111"
"13","-0.469856274073588","-0.4206582723986713","0.530143725926412","0.5793417276013286","0.0","-1.1741383018824216","-0.982318870162431","-8.842730723014888","0.0730958111"
"14","-0.47000048130290006","-0.4205975796965627","0.5299995186970999","0.5794024203034374","0.0","-1.1682404335831722","-0.9495629022423263","-8.843352097198423","0.0730958111"
"15","-0.4700683175469807","-0.4207636890022489","0.5299316824530194","0.5792363109977511","0.0","-1.168030922659251","-0.9740718269543686","-8.842771173107735","0.0730958111"
"16","-0.46989190762769606","-0.4207448401132204","0.5301080923723039","0.5792551598867797","0.0","-1.177679804027178","-0.9727926594745264","-8.842248654104015","0.0730958111"
"17","-0.4699768833108178","-0.420940327765115","0.5300231166891822","0.5790596722348851","0.0","-1.1623976612731413","-0.975415240099721","-8.842727433941958","0.0730958111"
"18","-0.46991489313350104","-0.4209039475946066","0.5300851068664989","0.5790960524053934","0.0","-1.1652109647840432","-0.9671366615317972","-8.84311080951415","0.0730958111"
"19","-0.46975727410355966","-0.42148273898911953","0.5302427258964404","0.5785172610108804","0.0","-1.1766564227167349","-0.9572972968119334","-8.841612566741833","0.0730958111"
"20","-0.47008964932275465","-0.42090609505427623","0.5299103506772453","0.5790939049457238","0.0","-1.1622263258191114","-0.9848008646281486","-8.84296618649499","0.0730958111"
"21","-0.4700818364888551","-0.4207576846806446","0.529918163511145","0.5792423153193553","0.0","-1.168114923136516","-0.9627769023804211","-8.842966733827577","0.0730958111"
"22","-0.4697625517411716","-0.42175294758913145","0.5302374482588283","0.5782470524108685","0.0","-1.175389445724623","-0.9648401028662391","-8.842224950039652","0.0730958111"
"23","-0.46979397832382175","-0.4210059598302935","0.5302060216761783","0.5789940401697065","0.0","-1.1744900220264602","-0.9545651758903877","-8.84179682237425","0.0730958111"
"24","-0.4696408510050638","-0.42120769885075715","0.5303591489949362","0.5787923011492428","0.0","-1.1716910062668346","-1.0011401833764637","-8.841644673815312","0.0730958111"
"25","-0.4698886402480336","-0.4214371451078697","0.5301113597519664","0.5785628548921302","0.0","-1.1723582435730544","-0.971617489238774","-8.842530990708187","0.0730958111"
"26","-0.4699714770070587","-0.4207517824251621","0.5300285229929413","0.5792482175748379","0.0","-1.1631330529461876","-0.9782819470649171","-8.842978623699274","0.0730958111"
"27","-0.4700170032295883","-0.42038815095937443","0.5299829967704117","0.5796118490406256","0.0","-1.1685199362864054","-0.9694472183745712","-8.842632180063202","0.0730958111"
"28","-0.4698850056066099","-0.4213678226998796","0.53011499439339","0.5786321773001204","0.0","-1.1702440988433065","-0.9721812162099847","-8.842482032261124","0.0730958111"
"29","-0.46990366995059224","-0.4216456012499258","0.5300963300494077","0.5783543987500742","0.0","-1.1780880136297647","-0.9757197265563964","-8.84163552238446","0.0730958111"
"30","-0.46998644946700774","-0.4201723923155256","0.5300135505329923","0.5798276076844744","0.0","-1.1689944166928439","-0.9581546056104528","-8.843439178609534","0.0730958111"
