sample_id,Q1_signed,Q2_signed,Qx_fractional,Qy_fractional,slip_tps_constant,xi_1,xi_2,slip_factor,twiss_seconds
0,-0.46984609809119865,-0.4209237565774661,0.5301539019088013,0.5790762434225338,0.0,-1.1723378153293464,-0.9660753232539718,-8.842321438933505,0.3823599
1,-0.47012037291960745,-0.42075117648465477,0.5298796270803925,0.5792488235153452,0.0,-1.1726926914736928,-0.9724296411254585,-8.842646481702518,0.8246999
2,-0.46974606031611227,-0.42129356244282856,0.5302539396838877,0.5787064375571714,0.0,-1.1742511809033105,-0.9782235674045304,-8.841907362182631,0.4047943
3,-0.46983770637299976,-0.42100755412050805,0.5301622936270003,0.578992445879492,0.0,-1.1726171611748133,-0.9854446536891583,-8.842073432006993,0.7053694
4,-0.46976859439839913,-0.42050507803432474,0.5302314056016009,0.5794949219656753,0.0,-1.1762658791476448,-0.9630793424591968,-8.84272910563593,0.4819522
5,-0.4699407071835108,-0.4208696604378453,0.5300592928164892,0.5791303395621548,0.0,-1.1688430956661235,-0.9722830986855265,-8.842052638561592,0.8163187
6,-0.469906064586455,-0.4209990180375003,0.530093935413545,0.5790009819624997,0.0,-1.1626686503066814,-0.9802368645651057,-8.842700886947048,0.405635
7,-0.4698326456193104,-0.421091030912386,0.5301673543806896,0.578908969087614,0.0,-1.178733518484044,-0.9468742390638644,-8.842592490670995,0.4520472
8,-0.4700232111344044,-0.4208408585906733,0.5299767888655956,0.5791591414093267,0.0,-1.1724862944267895,-0.9733683036467253,-8.842418043569111,0.7447326
9,-0.4698546067962434,-0.42104958131885123,0.5301453932037565,0.5789504186811487,0.0,-1.1821139151531006,-0.9521183193912018,-8.841327976868527,0.4100142
10,-0.4699367754576322,-0.42133090889902686,0.5300632245423678,0.5786690911009731,0.0,-1.1699812814019401,-0.9906635502328076,-8.84267163652326,0.4750994
11,-0.470163681537586,-0.42075532052504244,0.529836318462414,0.5792446794749575,0.0,-1.157469805921813,-0.988308337805832,-8.843383621042458,0.8190619
