scenario,rho,trials,converged_trials,mean_x_rmse_m,max_trial_x_rmse_m,mean_x_max_abs_m,global_x_max_abs_m,mean_y_rmse_m,max_trial_y_rmse_m,mean_y_max_abs_m,global_y_max_abs_m,mean_newton_iterations,max_closure_norm
all,0,1,1,0,0,0,0,0,0,0,0,0,3.1357568361342511e-15
all,0.10000000000000001,600,600,1.1320247932727199e-08,4.764036315598902e-08,3.6578245142481298e-08,1.5476392372163595e-07,9.0304071343300646e-09,3.9813893106930297e-08,2.739319157182113e-08,1.0836701334170429e-07,2.7516666666666665,9.9995539104360635e-14
all,0.14000000000000001,600,600,2.2187624907144181e-08,9.3386994234538691e-08,7.169296652370295e-08,3.0334727916279571e-07,1.7699435715271332e-08,7.8052653948805229e-08,5.3690275191247544e-08,2.1243013295084732e-07,2.9533333333333331,9.9830224782464379e-14
all,0.20000000000000001,600,600,4.5280691733466883e-08,1.9062214531483484e-07,1.4631100582831128e-07,6.1910719050521255e-07,3.612081149689544e-08,1.5934453640832175e-07,1.0957083357696644e-07,4.3362499050769184e-07,3.145,9.9653428800097691e-14
all,0.28000000000000003,600,600,8.8749723731650422e-08,3.737148046004555e-07,2.8676658440272088e-07,1.2135326357744111e-06,7.0795563148825049e-08,3.1245511146134288e-07,2.1475584006639886e-07,8.5015040082012821e-07,3.5116666666666667,9.9742444830795162e-14
horizontal,0,1,1,0,0,0,0,0,0,0,0,0,3.1357568361342511e-15
horizontal,0.10000000000000001,600,600,5.7233536432683442e-09,2.4133428431276344e-08,1.7045701352147109e-08,7.8185281402940159e-08,1.5733151032852458e-20,4.7125119403430718e-20,4.339916849333038e-20,1.301205106548047e-19,2.8983333333333334,9.96140013434534e-14
horizontal,0.14000000000000001,600,600,1.121774730498466e-08,4.7301583867250457e-08,3.3409620330002009e-08,1.5319269548354903e-07,2.1787785620657378e-20,8.0782261139550039e-20,6.0219727773431317e-20,2.1859360392837705e-19,2.8816666666666668,9.9955867724275402e-14
horizontal,0.20000000000000001,600,600,2.2893286959871266e-08,9.6534028577499511e-08,6.8183061249260097e-08,3.1248377100130578e-07,3.1348820765822469e-20,9.2012523767350143e-20,8.6201738490664774e-20,2.2908964661465284e-19,2.9550000000000001,9.9965614031582592e-14
horizontal,0.28000000000000003,600,600,4.4870651544412073e-08,1.8920709484846354e-07,1.3363926294185664e-07,6.1206502738510174e-07,4.4125544246425336e-20,1.4532821638768428e-19,1.2159735554957907e-19,4.3838841097620911e-19,3.1516666666666668,9.9967330088417174e-14
vertical,0,1,1,0,0,0,0,0,0,0,0,0,3.1357568361342511e-15
vertical,0.10000000000000001,600,600,8.2438831515302552e-09,4.0519390070460203e-08,2.7408876212781698e-08,1.6001114359072068e-07,5.7237734164392456e-12,4.5827363697962892e-11,1.7066633037745169e-11,1.5011864703249646e-10,2.4966666666666666,9.8935193482466011e-14
vertical,0.14000000000000001,600,600,1.6158011203722539e-08,7.9417935208723774e-08,5.3721392661679514e-08,3.1362153371617178e-07,1.5705925434434854e-11,1.2575049068382677e-10,4.683142024524848e-11,4.1192505588721721e-10,2.5616666666666665,9.9989643992308946e-14
vertical,0.20000000000000001,600,600,3.297554177506558e-08,1.6207715601637803e-07,1.0963551483623447e-07,6.4004262122893536e-07,4.5789283758204701e-11,3.6662040528408972e-10,1.3653331735815971e-10,1.2009462327052835e-09,2.5499999999999998,9.9877553595793842e-14
vertical,0.28000000000000003,600,600,6.4632098407045009e-08,3.1767024327513006e-07,2.1488570220629764e-07,1.2544784578941878e-06,1.2564591246503607e-10,1.006010505863583e-09,3.7464774646189313e-10,3.2953830673911229e-09,2.9366666666666665,9.9794566703396089e-14
