scenario,rho,trials,converged_trials,mean_x_rmse_m,max_trial_x_rmse_m,mean_x_max_abs_m,global_x_max_abs_m,mean_y_rmse_m,max_trial_y_rmse_m,mean_y_max_abs_m,global_y_max_abs_m,mean_newton_iterations,max_closure_norm,source_chunk
all,0.10000000000000001,600,600,1.1320247932727199e-08,4.764036315598902e-08,3.6578245142481298e-08,1.5476392372163595e-07,9.0304071343300646e-09,3.9813893106930297e-08,2.739319157182113e-08,1.0836701334170429e-07,2.7516666666666665,9.9995539104360635e-14,chunk_1
all,0.14000000000000001,600,600,2.2187624907144181e-08,9.3386994234538691e-08,7.169296652370295e-08,3.0334727916279571e-07,1.7699435715271332e-08,7.8052653948805229e-08,5.3690275191247544e-08,2.1243013295084732e-07,2.9533333333333331,9.9830224782464379e-14,chunk_1
all,0.20000000000000001,600,600,4.5280691733466883e-08,1.9062214531483484e-07,1.4631100582831128e-07,6.1910719050521255e-07,3.612081149689544e-08,1.5934453640832175e-07,1.0957083357696644e-07,4.3362499050769184e-07,3.145,9.9653428800097691e-14,chunk_1
all,0.28000000000000003,600,600,8.8749723731650422e-08,3.737148046004555e-07,2.8676658440272088e-07,1.2135326357744111e-06,7.0795563148825049e-08,3.1245511146134288e-07,2.1475584006639886e-07,8.5015040082012821e-07,3.5116666666666667,9.9742444830795162e-14,chunk_1
all,0.40000000000000002,600,600,1.8112065524569881e-07,7.6297608168930545e-07,5.852288970175767e-07,2.4768553220045624e-06,1.4447717825731253e-07,6.380926236020616e-07,4.3826821287725809e-07,1.7357498851856406e-06,3.8716666666666666,9.9999962434786188e-14,chunk_2
all,0.56999999999999995,600,600,3.6778497291450707e-07,1.5501637383450782e-06,1.1883549195603383e-06,5.0303302949951484e-06,2.9336950837156906e-07,1.2969659767539083e-06,8.8993418869821982e-07,3.5268025340517799e-06,3.9283333333333332,9.9883229069402145e-14,chunk_2
all,0.80000000000000004,600,600,7.2446935486304644e-07,3.0558343556756611e-06,2.3408031910522436e-06,9.9110578636383943e-06,5.7786776734829643e-07,2.5581310649314467e-06,1.752963552806414e-06,6.9529086220760815e-06,4.1133333333333333,9.9737216821641947e-14,chunk_2
all,1.1299999999999999,600,600,1.4454148646452158e-06,6.1033964154973711e-06,4.6701032097152809e-06,1.9780548285255485e-05,1.1528842804907266e-06,5.1134440382427307e-06,3.497281552221729e-06,1.3888266431130454e-05,4.5933333333333337,9.9518381095195313e-14,chunk_2
all,1.6000000000000001,600,600,2.8978282958866041e-06,1.2255263368397343e-05,9.3624720156333049e-06,3.9676954327201808e-05,2.3112648892567588e-06,1.0279340765637636e-05,7.0113407151180964e-06,2.7889435228660691e-05,4.96,9.9937527632491444e-14,chunk_3
all,2.2599999999999998,600,600,5.7816534697306961e-06,2.4504702430308494e-05,1.8678929208018103e-05,7.9222914281641276e-05,4.6112385733484474e-06,2.0587460596909579e-05,1.398862425745834e-05,5.5768816971395684e-05,5.3466666666666667,9.9646468678859959e-14,chunk_3
