scenario,rho,trials,converged_trials,mean_x_rmse_um,max_x_rmse_um,mean_y_rmse_um,max_y_rmse_um,max_closure_norm
all,1.13,600,600,1.44541486,6.10339642,1.15288428,5.11344404,9.95183811e-14
all,3.2,600,600,11.5918322,49.2844,9.24535609,41.5041395,9.9772693e-14
all,4.53,600,600,23.232689,99.2208974,18.532108,83.8447953,9.99076216e-14
all,6.4,600,600,46.3861595,199.376063,37.0151685,169.325456,9.96824647e-14
all,9.05,600,600,92.813743,402.64883,74.1347538,344.548848,9.9713386e-14
horizontal,1.13,600,600,0.730775725,3.08161815,1.77112491e-13,5.82360769e-13,9.99126007e-14
horizontal,3.2,600,600,5.85981415,24.7085913,4.92167632e-13,2.06220927e-12,9.98854447e-14
horizontal,4.53,600,600,11.7423404,49.5035675,7.04427207e-13,2.66618692e-12,9.98976457e-14
horizontal,6.4,600,600,23.4360806,98.7557819,1.02218333e-12,4.24614085e-12,9.99736556e-14
horizontal,9.05,600,600,46.8576406,197.234128,1.49339462e-12,5.57007438e-12,9.98342464e-14
vertical,1.13,600,600,1.05268232,5.17339268,0.00825890153,0.0661330317,9.98775058e-14
vertical,3.2,600,600,8.44310759,41.4577018,0.187599476,1.50329076,9.98364624e-14
vertical,4.53,600,600,16.9227109,83.0123425,0.532335356,4.26933242,9.96836329e-14
vertical,6.4,600,600,33.7890045,165.422119,1.50192579,12.0656561,9.96190762e-14
vertical,9.05,600,600,67.6080858,329.691258,4.25103956,34.2671635,9.99937657e-14
