trial,q_total_norm_m,all_element_total_relative_closure,all_element_total_signed_projection,family_partition_absolute_error_m,family_partition_relative_closure
1,3.1164629022111018e-06,5.2686763602741727e-15,0.99999999999999889,6.2998075452038588e-21,6.4065435876210838e-15
2,1.6913971759076353e-05,1.3433763588907357e-14,0.99999999999999623,8.1315162936412833e-20,1.9305856043756786e-14
3,5.6975706542273199e-06,5.936875119567651e-15,0.99999999999999845,1.5881867761018131e-20,1.1574096383526477e-14
4,1.5297817776255295e-05,7.4350625819500422e-15,0.99999999999999556,6.3103954570445375e-20,1.6074171936170498e-14
5,1.6558110800844587e-05,1.4985349895662725e-14,0.99999999999999789,7.0727251095734078e-20,1.9205141807762453e-14
6,1.0136301572874499e-05,1.6735891025475488e-14,1.0000000000000004,5.1867533129525047e-20,2.6135909339421674e-14
7,5.4420073201585265e-06,1.2763067969800965e-14,0.99999999999999734,1.3976043629695956e-20,1.3386119437703664e-14
8,6.4838357794448159e-06,5.3708054893626464e-15,1.0000000000000018,1.249373597200093e-20,7.8544308360750273e-15
9,1.1298166655799034e-05,1.9419058682612609e-14,0.99999999999999489,7.0727251095734078e-20,2.8598685537775563e-14
10,5.7687079322633094e-06,2.5584290129093634e-15,0.99999999999999922,1.3830459841886623e-20,9.5024392233128119e-15
11,2.1878129930759534e-05,2.1453067607972793e-14,0.99999999999999933,1.249373597200093e-19,2.9585367051734569e-14
12,1.5503594539856149e-05,1.7439443752584009e-14,1.000000000000004,8.4809173843836821e-20,2.8517343616978401e-14
13,1.6930082047331015e-05,4.6650236018574522e-15,0.99999999999999889,3.3246043179731288e-20,8.0252136007296224e-15
14,1.8516178472682292e-05,8.2773660719039897e-15,1.000000000000004,5.6751207466038123e-20,1.4511658522395879e-14
15,1.5251277908047762e-05,1.2352758323353226e-14,0.99999999999999922,5.7704119531699211e-20,1.8699868513454676e-14
16,2.0978715668277229e-05,1.612616933150468e-14,0.99999999999999323,1.1350241493207625e-19,2.3470086838047115e-14
17,7.683437911682191e-06,6.1722326467570954e-15,0.99999999999999956,1.4611318340136681e-20,7.7664985439177662e-15
18,9.7531740241620152e-06,7.7849346216167665e-15,0.99999999999999811,2.6469779601696886e-20,1.2297687637187231e-14
19,8.2325898025993942e-06,6.9981725231272507e-15,1.0000000000000038,1.9905274260476058e-20,1.2475627119009742e-14
20,6.5844062922912764e-06,1.0015968731696617e-14,1.0000000000000004,1.847425180075932e-20,1.2431230919560795e-14
21,1.7528622335715502e-05,2.1108333285718861e-14,0.99999999999999978,1.0439681074909252e-19,3.0845145567137568e-14
22,1.9194494218866806e-05,6.679923267013379e-15,0.99999999999999634,7.3691866411124129e-20,1.2873801731561911e-14
23,1.0655052002731979e-05,1.42943423041159e-14,0.99999999999999989,4.5422141796511856e-20,1.9402892427606542e-14
24,1.2059311459979218e-05,2.1847739621033082e-15,1.0000000000000007,3.3669559653358438e-20,1.0480542474516063e-14
25,1.3107858966761148e-05,7.125966846595602e-15,0.99999999999999589,4.912791094074942e-20,1.4287402709727509e-14
26,8.0453892507264153e-06,1.1405708280080013e-14,1.0000000000000009,2.4802183486789982e-20,1.4619424196879551e-14
27,1.4289177287365212e-05,1.2112192588890296e-14,0.99999999999999556,6.246867986000465e-20,1.8675064808890653e-14
