element_order,element_index,element_name,element_type,s_m,k2l_m2,eta_total,magnitude_total
1,1,ip_l0,Marker,0,0,0,0
2,2,sector_4,Marker,0,0,0,0
3,3,hs4b!s2,SBend,0.01250000000001137,0,9.480965753399618e-07,7.497564603518687e-06
4,4,d001!s1,Drift,0.17050000000002272,0,1.103105814256625e-05,8.7476915058520263e-05
5,5,unds4b!s1,Drift,0.68700000000001138,0,2.8127302892723425e-05,0.00022305110300144392
6,6,ls_4b,Marker,1.0580000000000001,0,0,0
7,7,unds4b!s2,Drift,1.4290000000000114,0,2.8127302892724567e-05,0.00022305110300145783
8,8,d002,Drift,1.8220000000000227,0,1.6679263170948768e-06,1.3226750043215081e-05
9,9,hs4c,SBend,1.8990000000000229,0,4.2148432700125915e-06,3.3170245431967904e-05
10,10,d003,Drift,2.0599500000000228,0,8.2060601031857144e-06,6.4187847626812679e-05
11,11,girder_4ab_start,Marker,2.1659000000000228,0,0,0
12,12,vx4a,Kicker,2.2040000000000228,0,2.9509286449267097e-06,2.308218022256723e-05
13,13,d004,Drift,2.2980500000000226,0,4.3334503329205257e-06,3.3896272531571849e-05
14,14,det_s4c,Marker,2.3540000000000227,0,0,0
15,15,d005,Drift,2.3740000000000228,0,1.5469709154577872e-06,1.2116440023545711e-05
16,16,qx4a,Quadrupole,2.5940000000000225,0,7.9068485482320031e-05,0.00057730532352551071
17,17,d006,Drift,2.801500000000023,0,7.1536713202126755e-06,5.2991506470130356e-05
18,18,det_x4a,Marker,2.8090000000000228,0,5.106044872567203e-34,2.3335874483559619e-31
19,19,d007,Drift,2.8382500000000226,0,2.7877595554486695e-05,0.00020668225213822243
20,20,hx4a,Kicker,2.9520000000000231,0,8.0535276046309875e-05,0.0005970820617326771
21,21,d008,Drift,3.0813750000000226,0,4.2769473521714552e-05,0.00031708943810948559
22,22,dqx4b,SBend,4.3000000000000229,0,0.0004418539974780822,0.0040599642387374076
23,23,d009,Drift,5.5858750000000228,0,0.00011614887024613904,0.00085613762030639434
24,24,hx4b,Kicker,5.782500000000022,0,8.7532481924626577e-05,0.00064520516312946159
25,25,d010,Drift,5.9235000000000229,0,5.8527635843083782e-05,0.00043140936942976483
26,26,det_x4b,Marker,5.9800000000000226,0,0,0
27,27,d011,Drift,5.9975000000000227,0,1.8125405400949464e-05,0.0001336144652111759
28,28,vx4b,Kicker,6.1490000000000222,0,0.00013878881849874801,0.001023105047902725
29,29,d012,Drift,6.3125000000000231,0,3.0554254818758392e-05,0.00022523581278456424
30,30,qx4b,Quadrupole,6.5230000000000228,0,0.00013685681204547015,0.0010303066775229986
31,31,girder_4ab_end,Marker,6.7040000000000228,0,1.0006525689448314e-20,1.4099319220591513e-19
32,32,d013,Drift,6.8875000000000224,0,0.00010948198531131402,0.00085830988306039361
33,33,girder_4cd_start,Marker,7.0710000000000228,0,-5.8549720413351211e-18,8.6534958123581707e-17
34,34,qx4c,Quadrupole,7.2520000000000229,0,0.00014074436812559548,0.0010557020672058127
35,35,d014,Drift,7.4860000000000229,0,5.697010866110494e-05,0.00042107365974797766
36,36,vx4c!s1,Kicker,7.5770000000000231,0,4.0846493002310228e-05,0.00030190186925327725
37,37,det_x4c,Marker,7.6150000000000233,0,-3.3452804327152393e-18,5.880975978988868e-17
38,38,vx4c!s2,Kicker,7.7110000000000234,0,0.00010318818628887991,0.00076275404640602131
39,39,d015,Drift,7.8565000000000227,0,5.32064085551956e-05,0.0003932950551781221
40,40,hx4c,Kicker,7.9905000000000221,0,9.0827101473013046e-05,0.00067138246793032404
41,41,d016,Drift,8.1881250000000225,0,0.00012159545389510323,0.00089881824478834076
42,42,dqx4d,SBend,9.4750000000000227,0,0.00061361261557750231,0.0051578659735850357
43,43,d017,Drift,10.693625000000024,0,5.0520686029051937e-05,0.00037626299286421449
44,44,hx4d,Kicker,10.823000000000023,0,9.5130873971127801e-05,0.00070850635982227129
45,45,d018,Drift,10.944250000000023,0,4.1373486608728462e-05,0.00030813738134279582
46,46,qx4d,Quadrupole,11.181000000000024,0,9.0157899274292331e-05,0.0006593194811216884
47,47,d019,Drift,11.393000000000022,0,8.9253918126797324e-07,6.8673163959121306e-06
48,48,det_x4d,Marker,11.405000000000022,0,-2.8013915334404951e-33,2.0516925093371358e-31
49,49,d020,Drift,11.445000000000023,0,2.9715149669016548e-06,2.2891274074418188e-05
50,50,det_ix4d,Marker,11.485000000000023,0,0,0
51,51,d021,Drift,11.497450000000024,0,9.2376672772346127e-07,7.1249749478960654e-06
52,52,vx4d,Kicker,11.548000000000023,0,2.8269487812292145e-06,2.1804140201996222e-05
