family,element_count,eta_total,magnitude_total
drift,562,0.010077458727298379,0.068433847387290303
kicker,82,0.0039547295047530307,0.024803775997191902
marker,222,3.5037895310713361e-16,1.8423273752895295e-15
normal_sextupole,76,0.96508291436745341,0.9929495469534716
octupole,2,2.7802463454267577e-05,0.00028341713086888875
other_sextupole,6,1.822296478778138e-05,0.000154493406295108
quadrupole,122,0.0035657477939660762,0.023485048049608791
rfcavity,4,0.0002058407279497168,0.0014644162338159519
sbend,98,0.017021134477570567,0.11992849588432368
wiggler,3,4.6148972766476297e-05,0.0006722959183122748
