trial,family,element_count,contribution_norm_m,projection_numerator
1,drift,562,2.5408851315260016e-07,-5.2277804644635457e-14
1,kicker,82,1.0996394623146428e-07,-2.6257886652377488e-14
1,marker,222,3.573787037972071e-21,2.1206025268651724e-27
1,normal_sextupole,76,3.3644704658763416e-06,9.8942722516325606e-12
1,octupole,2,3.668875313819031e-10,-5.9629795981175463e-17
1,other_sextupole,6,1.0430050907494204e-09,-3.0785004716757811e-16
1,quadrupole,122,8.6331710783567139e-08,-1.9009554063795539e-14
1,rfcavity,4,8.1735709113312294e-09,-4.328608890064977e-15
1,sbend,98,6.5598148075707487e-07,-8.06354012638613e-14
1,wiggler,3,1.2624231623807593e-09,9.4550458335949674e-16
2,drift,562,4.2406630811088928e-07,-1.1954599808680393e-12
2,kicker,82,8.6814188441109261e-08,5.6038057303421488e-13
2,marker,222,2.1018887279688157e-20,1.6154663402705566e-25
2,normal_sextupole,76,1.7208688612416788e-05,2.896771090330414e-10
2,octupole,2,4.4258021303671221e-09,-2.7956752901721101e-14
2,other_sextupole,6,2.5709520181984825e-09,-3.5188935405163758e-15
2,quadrupole,122,1.1107927384999577e-07,-1.2902573723808028e-13
2,rfcavity,4,5.543055947493369e-09,2.9441060907702369e-14
2,sbend,98,1.083313257352051e-06,-2.8360809441686512e-12
2,wiggler,3,1.2583943518198135e-09,7.5523085661145911e-15
3,drift,562,2.4181354930236242e-07,-7.2501924174801518e-14
3,kicker,82,1.0622537230963307e-07,-4.7308195990844574e-14
3,marker,222,6.3823109700716203e-21,1.616901115708134e-26
3,normal_sextupole,76,5.8127705729986646e-06,3.2653711529613472e-11
3,octupole,2,1.1285508325224924e-09,-9.3895294280485733e-16
3,other_sextupole,6,6.3318516449300976e-10,-6.0372422496087068e-17
3,quadrupole,122,8.4889394989358067e-08,-1.5100789471382417e-14
3,rfcavity,4,7.0951767603380587e-09,3.0810103429096218e-15
3,sbend,98,5.3233790070943088e-07,-5.8193457435188767e-14
3,wiggler,3,1.1774235464534484e-09,-3.7748760648931484e-16
4,drift,562,1.2300255578155413e-06,3.1930341463945929e-12
4,kicker,82,5.358708790278684e-07,1.7520035656257229e-12
4,marker,222,4.1304260740280426e-20,-9.3672565493700025e-26
4,normal_sextupole,76,1.5001941839269392e-05,2.2239626372232988e-10
4,octupole,2,9.2265087106139821e-10,5.4737120395512651e-15
4,other_sextupole,6,1.790360067661154e-09,3.9358797550130979e-16
4,quadrupole,122,4.7283531448015644e-07,1.2829183159519137e-12
4,rfcavity,4,2.0766206755424e-08,6.1032273914028374e-14
4,sbend,98,1.5125728579145538e-06,5.259490346798994e-12
4,wiggler,3,2.2663800440282699e-08,7.2619044482816693e-14
5,drift,562,1.2946029730242295e-06,3.0287397953688546e-12
5,kicker,82,3.1694309818995661e-07,7.2818383664899667e-13
5,marker,222,1.4828963925749098e-20,1.1268302171990502e-25
5,normal_sextupole,76,1.6532012095509958e-05,2.6516958973058403e-10
5,octupole,2,6.2306750050750743e-09,1.5177828013983725e-14
5,other_sextupole,6,2.658128403300203e-09,6.3444924068076963e-15
5,quadrupole,122,3.737571079901538e-07,8.6932752620103533e-13
5,rfcavity,4,2.201145945064172e-08,5.1892700838498198e-14
5,sbend,98,2.123051584140467e-06,4.2868445999170749e-12
5,wiggler,3,3.1416724367818576e-09,1.4932783066508431e-14
6,drift,562,5.8361978480386475e-07,1.377217138574256e-12
6,kicker,82,2.5265283417011147e-07,6.5276469191346862e-13
6,marker,222,2.3918136372961389e-20,1.0033314378186723e-25
6,normal_sextupole,76,9.875773078342715e-06,9.8127546847678452e-11
6,octupole,2,1.6318246995939597e-09,3.3099860616844885e-15
6,other_sextupole,6,1.0224680667604073e-09,1.8622959318532633e-15
6,quadrupole,122,2.1909888744816496e-07,5.3976166016263858e-13
6,rfcavity,4,1.0130064844875277e-08,2.7285439498982471e-14
6,sbend,98,9.2972982748700854e-07,1.9929504891442818e-12
6,wiggler,3,8.323817796897112e-09,2.191102729249614e-14
7,drift,562,6.4331385736776659e-07,8.4862123899099465e-13
7,kicker,82,3.0753169679258494e-07,4.0519045616614095e-13
7,marker,222,4.8345104007259974e-21,1.6486781600352798e-26
7,normal_sextupole,76,5.3349976124017968e-06,2.685447671244509e-11
7,octupole,2,5.4522801292194966e-10,7.1791813025294221e-16
7,other_sextupole,6,1.1435224904373187e-09,1.5124871123226429e-15
7,quadrupole,122,2.655736942025814e-07,3.5009813238057639e-13
7,rfcavity,4,9.9759894051260029e-09,1.3050022388328417e-14
7,sbend,98,8.6132896494099637e-07,1.1429896441568547e-12
7,wiggler,3,3.6690606226524328e-09,-1.2129391115554293e-15
8,drift,562,3.047466058257767e-07,4.9971252648157614e-13
8,kicker,82,8.6585632992580333e-08,1.486907632059947e-13
8,marker,222,4.7293041178584327e-21,7.7460155179636465e-27
8,normal_sextupole,76,6.2612862925616916e-06,3.9714006365264441e-11
8,octupole,2,1.4047507417129311e-09,1.870563777543177e-15
8,other_sextupole,6,1.030318157478511e-09,1.8879230913189206e-15
8,quadrupole,122,9.0999827029005811e-08,1.538574324323475e-13
8,rfcavity,4,6.6250264590297583e-09,1.2345891254151114e-14
8,sbend,98,8.5694072013714577e-07,1.5072538330257533e-12
8,wiggler,3,4.726559348714647e-10,5.0111627574018161e-16
9,drift,562,1.0664604895308233e-06,2.2105825185273081e-13
9,kicker,82,3.3786432264141516e-07,5.4933794988096118e-14
9,marker,222,2.5589570446427689e-20,-9.3940074275986851e-26
9,normal_sextupole,76,1.1657528036561967e-05,1.2666020306275566e-10
9,octupole,2,3.2182613036132829e-09,1.5368976896093563e-15
9,other_sextupole,6,1.6240142760410719e-09,6.7593087069563476e-16
9,quadrupole,122,3.5163047944969776e-07,6.4381595942797805e-14
9,rfcavity,4,2.9319741154746574e-08,5.2752051286247165e-15
9,sbend,98,1.403656396157462e-06,6.7717751899665e-13
9,wiggler,3,8.5292694413084929e-09,-3.6672476015801281e-14
10,drift,562,3.7319057812707601e-07,2.0309631998760231e-13
10,kicker,82,1.4280204298748345e-07,8.0937914933996914e-14
10,marker,222,1.183451964023323e-20,-2.7832274655173562e-27
10,normal_sextupole,76,5.8171435322328906e-06,3.2647089892894559e-11
10,octupole,2,4.1734977345114803e-10,5.6654054857057737e-16
10,other_sextupole,6,1.0860214058903273e-09,1.6822849742354621e-16
10,quadrupole,122,1.3633648156862037e-07,7.6642884181186419e-14
10,rfcavity,4,6.0168147010159158e-09,-2.3927021969599592e-15
10,sbend,98,6.8686287681215928e-07,2.6458256339564024e-13
10,wiggler,3,4.9842409638828312e-09,7.2995655156765851e-15
11,drift,562,6.5141440474223938e-07,2.5342525432917428e-12
11,kicker,82,1.418023231507982e-07,5.3476270623079146e-13
11,marker,222,5.9579018129584425e-20,3.8013035475752876e-25
11,normal_sextupole,76,2.1556637993206884e-05,4.6838208878954752e-10
11,octupole,2,1.4520367174692249e-09,7.6994862361832976e-15
11,other_sextupole,6,1.634598431688726e-09,5.7586961403918921e-15
11,quadrupole,122,1.8561636768247927e-07,7.2729415052258932e-13
11,rfcavity,4,2.663458375161175e-09,1.16896204859132e-14
11,sbend,98,1.5824496869464464e-06,6.4467382649656314e-12
11,wiggler,3,1.4508554421394725e-09,2.2850097741507175e-15
12,drift,562,5.7706686702645436e-07,1.5013355768310152e-12
12,kicker,82,1.8384499914971076e-07,6.8403818934378109e-13
12,marker,222,3.7799072012763936e-20,1.245541445887143e-25
12,normal_sextupole,76,1.5313973066309431e-05,2.3565238703757424e-10
12,octupole,2,4.7676813678602353e-10,5.0239023481852356e-16
12,other_sextupole,6,1.2395851465684166e-09,1.1282521927409033e-15
12,quadrupole,122,1.8404492623422147e-07,5.3505020572141124e-13
12,rfcavity,4,4.2526263985246772e-09,1.7131639997872221e-14
12,sbend,98,9.3653513742630473e-07,1.9439466306162309e-12
12,wiggler,3,7.0946148981646679e-09,2.5923733745313361e-14
13,drift,562,9.448165778964762e-07,2.3816335121361393e-12
13,kicker,82,2.339605660280729e-07,4.7955028082268404e-13
13,marker,222,3.2013426932590875e-20,-1.93371232398947e-25
13,normal_sextupole,76,1.6723758423809265e-05,2.7846429911277529e-10
13,octupole,2,6.9629331849573312e-09,2.8428920586886453e-14
13,other_sextupole,6,1.7957028053233063e-09,2.344050889796685e-15
13,quadrupole,122,2.7220052052960565e-07,5.8430174288807441e-13
13,rfcavity,4,1.4555495282936289e-08,5.2361913566015822e-14
13,sbend,98,1.5935922862810718e-06,4.5971716422997398e-12
13,wiggler,3,3.6627514264896721e-09,3.7586953394959564e-14
14,drift,562,1.5284747587186441e-06,2.2045173992636054e-12
14,kicker,82,5.9431709080573408e-07,1.0422194154595784e-12
14,marker,222,2.958448206518319e-20,-2.0639366760173982e-25
14,normal_sextupole,76,1.8760065622332726e-05,3.3388467058460629e-10
14,octupole,2,4.1785945373616765e-09,2.7085568252110003e-15
14,other_sextupole,6,4.1847309058233848e-09,3.9225644954758965e-15
14,quadrupole,122,5.6669409298483861e-07,8.5177400204113248e-13
14,rfcavity,4,2.4058881158059523e-08,6.146069623876521e-14
14,sbend,98,2.4798811246493286e-06,4.8187435624878578e-12
14,wiggler,3,4.2279616590095074e-09,-2.1151549195497916e-14
15,drift,562,1.1221651015672145e-06,3.4017059442472449e-12
15,kicker,82,4.4885796822509318e-07,1.0976353898214209e-12
15,marker,222,3.3237554972344364e-20,3.0610571719917628e-25
15,normal_sextupole,76,1.515316136773656e-05,2.222212590038128e-10
15,octupole,2,6.3205459067417354e-09,4.8702321847869445e-14
15,other_sextupole,6,2.2224665216886986e-09,5.4856949738245737e-15
15,quadrupole,122,3.7378209342097953e-07,1.0226297987542756e-12
15,rfcavity,4,2.6184328288286671e-08,8.4517174453092264e-14
15,sbend,98,2.2482939719236602e-06,4.7239369785413618e-12
15,wiggler,3,4.6296454629306166e-09,-4.3944779461128176e-15
16,drift,562,5.1139932799193602e-07,-3.617525868018146e-12
16,kicker,82,8.1699456007940308e-08,-5.4567441958459087e-13
16,marker,222,4.6748176562423194e-20,1.3692526722830176e-25
16,normal_sextupole,76,2.1752195931176524e-05,4.5439784864537454e-10
16,octupole,2,3.3658193987368994e-09,-2.9998524027748958e-14
16,other_sextupole,6,2.588765391461705e-09,-6.459328268056516e-15
16,quadrupole,122,1.2716434404761484e-07,-9.1237053846231679e-13
16,rfcavity,4,7.5018991899999101e-09,1.1032174737323912e-14
16,sbend,98,1.3951193047080898e-06,-9.1440576840527494e-12
16,wiggler,3,5.4572580417834744e-09,-4.6283367277739723e-14
17,drift,562,7.4180272841086083e-07,3.7534524330097885e-13
17,kicker,82,2.4581488713189192e-07,8.6639349466088363e-14
17,marker,222,7.7117592366398089e-21,3.1393440389502908e-27
17,normal_sextupole,76,8.0566076026693571e-06,5.8514156398113403e-11
17,octupole,2,4.8660922223006652e-09,2.0373155753166276e-15
