trial,q_total_norm_m,all_element_total_relative_closure,all_element_total_signed_projection,family_partition_absolute_error_m,family_partition_relative_closure
1,1.9617105302838421e-06,9.4164161561289483e-15,0.999999999999996,5.4263048183478615e-21,1.3260787130380919e-14
2,1.466417409023354e-05,8.3091919436237289e-15,0.99999999999999611,4.8598515348715482e-20,1.6121858037731683e-14
3,4.281114716615217e-06,1.7402097485826487e-14,0.99999999999999589,1.5564230405797769e-20,1.842896624631964e-14
4,5.4679836079657136e-06,1.1340380758024436e-14,0.99999999999999201,1.4505439221729893e-20,1.369638901724317e-14
5,5.4329934239706759e-06,9.0689591347277609e-15,0.99999999999999667,1.2705494208814505e-20,1.0207289673370748e-14
6,7.7816497323041667e-06,1.8449135165608338e-14,0.999999999999994,3.8698817777680847e-20,2.4162020194899882e-14
7,3.313503860949469e-06,1.8109854682976456e-14,0.99999999999999678,1.4399560103323106e-20,2.1091260886197492e-14
8,5.7533501012906543e-06,9.5496144988085039e-15,0.99999999999999201,1.2652554649611111e-20,1.0684960767028473e-14
9,1.0577578609875655e-05,1.1786542719512894e-14,0.99999999999999589,3.1340219048409113e-20,1.4292189408814402e-14
10,4.0363943586162208e-06,1.2230068939537392e-14,1.000000000000002,1.1196716771517783e-20,1.3473573092584118e-14
11,1.340571194449063e-05,4.2870365470693748e-15,0.99999999999999944,1.7787691892340307e-20,5.0479125765339589e-15
12,9.499128876299784e-06,2.4156753261535763e-14,0.99999999999998757,4.9233790059156207e-20,2.7650942123696314e-14
13,2.0768598286879194e-05,9.5755561167788021e-15,0.999999999999997,8.3432745304548583e-20,1.8728667000899664e-14
14,1.0791947246929187e-05,1.2519108900757229e-14,1.0000000000000069,5.3151317440207346e-20,2.2618392853227321e-14
15,8.636115264661551e-06,6.5863493383346108e-15,0.99999999999999911,1.6093625997831706e-20,8.4617707706749203e-15
16,1.8156229624342368e-05,9.8290301497825239e-15,0.99999999999999578,5.9821701899834961e-20,1.2489259627796284e-14
