element_order,element_index,element_name,element_type,s_m,k2l_m2,eta_total,magnitude_total
1,1,ip_l0,Marker,0,0,0,0
2,2,sector_4,Marker,0,0,0,0
3,3,hs4b!s2,SBend,0.01250000000001137,0,2.6921280872252846e-07,7.5473695490930223e-06
4,4,d001!s1,Drift,0.17050000000002272,0,3.1336370935424536e-06,8.7851381551364325e-05
5,5,unds4b!s1,Drift,0.68700000000001138,0,7.9902361629186088e-06,0.00022400592821687299
6,6,ls_4b,Marker,1.0580000000000001,0,0,0
7,7,unds4b!s2,Drift,1.4290000000000114,0,7.9902361629177228e-06,0.00022400592821688337
8,8,d002,Drift,1.8220000000000227,0,4.7381454335907558e-07,1.328337040640536e-05
9,9,hs4c,SBend,1.8990000000000229,0,1.1845363583925119e-06,3.3208426015997081e-05
10,10,d003,Drift,2.0599500000000228,0,2.2818477667390089e-06,6.3971504298061563e-05
11,11,girder_4ab_start,Marker,2.1659000000000228,0,0,0
12,12,vx4a,Kicker,2.2040000000000228,0,8.2056064099109936e-07,2.3004382385604028e-05
13,13,d004,Drift,2.2980500000000226,0,1.2049965318502241e-06,3.3782026101715518e-05
14,14,det_s4c,Marker,2.3540000000000227,0,0,0
15,15,d005,Drift,2.3740000000000228,0,4.2366291076081097e-07,1.2059187222019459e-05
16,16,qx4a,Quadrupole,2.5940000000000225,0,3.5939632346497345e-05,0.00056640567947883547
17,17,d006,Drift,2.801500000000023,0,3.4982335207700477e-06,4.9599067185833385e-05
18,18,det_x4a,Marker,2.8090000000000228,0,1.8249292874752643e-17,1.1767098704106239e-16
19,19,d007,Drift,2.8382500000000226,0,1.3586294863743302e-05,0.00019328629606041997
20,20,hx4a,Kicker,2.9520000000000231,0,3.9249296272843542e-05,0.00055838263306314125
21,21,d008,Drift,3.0813750000000226,0,2.0843931008842323e-05,0.00029653752258827808
22,22,dqx4b,SBend,4.3000000000000229,0,0.00027700367078600032,0.0031513360339508966
23,23,d009,Drift,5.5858750000000228,0,7.7497448448756923e-05,0.00091716787862478652
24,24,hx4b,Kicker,5.782500000000022,0,5.8403874193306051e-05,0.00069119898099265209
25,25,d010,Drift,5.9235000000000229,0,3.9051111147002026e-05,0.00046216263226134496
26,26,det_x4b,Marker,5.9800000000000226,0,0,0
27,27,d011,Drift,5.9975000000000227,0,1.2118107248860486e-05,0.00014321959574798234
28,28,vx4b,Kicker,6.1490000000000222,0,9.2790078362569293e-05,0.0010966529045845534
29,29,d012,Drift,6.3125000000000231,0,2.0427666505202936e-05,0.0002414273185466236
30,30,qx4b,Quadrupole,6.5230000000000228,0,0.00010919803105881431,0.0012130518367607711
31,31,girder_4ab_end,Marker,6.7040000000000228,0,6.3017568912037291e-36,4.9646120861834898e-34
32,32,d013,Drift,6.8875000000000224,0,0.00010189731828438838,0.0010560617999339993
33,33,girder_4cd_start,Marker,7.0710000000000228,0,-1.428404293394966e-33,2.4486532627061985e-31
34,34,qx4c,Quadrupole,7.2520000000000229,0,0.00012607749741808851,0.0012264348064935425
35,35,d014,Drift,7.4860000000000229,0,4.7451296939835063e-05,0.00044227538186690236
36,36,vx4c!s1,Kicker,7.5770000000000231,0,3.4021684598327909e-05,0.00031710310398001064
37,37,det_x4c,Marker,7.6150000000000233,0,-6.1837192092136461e-33,1.5818017230837221e-31
38,38,vx4c!s2,Kicker,7.7110000000000234,0,8.5799643698176002e-05,0.00080077955706774366
39,39,d015,Drift,7.8565000000000227,0,4.4240441281833547e-05,0.00041290195911297683
40,40,hx4c,Kicker,7.9905000000000221,0,7.5521561380211479e-05,0.00070485283929405955
41,41,d016,Drift,8.1881250000000225,0,0.00010110504888907112,0.00094362695201341638
42,42,dqx4d,SBend,9.4750000000000227,0,0.00034837650802761424,0.0033199176827198433
43,43,d017,Drift,10.693625000000024,0,3.6348530639084388e-05,0.00030893586853054868
44,44,hx4d,Kicker,10.823000000000023,0,6.8444586941527537e-05,0.00058172882207974726
45,45,d018,Drift,10.944250000000023,0,2.9767320356192452e-05,0.0002530004048690753
46,46,qx4d,Quadrupole,11.181000000000024,0,7.3337094726300513e-05,0.00059642529560280605
47,47,d019,Drift,11.393000000000022,0,9.9200343808865573e-07,7.8537284654407478e-06
48,48,det_x4d,Marker,11.405000000000022,0,2.5393759634998382e-17,9.6770015145100181e-17
49,49,d020,Drift,11.445000000000023,0,3.3212960414890605e-06,2.6216845447838865e-05
50,50,det_ix4d,Marker,11.485000000000023,0,0,0
51,51,d021,Drift,11.497450000000024,0,1.0381632943565974e-06,8.1713353097902335e-06
