family,element_count,eta_total,magnitude_total
drift,562,0.0050169999077248279,0.051279950107156573
kicker,82,0.0024570315621620861,0.019659132777854981
marker,222,-3.5495085987599078e-17,2.0293701945458536e-15
normal_sextupole,76,0.98647269117018266,0.99859065092292554
octupole,2,-1.6206147654131171e-06,0.0002526439335001488
other_sextupole,6,1.6899017812149216e-06,9.4003280139829588e-05
quadrupole,122,0.0020326012831638077,0.018295517983827312
rfcavity,4,0.00016729372483161118,0.0013500293289191103
sbend,98,0.0038433060302708985,0.068332372984826584
wiggler,3,1.0007034648341875e-05,0.00074441510509986209
