trial,family,element_count,contribution_norm_m,projection_numerator
1,drift,562,6.0530908911425356e-08,-4.3297644694103915e-14
1,kicker,82,2.9076230807284033e-08,-2.2333202175292838e-14
1,marker,222,2.3674724204332909e-21,-3.9176038755960243e-30
1,normal_sextupole,76,2.0266662567361682e-06,3.9593782972082023e-12
1,octupole,2,2.9293408848480893e-10,-2.6756487834037911e-16
1,other_sextupole,6,1.7260880531717965e-10,8.8767557206506082e-17
1,quadrupole,122,2.4588080303084456e-08,-1.8162718941699176e-14
1,rfcavity,4,9.2125610479894145e-10,-7.545743007757861e-16
1,sbend,98,8.19422753607357e-08,-2.4872404785138402e-14
1,wiggler,3,1.830843760585365e-09,-1.4707503635402695e-15
2,drift,562,5.3404903626886815e-07,-6.418104935912423e-12
2,kicker,82,1.6083657782604027e-07,-1.3711276084367286e-12
2,marker,222,3.6865039780278312e-20,1.9388985273692606e-25
2,normal_sextupole,76,1.6229026110357535e-05,2.3743804461290763e-10
2,octupole,2,3.6132750784179804e-09,-4.5810836078335576e-14
2,other_sextupole,6,2.1401251850771793e-09,-1.9744100260694106e-14
2,quadrupole,122,1.7157511440862059e-07,-1.7924196633077043e-12
2,rfcavity,4,8.8803103669944468e-09,-5.9025375247432327e-14
2,sbend,98,1.0313852650786061e-06,-1.2695867221852536e-11
2,wiggler,3,3.9438639313792322e-10,2.0568768654025421e-15
3,drift,562,1.0915407111699435e-07,-8.4343305220071924e-14
3,kicker,82,7.1548457554215752e-08,2.5990767018832646e-14
3,marker,222,7.9481971471360742e-21,1.0242146551474575e-26
3,normal_sextupole,76,4.3985001711844747e-06,1.8783884856501831e-11
3,octupole,2,1.0777350082662571e-09,-1.0841748495647306e-15
3,other_sextupole,6,4.0527803080373483e-10,-8.0081911051127163e-16
3,quadrupole,122,5.1623828149685973e-08,-9.8339234813230282e-15
3,rfcavity,4,6.4165986220912106e-09,6.3702567375676161e-15
3,sbend,98,1.4126801043788427e-07,-3.9069653360953462e-13
3,wiggler,3,1.2796420508127806e-09,-1.5439071678414571e-15
4,drift,562,1.4086629613408424e-06,5.5527770975168491e-12
4,kicker,82,6.476300939063828e-07,2.4902863819270873e-12
4,marker,222,9.4855020405617961e-21,-1.1390815512297533e-26
4,normal_sextupole,76,3.8200019979373641e-06,1.3677658671974129e-11
4,octupole,2,1.6168136568174363e-09,-2.1867442633768194e-16
4,other_sextupole,6,1.7762926523840345e-09,5.4470374105400312e-15
4,quadrupole,122,5.6221190770550686e-07,2.216351645302859e-12
4,rfcavity,4,3.8949242287417898e-08,1.5592385953112902e-13
4,sbend,98,1.4894149834040727e-06,5.693648954960875e-12
4,wiggler,3,2.920910908069156e-08,1.0696976278467025e-13
5,drift,562,2.0266036849821438e-07,-1.2979891431715103e-13
5,kicker,82,5.8250704579508286e-08,-4.4156312310131469e-14
5,marker,222,1.4029532752152588e-20,-2.911928920396374e-26
5,normal_sextupole,76,5.5448023341662362e-06,2.9927319493438022e-11
5,octupole,2,1.0379623227560062e-09,5.9931245426887032e-16
5,other_sextupole,6,3.9204494271911437e-10,-3.9384523980087312e-16
5,quadrupole,122,6.2464643641927002e-08,-4.9318626652447909e-14
5,rfcavity,4,4.6435191302988713e-09,-7.872986736232775e-15
5,sbend,98,3.1617344212357697e-07,-1.7819379187290504e-13
5,wiggler,3,3.4473558052401251e-10,-7.6678385500668175e-16
6,drift,562,7.2006611146581086e-08,4.4591951176271182e-14
6,kicker,82,3.7607892889165505e-08,4.5160891322436429e-14
6,marker,222,1.7687951725221103e-20,1.5394919907142909e-26
6,normal_sextupole,76,7.7656932418495702e-06,6.0406617385671933e-11
6,octupole,2,3.4824707545301142e-10,-2.0579326458871701e-15
6,other_sextupole,6,1.0682727706710196e-10,1.9611762752718676e-16
6,quadrupole,122,3.1056825330417638e-08,3.1875146692006957e-14
6,rfcavity,4,2.6202986186996975e-09,7.0440086448058993e-15
6,sbend,98,7.7452192139746651e-08,2.7759870584084559e-14
6,wiggler,3,3.4471576938906529e-09,-7.114882803586861e-15
7,drift,562,2.7176244151153284e-08,-1.2342607713782837e-14
7,kicker,82,1.336016591319589e-08,-1.5979339741806557e-15
7,marker,222,8.1898092849903938e-21,3.5317156163726739e-27
7,normal_sextupole,76,3.330491758945615e-06,1.103163435976623e-11
7,octupole,2,6.2174991007801886e-11,-5.682571061382979e-17
7,other_sextupole,6,6.0330333986083577e-11,-1.0012752510768828e-17
7,quadrupole,122,1.135208245292753e-08,-2.9806866746680392e-15
7,rfcavity,4,7.6346529466906249e-10,-1.0250456433041375e-15
7,sbend,98,4.0072191070163406e-08,-3.3161610860023298e-14
7,wiggler,3,7.7136077217073134e-10,-1.1517999100872724e-15
8,drift,562,1.3653260215576542e-08,3.454826728174559e-14
8,kicker,82,4.3856385676757571e-09,-1.4815097436477253e-14
8,marker,222,5.4627430533450729e-21,1.1429055085999653e-26
8,normal_sextupole,76,5.7399569542502563e-06,3.3023441675722694e-11
8,octupole,2,3.2701923997417216e-10,1.277408190648783e-15
8,other_sextupole,6,3.634922587448947e-11,-1.0340219852450373e-16
8,quadrupole,122,3.1751960331038905e-09,-3.948584192210561e-15
8,rfcavity,4,3.258856576414106e-10,-1.6624938860509047e-15
8,sbend,98,2.1729790143802794e-08,6.1083801910037331e-14
8,wiggler,3,4.2679907237709814e-10,1.2158126293239687e-15
9,drift,562,1.3422669883421331e-07,1.0800408934197377e-12
9,kicker,82,4.5654838369127828e-08,2.9497933539562237e-13
9,marker,222,2.4923589743912638e-20,-1.175660923747382e-25
9,normal_sextupole,76,1.0301762556826266e-05,1.0893447961211431e-10
9,octupole,2,5.1006586994922361e-10,5.0842717469204982e-15
9,other_sextupole,6,1.5219526856239272e-10,1.1788143443632712e-15
9,quadrupole,122,4.5002720708891316e-08,3.3027810744557295e-13
9,rfcavity,4,4.0485310052458767e-09,2.7020944076328466e-14
9,sbend,98,1.5043266327203692e-07,1.209658534308672e-12
9,wiggler,3,7.0422835716654709e-10,2.4487352471569726e-15
10,drift,562,1.2276878319906265e-07,-3.160570321060462e-14
10,kicker,82,5.511490283549656e-08,-2.7629014116547953e-14
10,marker,222,2.967917010933898e-21,-4.6155811471539663e-28
10,normal_sextupole,76,4.0739606187818685e-06,1.6377005062316707e-11
10,octupole,2,3.5248157885394831e-10,4.1793537824558191e-16
10,other_sextupole,6,2.6971521484206657e-10,6.9348051970727052e-17
10,quadrupole,122,4.8318529535971701e-08,-1.8632382943314051e-14
10,rfcavity,4,2.5773055140142444e-09,1.7975863419734377e-15
10,sbend,98,1.4217489043407375e-07,-7.7755566423263645e-15
10,wiggler,3,2.501031711297884e-09,-1.1678569072762451e-15
11,drift,562,1.5366238750436002e-07,-5.7743418569359071e-13
11,kicker,82,4.9382260677215741e-08,-1.6836595462422505e-14
11,marker,222,2.0703370688020822e-20,2.2649583861846405e-26
11,normal_sextupole,76,1.3575755550155131e-05,1.8185365964252146e-10
11,octupole,2,8.5898960597412216e-10,-3.8979445728540076e-15
11,other_sextupole,6,3.3826552841440235e-10,-1.5479093432255894e-15
11,quadrupole,122,4.8932632688712557e-08,-1.0729658180426715e-13
11,rfcavity,4,1.9612296193428536e-09,2.2982857242558102e-16
11,sbend,98,3.1490609808499222e-07,-1.4326294940207955e-12
11,wiggler,3,1.3155721025657342e-09,-1.1340215381644963e-15
12,drift,562,2.9329430505340935e-07,-4.8526528476328972e-13
12,kicker,82,1.4265747532769675e-07,1.2121088316979199e-13
12,marker,222,1.5793209868489496e-20,6.1813507113567049e-27
12,normal_sextupole,76,9.715213872673404e-06,9.1927035713728333e-11
12,octupole,2,7.6600859336572734e-10,-4.7058362758385401e-15
12,other_sextupole,6,4.5481048533171581e-10,-5.9802267137690062e-16
12,quadrupole,122,1.1770994678512142e-07,-8.9387782402225629e-15
12,rfcavity,4,6.6052818596469765e-09,3.418083806042903e-14
12,sbend,98,3.4521865901627984e-07,-1.3552082150559913e-12
12,wiggler,3,7.2920488804265351e-09,5.7381106007695373e-15
13,drift,562,5.8573429750961003e-07,9.5055004996546732e-12
13,kicker,82,2.0387905840032283e-07,2.7324271442852057e-12
13,marker,222,3.7566662266684904e-20,2.7034472526657093e-25
13,normal_sextupole,76,1.9481623744581066e-05,4.0401219768104854e-10
13,octupole,2,3.044489095234164e-09,5.1454392606150303e-14
13,other_sextupole,6,8.5781169444619396e-10,1.2946017934115128e-14
13,quadrupole,122,1.9507727525179787e-07,2.8786562821716451e-12
13,rfcavity,4,1.5777466761603228e-08,1.5201188413443479e-13
13,sbend,98,6.9679023722124225e-07,1.1967768418102892e-11
13,wiggler,3,7.5835724771488722e-09,2.1712481826071213e-14
14,drift,562,9.0867359271046022e-07,-4.3525338793514899e-12
14,kicker,82,3.818227026138493e-07,-1.6382207029024635e-12
14,marker,222,1.9425353948990464e-20,-7.0022665046204187e-26
14,normal_sextupole,76,1.23355930863048e-05,1.3014935064010882e-10
14,octupole,2,2.8433870878144603e-09,-1.0483826204111043e-14
14,other_sextupole,6,2.0528348287529529e-09,-1.1344959241544292e-14
14,quadrupole,122,3.466480634736953e-07,-1.5957796555925549e-12
14,rfcavity,4,2.3408783772953416e-08,-1.4197305439164384e-13
