family,eta_p10,eta_median,eta_p90,magnitude_p10,magnitude_median,magnitude_p90
drift,-0.002411426961114842,0.009003877496632826,0.026592328306022834,0.03625267693587521,0.06493083736676211,0.10089272110218936
kicker,-0.0001304764423732904,0.0028208393296451787,0.01086133905013513,0.009223971837943249,0.023693572302724644,0.040772228034877234
marker,-4.032171341957215e-16,1.7502204974634474e-16,8.012396512296549e-16,8.948508005445317e-16,1.7627260977601116e-15,2.3621709657703023e-15
normal_sextupole,0.904521941436731,0.9659044456690695,1.0126752478004282,0.9523615042997182,0.9917766632420326,1.0348728477172147
octupole,-3.8054633896817434e-05,2.2455552381245563e-05,9.926703853768324e-05,6.903328962052022e-05,0.00024291451578588186,0.0004494994773723309
other_sextupole,-1.473523881178959e-05,2.1097240901907832e-05,5.703329090079585e-05,8.401924458336793e-05,0.00015545366332926256,0.0002478913477699286
quadrupole,-0.0004524259547260243,0.0029611085146085316,0.00915212639148137,0.010624808869741991,0.02265241840729012,0.03608439060314031
rfcavity,-2.4345114594959388e-05,0.00018260398219102246,0.0007841367589112827,0.00027887042975557284,0.001019398347121996,0.0026436043917564107
sbend,-0.008463479535138032,0.019755843925121204,0.05248382510792557,0.0750775113877592,0.12541599160137024,0.18039012580179728
wiggler,-7.276472384357802e-05,2.326784202636755e-05,0.00027197907280921243,0.00011185462020142183,0.00042323041092792897,0.0011766662540507874
