family,eta_p10,eta_median,eta_p90,magnitude_p10,magnitude_median,magnitude_p90
drift,-0.025265664956422275,0.0005029229419915278,0.03081880953887063,0.0036416070258146996,0.030635823010804655,0.09710715516750298
kicker,-0.006626655616725712,0.000802759881894636,0.014438770887972586,0.001482015570284295,0.012625475205112275,0.038929841209032735
marker,-9.867508379983214e-16,-2.2062297815686493e-17,6.745647578967339e-16,9.598699892851314e-16,1.8489681285344283e-15,2.5851240035046847e-15
normal_sextupole,0.8980920142242312,0.9977459762975738,1.0818400375782549,0.9231031798470646,0.9987495772517893,1.1087599726524993
octupole,-0.00013299647955312526,-5.132096352198382e-06,0.00014768075269003088,1.8116753587563524e-05,0.00013510470121593898,0.00043741867448157125
other_sextupole,-6.08046153024153e-05,1.922403878055039e-06,5.938489564027539e-05,8.13851091521349e-06,6.328779358697823e-05,0.00020853907259030602
quadrupole,-0.008348948750159586,0.00022319374049322368,0.011941431513780503,0.0012683147390086438,0.011598785575133778,0.03592033395124228
rfcavity,-0.0006940852702772143,4.643918866841547e-06,0.0009494739930569371,5.6388724665407965e-05,0.0007266384293286151,0.0027793109896992914
sbend,-0.04429623402670702,0.001324128788250146,0.04531579160599765,0.007258368929608439,0.04026062149859019,0.13566966500252628
wiggler,-0.00036536793266915964,-1.1688460974754739e-05,0.00039185453512343246,7.397369190502984e-05,0.0004588328122925434,0.0011863296314171695
