scenario,rho,trials,converged_trials,mean_x_rmse_m,max_trial_x_rmse_m,mean_x_max_abs_m,global_x_max_abs_m,mean_y_rmse_m,max_trial_y_rmse_m,mean_y_max_abs_m,global_y_max_abs_m,mean_newton_iterations,max_closure_norm
all,0,1,1,0,0,0,0,0,0,0,0,0,4.8475354112261083e-15
all,0.10000000000000001,600,600,5.647995488918922e-09,1.879075372363822e-08,1.8166193175190899e-08,7.4803843308837714e-08,5.3210774285215324e-09,1.8569208137709057e-08,1.5749165774916755e-08,5.6537514780112828e-08,2.9700000000000002,9.9937997027460187e-14
all,0.14000000000000001,600,600,1.1070009492874549e-08,3.6829796897813943e-08,3.5605617260147907e-08,1.4661778209926202e-07,1.0429087752599661e-08,3.6384637807463583e-08,3.0868209003366247e-08,1.1079675993799545e-07,3.0716666666666668,9.98670891972337e-14
all,0.20000000000000001,600,600,2.2591665023121022e-08,7.5162715594395439e-08,7.2664133992307357e-08,2.9922718369941592e-07,2.1283191137543576e-08,7.4220642557064358e-08,6.2995969885315763e-08,2.2606453669357974e-07,3.04,9.9956774601004609e-14
all,0.28000000000000003,600,600,4.4279163862441699e-08,1.4731872266268051e-07,1.4242068549896842e-07,5.8650475670551927e-07,4.1713414882046051e-08,1.4538428844840173e-07,1.234711290122018e-07,4.4295263581796114e-07,3.2250000000000001,9.9799441735850343e-14
horizontal,0,1,1,0,0,0,0,0,0,0,0,0,4.8475354112261083e-15
horizontal,0.10000000000000001,600,600,1.5701707797073188e-09,5.1306513899490999e-09,5.6110869072419209e-09,3.2246655561063431e-08,3.6604901369000315e-11,1.5749330402439564e-10,1.6788669559594862e-10,7.6344306592680822e-10,2.2083333333333335,9.9524788281165713e-14
horizontal,0.14000000000000001,600,600,3.0775432093508598e-09,1.0055810590977139e-08,1.0997749098920193e-08,6.3198270727760075e-08,7.1745904583827358e-11,3.0872239352898554e-10,3.2905958545437456e-10,1.4964027720935913e-09,2.6216666666666666,9.9914579246210623e-14
horizontal,0.20000000000000001,600,600,6.2807166780380429e-09,2.0521317708750442e-08,2.2444405680220438e-08,1.2896002918316718e-07,1.4642103845523886e-10,6.3015638515801771e-10,6.7155381137504222e-10,3.0540157463501347e-09,3.0783333333333331,9.9862354467217811e-14
horizontal,0.28000000000000003,600,600,1.2310242701923438e-08,4.0219878132932986e-08,4.3991076487253305e-08,2.5271994959566446e-07,2.8698766553570005e-10,1.2353956878187966e-09,1.3162577101132759e-09,5.9862172372944847e-09,3.1850000000000001,9.9648829715436029e-14
vertical,0,1,1,0,0,0,0,0,0,0,0,0,4.8475354112261083e-15
vertical,0.10000000000000001,600,600,5.5237877458778948e-09,2.249049989926601e-08,1.7450049823798244e-08,6.8412533747383431e-08,7.2700146882387705e-11,2.6947796961578049e-10,4.7013086010116431e-10,2.3954319952309081e-09,2.8900000000000001,9.9835153520350553e-14
vertical,0.14000000000000001,600,600,1.0826626333539342e-08,4.4081385119178167e-08,3.4202115156351937e-08,1.3408861897559743e-07,1.4362878677810661e-10,5.3093795955964589e-10,9.2201615112548696e-10,4.7138969706816969e-09,2.875,9.9576268206374223e-14
vertical,0.20000000000000001,600,600,2.2095159503697977e-08,8.9962035037128567e-08,6.9800257181137277e-08,2.7365045734799309e-07,2.9756330989432888e-10,1.0928292566047777e-09,1.8837935640981405e-09,9.6778975501934927e-09,2.915,9.975508462109682e-14
vertical,0.28000000000000003,600,600,4.3306525850359771e-08,1.7632563664418123e-07,1.3680857097858941e-07,5.3635531243288737e-07,5.977376589318453e-10,2.1691668482114847e-09,3.6990830095465238e-09,1.9119476870861976e-08,2.8633333333333333,9.9932064713545152e-14
