scenario,rho,trials,converged_trials,mean_x_rmse_m,max_trial_x_rmse_m,mean_x_max_abs_m,global_x_max_abs_m,mean_y_rmse_m,max_trial_y_rmse_m,mean_y_max_abs_m,global_y_max_abs_m,mean_newton_iterations,max_closure_norm,source_chunk
all,0.10000000000000001,600,600,5.647995488918922e-09,1.879075372363822e-08,1.8166193175190899e-08,7.4803843308837714e-08,5.3210774285215324e-09,1.8569208137709057e-08,1.5749165774916755e-08,5.6537514780112828e-08,2.9700000000000002,9.9937997027460187e-14,chunk_1
all,0.14000000000000001,600,600,1.1070009492874549e-08,3.6829796897813943e-08,3.5605617260147907e-08,1.4661778209926202e-07,1.0429087752599661e-08,3.6384637807463583e-08,3.0868209003366247e-08,1.1079675993799545e-07,3.0716666666666668,9.98670891972337e-14,chunk_1
all,0.20000000000000001,600,600,2.2591665023121022e-08,7.5162715594395439e-08,7.2664133992307357e-08,2.9922718369941592e-07,2.1283191137543576e-08,7.4220642557064358e-08,6.2995969885315763e-08,2.2606453669357974e-07,3.04,9.9956774601004609e-14,chunk_1
all,0.28000000000000003,600,600,4.4279163862441699e-08,1.4731872266268051e-07,1.4242068549896842e-07,5.8650475670551927e-07,4.1713414882046051e-08,1.4538428844840173e-07,1.234711290122018e-07,4.4295263581796114e-07,3.2250000000000001,9.9799441735850343e-14,chunk_1
all,0.40000000000000002,600,600,9.0364134365390132e-08,3.0065037990322229e-07,2.9065143443855458e-07,1.1970115029891898e-06,8.5124785904405206e-08,2.9643249260724936e-07,2.5197923436997349e-07,9.0357596199706414e-07,3.6383333333333332,9.9956239854560813e-14,chunk_2
all,0.56999999999999995,600,600,1.8349144058932198e-07,6.1051042243847309e-07,5.9019574087218123e-07,2.4308768086910709e-06,1.7284481199917776e-07,6.0116517753296293e-07,5.1167112285647807e-07,1.8336505075296455e-06,3.9116666666666666,9.9909585059737451e-14,chunk_2
all,0.80000000000000004,600,600,3.6143732072216399e-07,1.2026209727139291e-06,1.1625687856614455e-06,4.7890017636081916e-06,3.4045079361029918e-07,1.1821202851340339e-06,1.007928660591732e-06,3.6088768049048281e-06,3.9866666666666668,9.9717110365397525e-14,chunk_2
all,1.1299999999999999,600,600,7.2109434314878122e-07,2.3994961826022535e-06,2.3194550730519455e-06,9.5566446453015236e-06,6.7920354409423034e-07,2.3525548968804166e-06,2.0111081496397389e-06,7.1914015491892237e-06,4.2516666666666669,9.8786232099415531e-14,chunk_2
all,1.6000000000000001,600,600,1.4456118979749057e-06,4.8110191862889315e-06,4.6500537553108795e-06,1.9165767391964017e-05,1.3616586291619173e-06,4.6994577333807586e-06,4.0325754184966575e-06,1.439258293039385e-05,4.496666666666667,9.994125749774019e-14,chunk_3
all,2.2599999999999998,600,600,2.884028267360894e-06,9.6003867391328172e-06,9.2773813827113001e-06,3.8258992049993584e-05,2.7169489011580572e-06,9.3280852399721524e-06,8.0474902833383973e-06,2.8645797878402014e-05,4.8183333333333334,9.9583866361117792e-14,chunk_3
all,3.2000000000000002,600,600,5.7816106203551031e-06,1.9254579902272248e-05,1.8599733167080601e-05,7.6774879502973861e-05,5.4491034814255539e-06,1.8563281999164185e-05,1.6142356206956749e-05,5.7234983953807512e-05,5.2183333333333337,9.9405560475313718e-14,chunk_3
all,4.5300000000000002,600,600,1.158545460036085e-05,3.8616874593747214e-05,3.7275179885101042e-05,0.00015411107131893705,1.0930793823505834e-05,3.6805131017039886e-05,3.2383034588087052e-05,0.00011415681320191555,5.6349999999999998,9.9905317675582187e-14,chunk_3
all,6.4000000000000004,600,600,2.3123974113096157e-05,7.7211190116001274e-05,7.4412418592806039e-05,0.00030853248098581046,2.1867315696554896e-05,7.2338329662131466e-05,6.4756440841233623e-05,0.00022639206308284554,6.0783333333333331,9.9948685565507015e-14,chunk_4
all,9.0500000000000007,600,600,4.6242729978277148e-05,0.0001549725553699738,0.00014885792149244728,0.00062040162823117154,4.3938013840048436e-05,0.00014139661973823665,0.00012998924198819674,0.00045186735641911807,6.6349999999999998,9.991070186604435e-14,chunk_4
all,12.800000000000001,600,600,9.254717112072735e-05,0.00031278934295794709,0.00029809800469546863,0.0012543828637924387,8.8788097340732606e-05,0.00037639001053124574,0.00026205362112846506,0.00092661389882338525,7.4983333333333331,9.9809997378231718e-14,chunk_4
all,18.100000000000001,600,599,0.00018475538028398531,0.00064075771191362716,0.00059490306852170625,0.0025608154171750785,0.0001807537491199135,0.0011266750965787504,0.00052949164971928064,0.0024868964595580138,8.0667779632721199,9.9514972370352081e-14,chunk_4
all,25.600000000000001,600,594,0.00037298640198700039,0.0014008714758112083,0.0012057299361988446,0.0055808071786668349,0.00037841039248711294,0.0038482470687192841,0.0010953313287426049,0.0077777822487296658,9.3148148148148149,9.9788379053096314e-14,chunk_5
all,36.200000000000003,600,591,0.00076993570400330945,0.014525307211519093,0.0024711502606609391,0.035279713652291975,0.0010574198615665258,0.15133759369425012,0.0026567249073884743,0.22444025497248393,10.846023688663282,9.9921262848721405e-14,chunk_5
all,51.200000000000003,600,575,0.011154364533678558,3.5704687333191809,0.014873139212446202,3.59801962891266,0.010798685958617157,2.9599978532212163,0.01497162437767768,3.0360190814056089,13.483478260869566,9.960389636757141e-14,chunk_5
all,64,600,587,0.034697808857678855,3.2814213805862131,0.041773194251019635,3.3189841124777009,0.067779227688792104,3.1783568457484894,0.07705998152084173,3.253359349904108,15.603066439522998,9.9979761839534659e-14,chunk_5
horizontal,0.10000000000000001,600,600,1.5701707797073188e-09,5.1306513899490999e-09,5.6110869072419209e-09,3.2246655561063431e-08,3.6604901369000315e-11,1.5749330402439564e-10,1.6788669559594862e-10,7.6344306592680822e-10,2.2083333333333335,9.9524788281165713e-14,chunk_1
horizontal,0.14000000000000001,600,600,3.0775432093508598e-09,1.0055810590977139e-08,1.0997749098920193e-08,6.3198270727760075e-08,7.1745904583827358e-11,3.0872239352898554e-10,3.2905958545437456e-10,1.4964027720935913e-09,2.6216666666666666,9.9914579246210623e-14,chunk_1
horizontal,0.20000000000000001,600,600,6.2807166780380429e-09,2.0521317708750442e-08,2.2444405680220438e-08,1.2896002918316718e-07,1.4642103845523886e-10,6.3015638515801771e-10,6.7155381137504222e-10,3.0540157463501347e-09,3.0783333333333331,9.9862354467217811e-14,chunk_1
horizontal,0.28000000000000003,600,600,1.2310242701923438e-08,4.0219878132932986e-08,4.3991076487253305e-08,2.5271994959566446e-07,2.8698766553570005e-10,1.2353956878187966e-09,1.3162577101132759e-09,5.9862172372944847e-09,3.1850000000000001,9.9648829715436029e-14,chunk_1
horizontal,0.40000000000000002,600,600,2.5123052467751376e-08,8.2075507320528197e-08,8.9777807152411257e-08,5.1562712663835719e-07,5.8569640879552999e-10,2.5221023327209763e-09,2.6862770266549016e-09,1.2217826485445317e-08,2.9816666666666665,9.9747416830514909e-14,chunk_2
horizontal,0.56999999999999995,600,600,5.1015805123891961e-08,1.666477574701766e-07,1.8230554519888475e-07,1.0466777983601794e-06,1.1893511564321494e-09,5.1239996762749115e-09,5.4549277763200806e-09,2.4812873588805386e-08,2.9449999999999998,9.9365244706838274e-14,chunk_2
horizontal,0.80000000000000004,600,600,1.0049363886504634e-07,3.2822419362263245e-07,3.5911349136385645e-07,2.0608053008710353e-06,2.3428859675963157e-09,1.0100272879078469e-08,1.0745611483921474e-08,4.888544490695354e-08,3.1766666666666667,9.9950290905292412e-14,chunk_2
horizontal,1.1299999999999999,600,600,2.0050291410270495e-07,6.547311040481386e-07,7.1649123246244082e-07,4.1088265760064885e-06,4.6745948483061785e-09,2.0171234361374028e-08,2.1440099708125364e-08,9.7557337548192374e-08,3.3133333333333335,9.9924532761422477e-14,chunk_2
horizontal,1.6000000000000001,600,600,4.0198644759605914e-07,1.3122795311995517e-06,1.4364720271232179e-06,8.2296081714648001e-06,9.372396934241461e-09,4.0496688005510758e-08,4.2986953200839573e-08,1.9565500579106845e-07,3.7799999999999998,9.9918893824414143e-14,chunk_3
horizontal,2.2599999999999998,600,600,8.020464535682193e-07,2.6171977322644453e-06,2.8660161086906331e-06,1.6396972746354072e-05,1.8700904738717927e-08,8.0955972258240802e-08,8.5773151417432714e-08,3.9054963508122417e-07,3.8999999999999999,9.99848118152799e-14,chunk_3
horizontal,3.2000000000000002,600,600,1.6080497796486726e-06,5.2442679331732474e-06,5.7460358589269157e-06,3.2809733640767891e-05,3.749724378684987e-08,1.6276268099428464e-07,1.7198450342601637e-07,7.8353298409552033e-07,4.0866666666666669,9.9907990298116553e-14,chunk_3
horizontal,4.5300000000000002,600,600,3.2227136244392378e-06,1.0501579728009023e-05,1.1515291930343432e-05,6.5569859307040151e-05,7.5158703253095337e-08,3.2749054914751964e-07,3.4472559361859662e-07,1.5717292274376737e-06,4.3700000000000001,9.9977665084286662e-14,chunk_3
horizontal,6.4000000000000004,600,600,6.4331731576224299e-06,2.0939658746202471e-05,2.2985515987787603e-05,0.00013037264428778471,1.5006358100038945e-07,6.5743503652572527e-07,6.8829807792335311e-07,3.1415365352393219e-06,4.6783333333333337,9.9912782602360434e-14,chunk_4
horizontal,9.0500000000000007,600,600,1.2865497450166306e-05,4.1811182389484988e-05,4.5963752471755411e-05,0.00025926183827265463,3.0021387589181424e-07,1.3255147050820662e-06,1.3769469219779848e-06,6.2941916416888507e-06,5,9.995185970900047e-14,chunk_4
horizontal,12.800000000000001,600,600,2.5742757825633381e-05,8.3481069669551076e-05,9.195573411735913e-05,0.00051461396107603183,6.0106905628354686e-07,2.6836056119737649e-06,2.7565147325489115e-06,1.2626947358800522e-05,5.4749999999999996,9.9863400589718331e-14,chunk_4
horizontal,18.100000000000001,600,600,5.1495766827425445e-05,0.00016650927833294883,0.00018390654438060834,0.0010177317405097499,1.2036839844925034e-06,5.4607764654251453e-06,5.5181608193554593e-06,2.5352190792567912e-05,6.208333333333333,9.9854997570803533e-14,chunk_4
horizontal,25.600000000000001,600,600,0.00010308788459347616,0.00033364923318479037,0.00036807388761775405,0.0020043287931209696,2.414457496096972e-06,1.1208537330225053e-05,1.105896608819972e-05,5.1017413256867952e-05,6.7016666666666671,9.997785637619377e-14,chunk_5
horizontal,36.200000000000003,600,600,0.00020639864368659255,0.00067471234023621111,0.00073673786448990122,0.0039200274755866972,4.8526419943834658e-06,2.3279594967896807e-05,2.2182954845654711e-05,0.00010289805133709097,7.5116666666666667,9.9403866755549199e-14,chunk_5
horizontal,51.200000000000003,600,600,0.00041386999018728734,0.00137233744834779,0.0014768412092609586,0.0075992534103612114,9.8024898953503591e-06,4.9252127607844297e-05,4.4604727886026682e-05,0.00020844473063123467,8.3883333333333336,9.9558266553890004e-14,chunk_5
horizontal,64,600,600,0.00064832028117989835,0.0021767687195631781,0.0023130567144961978,0.011559534685009155,1.5478545081093031e-05,8.0809383022630545e-05,7.0065472228971002e-05,0.00032926028567255338,9.1199999999999992,9.9692403468511855e-14,chunk_5
vertical,0.10000000000000001,600,600,5.5237877458778948e-09,2.249049989926601e-08,1.7450049823798244e-08,6.8412533747383431e-08,7.2700146882387705e-11,2.6947796961578049e-10,4.7013086010116431e-10,2.3954319952309081e-09,2.8900000000000001,9.9835153520350553e-14,chunk_1
vertical,0.14000000000000001,600,600,1.0826626333539342e-08,4.4081385119178167e-08,3.4202115156351937e-08,1.3408861897559743e-07,1.4362878677810661e-10,5.3093795955964589e-10,9.2201615112548696e-10,4.7138969706816969e-09,2.875,9.9576268206374223e-14,chunk_1
vertical,0.20000000000000001,600,600,2.2095159503697977e-08,8.9962035037128567e-08,6.9800257181137277e-08,2.7365045734799309e-07,2.9756330989432888e-10,1.0928292566047777e-09,1.8837935640981405e-09,9.6778975501934927e-09,2.915,9.975508462109682e-14,chunk_1
vertical,0.28000000000000003,600,600,4.3306525850359771e-08,1.7632563664418123e-07,1.3680857097858941e-07,5.3635531243288737e-07,5.977376589318453e-10,2.1691668482114847e-09,3.6990830095465238e-09,1.9119476870861976e-08,2.8633333333333333,9.9932064713545152e-14,chunk_1
vertical,0.40000000000000002,600,600,8.8380716797672808e-08,3.5984841844916496e-07,2.7920141746757957e-07,1.094604272406513e-06,1.2740461724876897e-09,5.1206075987550177e-09,7.5837923745902708e-09,3.9480953314355999e-08,2.9049999999999998,9.9142694750982583e-14,chunk_2
vertical,0.56999999999999995,600,600,1.7946829639869461e-07,7.3071780845592179e-07,5.669543732739635e-07,2.2227367692841116e-06,2.7721111591240249e-09,1.3458919183921211e-08,1.5559813687471953e-08,8.1498949487061184e-08,3.2850000000000001,9.9930326563124673e-14,chunk_2
vertical,0.80000000000000004,600,600,3.5352401934603374e-07,1.43939679868692e-06,1.1168113158651507e-06,4.3784491228094496e-06,6.0259975588611298e-09,3.4794827633830581e-08,3.121299014979601e-08,1.6407879762075223e-07,3.8466666666666667,9.9748707670686945e-14,chunk_2
vertical,1.1299999999999999,600,600,7.0533866451488815e-07,2.8718281480918194e-06,2.2282278806798731e-06,8.73576632803158e-06,1.3828881183874108e-08,9.3357436097917472e-08,6.4321732980460362e-08,3.3749481046147813e-07,3.9216666666666669,9.9981330930685759e-14,chunk_2
vertical,1.6000000000000001,600,600,1.4141141816833165e-06,5.7576240805049424e-06,4.4673345787451013e-06,1.751424058319892e-05,3.3364184525682821e-08,2.5592900000040108e-07,1.3679082029666607e-07,7.0556400604037187e-07,4.2400000000000002,9.9839234430708846e-14,chunk_3
vertical,2.2599999999999998,600,600,2.8214264028669595e-06,1.1487444458768345e-05,8.9132664602587183e-06,3.4944755410099351e-05,8.3533389466905835e-08,7.0409408106310298e-07,2.9864294357944493e-07,1.4947425059448811e-06,4.6933333333333334,9.9913044044391016e-14,chunk_3
