plane,predictor,direction_element_rows,directions,elements,pooled_share_spearman,pooled_share_log_pearson,direction_spearman_p10,direction_spearman_median,direction_spearman_p90,direction_log_pearson_p10,direction_log_pearson_median,direction_log_pearson_p90,element_share_spearman,element_share_log_pearson
x,source_only,152,2,76,0.9403529275077057,0.9537048408656638,0.9414354066985646,0.9414354066985646,0.9414354066985646,0.9523712824665532,0.9573504413420816,0.9623296002176098,0.8729733424470266,0.9305471759500952
x,nominal_beta_envelope,152,2,76,0.9984110060894348,0.9991401603774588,0.9969815447710184,0.9977033492822966,0.9984251537935749,0.9991568893157553,0.9991624910412185,0.9991680927666815,0.995434039644566,0.9985007972927958
x,direction_beta_envelope,152,2,76,0.9983802513685851,0.9990474897533391,0.9970034176349967,0.9977033492822966,0.9984032809295967,0.9990314358034957,0.9990733866333206,0.9991153374631453,0.99526999316473,0.9983257243897108
x,nominal_beta_phase,152,2,76,0.9997744653804359,0.9999286784334547,0.999475051264525,0.9995625427204374,0.9996500341763499,0.9999289358475774,0.9999294220475459,0.9999299082475145,0.9992344497607656,0.9998874851669727
x,direction_beta_phase,152,2,76,0.9998052201012856,0.9999278303097938,0.9995734791524266,0.9996172248803827,0.9996609706083389,0.9999279346222374,0.9999286047771326,0.9999292749320279,0.999043062200957,0.9998842372768266
y,source_only,152,2,76,0.9559045646840123,0.9721105523417837,0.9516855775803145,0.9520027341079973,0.9523198906356801,0.9678425443784514,0.9713422714660693,0.9748419985536871,0.8927682843472318,0.95769948669453
y,nominal_beta_envelope,152,2,76,0.9988825784757961,0.9993892626771016,0.9987423103212577,0.9987423103212577,0.9987423103212577,0.9993742032550974,0.9994237972431657,0.9994733912312338,0.9971018455228982,0.9990376114358382
y,direction_beta_envelope,152,2,76,0.9988586581373574,0.9993790087779014,0.9987477785372523,0.9987696514012303,0.9987915242652086,0.999360246277884,0.9994143432005207,0.9994684401231574,0.9972385509227615,0.9990180970972469
y,nominal_beta_phase,152,2,76,0.9997744653804359,0.9997593977832915,0.9996226930963773,0.9996445659603554,0.9996664388243335,0.9996876969146595,0.9997863020085941,0.9998849071025286,0.9994805194805195,0.9995746059413447
y,direction_beta_phase,152,2,76,0.9997812997628469,0.9997595936492628,0.9996254272043745,0.9996582365003417,0.999691045796309,0.9996881816503532,0.9997863600430485,0.9998845384357438,0.9994805194805195,0.9995772443693273
