plane,element_order,element_index,element_name,s_m,k2l_m2,nominal_beta_sext_m,actual_rms_relative_magnitude,predictor_source_only_rad_rms,predictor_nominal_beta_envelope_m_rms,predictor_direction_beta_envelope_m_rms,predictor_nominal_beta_phase_m_rms,predictor_direction_beta_phase_m_rms,actual_element_magnitude_share,predictor_source_only_rad_element_share,predictor_nominal_beta_envelope_m_element_share,predictor_direction_beta_envelope_m_element_share,predictor_nominal_beta_phase_m_element_share,predictor_direction_beta_phase_m_element_share
x,1,180,sex_09aw,50.648999999999994,0.6125038570704001,17.691059114318925,0.1264563273561207,2.272088518139532e-08,2.2615448701636724e-06,2.2591319955756654e-06,1.5154478851987147e-06,1.5148585459643502e-06,0.017924541992159575,0.013218257269435128,0.01822797898741061,0.018164236055971113,0.017623383925525624,0.017613650918090897
x,2,190,sex_10w,52.495,-0.24066952067328,15.551773552981958,0.03548742447925797,6.86052379212965e-09,6.402510239188918e-07,6.391315353224376e-07,4.393740365488569e-07,4.3928669832504127e-07,0.0050301621403309165,0.003991225155334435,0.005160402680764443,0.005138848062507184,0.005109550390109978,0.005107699710887772
x,3,210,sex_10aw,59.240385,-0.11116394997904001,41.54786898934797,0.11326520060484399,1.2456628102290006e-08,1.9001063979022038e-06,1.8971206485955857e-06,1.35980633770849e-06,1.35999116882149e-06,0.016054766787386366,0.007246853001157285,0.015314796514428311,0.015253534257951274,0.015813403672840468,0.01581296799171365
x,4,232,sex_12w,77.25888200000003,0.4523813768896,22.459669489180584,0.08038130059350992,1.314099102096727e-08,1.4737806290285013e-06,1.4792150666498453e-06,9.665745145374052e-07,9.66788780196937e-07,0.0113936410142235,0.007644992644596216,0.011878624515656907,0.011893422651176343,0.011240448403864182,0.01124110243248844
x,5,238,sex_13w,85.56084500000003,-0.6414630744352,4.725406822125736,0.08604094323857454,2.8742038854402064e-08,1.478564310605152e-06,1.4717397686621437e-06,1.0728693820892006e-06,1.0716734617859193e-06,0.01219586660762057,0.016721164734227825,0.01191718083545937,0.011833318559205065,0.012476568285302766,0.012460623669692408
x,6,254,sex_14w,92.46755300000004,0.4078490260464,20.534868814294992,0.10444265591142779,1.556445751586615e-08,1.6691024693634682e-06,1.6608025918515782e-06,1.258857460213513e-06,1.2576556877514778e-06,0.0148042158964887,0.009054885056695555,0.013452912272835247,0.01335345184780741,0.014639453158064732,0.014623086966251544
x,7,273,sex_15w,102.39929400000004,-0.94264120352,6.174674270691835,0.21668601825536335,6.885075851550155e-08,4.048729856520773e-06,4.09582604678052e-06,2.6776127826589425e-06,2.6817211448654044e-06,0.030714142301430082,0.04005508729029901,0.03263263255308376,0.03293191867656169,0.031138383928330134,0.031181063229407228
x,8,279,sex_16w,110.60549700000004,0.3880488903584,29.12820590336672,0.1526981188579859,2.148202826718797e-08,2.7436909868692885e-06,2.74258758654779e-06,1.826427526933504e-06,1.8253694524408845e-06,0.02164418262666921,0.012497531413850058,0.022114061196133513,0.022051393377541865,0.021239815524950745,0.021224041292497747
x,9,287,sex_17w,118.80659200000005,-0.7689091814976,2.865026989291447,0.07847190829217947,3.2803655319597356e-08,1.3139826888465685e-06,1.3072393410748271e-06,9.82221538480383e-07,9.809505085776683e-07,0.011122994355410446,0.019084078456035033,0.01059065825228714,0.010510675790276107,0.011422410128138738,0.011405764499953114
x,10,295,sex_18w,127.00534400000006,0.23297390769040002,40.70916373609927,0.029373251520466263,3.3980114632628146e-09,5.130668735221535e-07,5.147623524199613e-07,3.517890576806269e-07,3.510741619968196e-07,0.0041635091840216965,0.0019768503457196405,0.004135302515143746,0.004138874975165213,0.004091010773024124,0.004082029805520071
