lambda2,rho,trial,active_rms_rad,max_closure_norm,y_even_rmse_m,y_odd_nl_rmse_m,y_odd_over_rho3_rmse_m
0,0.40000000000000002,1,2.0000000000000003e-06,9.5688294122350899e-14,1.1226455830562159e-10,2.8637557225599491e-11,4.4746183164999196e-10
0,0.56999999999999995,1,2.8499999999999998e-06,6.0026410885022608e-14,2.2796652030468001e-10,8.2868052259485221e-11,4.4746859902634134e-10
0,0.80000000000000004,1,4.0000000000000007e-06,2.1834692042959649e-14,4.4905682508015987e-10,2.2910515918234843e-10,4.4747101402802414e-10
0,1.1299999999999999,1,5.6500000000000001e-06,9.7681224535114506e-14,8.9593670507385659e-10,6.4565564472524644e-10,4.4747174935234234e-10
0,1.6000000000000001,1,8.0000000000000013e-06,3.9002519623039357e-14,1.7962163321655223e-09,1.8328507637882554e-09,4.4747333100299191e-10
0,2.2599999999999998,1,1.13e-05,6.7271205343550142e-15,3.5837000490305517e-09,5.1652997257305877e-09,4.4747647664131514e-10
0,0.40000000000000002,2,2.0000000000000003e-06,3.7024206370325006e-14,1.4261606550892219e-10,5.2851054369592846e-11,8.2579772452488801e-10
0,0.56999999999999995,2,2.8499999999999998e-06,3.8346949852719254e-14,2.8959962393884726e-10,1.5293242125650315e-10,8.2580022601557932e-10
0,0.80000000000000004,2,4.0000000000000007e-06,3.9162192109044657e-14,5.7046458160908719e-10,4.2281046786544584e-10,8.2580169504969875e-10
0,1.1299999999999999,2,5.6500000000000001e-06,2.4382971960112142e-14,1.138168988315205e-09,1.1915516478040731e-09,8.2580506287286866e-10
0,1.6000000000000001,2,8.0000000000000013e-06,1.1774035183431385e-14,2.2818763574323452e-09,3.3825298613389048e-09,8.2581295442844332e-10
0,2.2599999999999998,2,1.13e-05,6.7042377858849167e-14,4.5527511685670478e-09,9.5326765520293209e-09,8.2582787891558824e-10
0,0.40000000000000002,3,2.0000000000000003e-06,7.5719369762596531e-14,4.2936559732796191e-10,6.256216079674885e-10,9.7753376244920056e-09
0,0.56999999999999995,3,2.8499999999999998e-06,8.2075006578464121e-15,8.7188835125866735e-10,1.8103431927323679e-09,9.7754407171565247e-09
0,0.80000000000000004,3,4.0000000000000007e-06,7.6481559745527106e-14,1.7175143710130165e-09,5.0051413136570451e-09,9.7756666282364146e-09
0,1.1299999999999999,3,5.6500000000000001e-06,8.2480908294223705e-14,3.4268583669833938e-09,1.4105944081953509e-08,9.7761268350779819e-09
0,1.6000000000000001,3,8.0000000000000013e-06,1.4574816997899354e-14,6.870956268354788e-09,4.004680554047188e-08,9.7770521339042644e-09
0,2.2599999999999998,3,1.13e-05,1.3923220107522382e-14,1.3711016017580355e-08,1.1287946115891412e-07,9.7788911092505356e-09
0,0.40000000000000002,4,2.0000000000000003e-06,8.9958980345415404e-14,1.0837462858469532e-10,1.7359450815646921e-10,2.7124141899448308e-09
0,0.56999999999999995,4,2.8499999999999998e-06,7.5503326654132273e-14,2.2006826772913878e-10,5.0232235094764934e-10,2.7124262307303702e-09
0,0.80000000000000004,4,4.0000000000000007e-06,3.9462650027739296e-14,4.3349974973739774e-10,1.3887726019818401e-09,2.7124464882457807e-09
0,1.1299999999999999,4,5.6500000000000001e-06,6.6469340256274553e-14,8.6490508936337038e-10,3.9138421936805433e-09,2.7124889674595933e-09
0,1.6000000000000001,4,8.0000000000000013e-06,5.4128426440482749e-14,1.7340311150203482e-09,1.1110686237520405e-08,2.7125698822071294e-09
0,2.2599999999999998,4,1.13e-05,9.2414623948703791e-14,3.4597498841547256e-09,3.1313603312219614e-08,2.7127372321291494e-09
0,0.40000000000000002,5,2.0000000000000003e-06,9.0622353106490841e-14,1.2400136426457229e-10,9.6863748983964252e-12,1.5134960778744411e-10
0,0.56999999999999995,5,2.8499999999999998e-06,8.8599492316722452e-14,2.5180050148410202e-10,2.8029441180896241e-11,1.5135259529731819e-10
0,0.80000000000000004,5,4.0000000000000007e-06,3.0948866878301474e-14,4.9600623447081938e-10,7.7493083427119386e-11,1.5135367856859252e-10
0,1.1299999999999999,5,5.6500000000000001e-06,6.4728219545847322e-14,9.8961159297529784e-10,2.1838701072608663e-10,1.5135315322305523e-10
0,1.6000000000000001,5,8.0000000000000013e-06,1.1115076763711014e-14,1.9840352870326227e-09,6.1994509884040425e-10,1.5135378389658302e-10
0,2.2599999999999998,5,1.13e-05,5.3209476937053444e-14,3.9584895406111579e-09,1.7471137262387622e-09,1.5135468143592049e-10
0,0.40000000000000002,6,2.0000000000000003e-06,3.038318837113147e-14,1.972669404265096e-10,3.5453104504689842e-10,5.5395475788577863e-09
0,0.56999999999999995,6,2.8499999999999998e-06,9.2018088758941001e-14,4.0057585994620569e-10,1.0258942745651551e-09,5.5395953117296836e-09
0,0.80000000000000004,6,4.0000000000000007e-06,7.3131334897790264e-14,7.8907356147194586e-10,2.8363305760605796e-09,5.5397081563683179e-09
0,1.1299999999999999,6,5.6500000000000001e-06,1.3500846373066305e-14,1.5743410018133398e-09,7.9935495286580535e-09,5.5399307980112623e-09
0,1.6000000000000001,6,8.0000000000000013e-06,8.6421255983718501e-15,3.1563980023106663e-09,2.2693410692242909e-08,5.5403834697858651e-09
0,2.2599999999999998,6,1.13e-05,4.0080749014633706e-14,6.2977909647420765e-09,6.3964004081470505e-08,5.5412829260742911e-09
0,0.40000000000000002,7,2.0000000000000003e-06,3.384637156987118e-14,3.44191410615067e-10,5.5657042637958982e-10,8.6964129121810897e-09
0,0.56999999999999995,7,2.8499999999999998e-06,6.7405598154753088e-14,6.9892662614939263e-10,1.6105281224102251e-09,8.6964848693537305e-09
0,0.80000000000000004,7,4.0000000000000007e-06,3.8286483238706857e-14,1.376788217503917e-09,4.4526883918550455e-09,8.6966570153418842e-09
0,1.1299999999999999,7,5.6500000000000001e-06,6.6646413079155864e-15,2.7469681183001306e-09,1.2548773659659749e-08,8.6969296212132627e-09
0,1.6000000000000001,7,8.0000000000000013e-06,2.400251370236913e-14,5.5075236496147389e-09,3.5625105685883235e-08,8.6975355678425848e-09
0,2.2599999999999998,7,1.13e-05,7.1933915896422012e-14,1.0989349935553208e-08,1.0041106701775356e-07,8.698738286391337e-09
0,0.40000000000000002,8,2.0000000000000003e-06,5.223887677442578e-14,1.3292776186012672e-10,3.7483889703518551e-11,5.8568577661747721e-10
0,0.56999999999999995,8,2.8499999999999998e-06,8.7044148375942202e-14,2.6992625221450737e-10,1.0846738466897037e-10,5.8569916070785819e-10
0,0.80000000000000004,8,4.0000000000000007e-06,2.9521525881046061e-14,5.3171137438191497e-10,2.9987907781457165e-10,5.857013238565851e-10
0,1.1299999999999999,8,5.6500000000000001e-06,2.7909403839874175e-14,1.0608531260159146e-09,8.4511439336789709e-10,5.8570666746683753e-10
0,1.6000000000000001,8,8.0000000000000013e-06,2.4145950951751737e-14,2.1268702031245972e-09,2.3990819288045566e-09,5.8571336152454982e-10
0,2.2599999999999998,8,1.13e-05,8.008256366907659e-14,4.2435040407745569e-09,6.7612012021446508e-09,5.8573144879231274e-10
0,0.40000000000000002,9,2.0000000000000003e-06,8.8387250953115433e-14,2.3011224639288413e-10,3.0432359694676919e-11,4.755056202293267e-10
0,0.56999999999999995,9,2.8499999999999998e-06,4.8376724716496064e-14,4.6727166803697527e-10,8.80598291809652e-11,4.7550301135013322e-10
0,0.80000000000000004,9,4.0000000000000007e-06,3.3025110043271964e-14,9.20449564551367e-10,2.4345778977305936e-10,4.7550349565050643e-10
0,1.1299999999999999,9,5.6500000000000001e-06,1.9268663454900519e-14,1.8364455655313204e-09,6.8610338813614737e-10,4.7550406448703384e-10
0,1.6000000000000001,9,8.0000000000000013e-06,9.0345899745416531e-14,3.681832435899042e-09,1.9476767212498996e-09,4.7550701202390113e-10
0,2.2599999999999998,9,1.13e-05,4.5039789566241559e-14,7.3459189257482885e-09,5.4888971266549322e-09,4.755101305442224e-10
0,0.40000000000000002,10,2.0000000000000003e-06,7.6041764253606432e-14,5.3272492300451584e-11,6.125165832002864e-11,9.5705716125044724e-10
0,0.56999999999999995,10,2.8499999999999998e-06,3.0334337506045944e-14,1.0817638106276063e-10,1.7724153991077509e-10,9.5706392742044856e-10
0,0.80000000000000004,10,4.0000000000000007e-06,4.2629954072771377e-14,2.1308948222438583e-10,4.900180617139517e-10,9.5706652678506177e-10
