lambda2,trial,detector,c3_y_m,c5_y_m
0,1,DET_00W,-6.5077563103919933e-11,-2.1538035892319735e-15
0,1,DET_01W,-1.1189806515549218e-10,-3.6796388181846411e-15
0,1,DET_02W,-6.1126484105714806e-11,-2.8504409418647655e-15
0,1,DET_03W,1.9480519590085655e-11,-1.7583774812434653e-15
0,1,DET_04W,7.0016221221955142e-11,-4.0056678616078354e-16
0,1,DET_05W,1.7209498931183267e-10,2.8174437411782422e-16
0,1,DET_06W,8.7679046449769293e-11,8.21366957097296e-16
0,1,DET_07W,1.0389568883828297e-10,1.9335476008908351e-15
0,1,DET_08W,-1.3707289788521391e-10,7.6511318125283176e-16
0,1,DET_09W,-4.7141319162426123e-10,-1.371178157405302e-16
0,1,DET_10W,-4.2431616886961829e-10,-8.9797036818565049e-16
0,1,DET_11W,-7.8207133127086013e-10,-2.4404392681570052e-15
0,1,DET_12W,-4.2141064622026038e-10,-1.8922652052685819e-15
0,1,DET_13W,-5.2448522445223339e-10,-3.2464332325738295e-15
0,1,DET_14W,-9.1951204801350722e-11,-1.4366886165697686e-15
0,1,DET_15W,2.3832153731960988e-10,-1.3230923972544897e-15
0,1,DET_16W,2.8785810514652622e-10,2.7080465688798044e-16
0,1,DET_17W,5.9165493742316251e-10,1.8180521403480467e-15
0,1,DET_18W,1.4824303067096712e-10,1.1981808526195212e-15
0,1,DET_19W,-6.2074039715685504e-11,1.4648657909070806e-15
0,1,DET_20W,-2.8035499433063241e-10,-5.0676276482441856e-16
0,1,DET_21W,-6.7549772329449212e-10,-2.5235390246591416e-15
0,1,DET_22W,-2.0566798879510356e-10,-1.4114952585863944e-15
0,1,DET_23W,3.634006715637214e-12,-1.7118513692870389e-15
0,1,DET_24W,3.2023458342484943e-10,6.1368290379248974e-16
0,1,DET_25W,7.8001566568149134e-10,2.6144049387927596e-15
0,1,DET_26W,7.1176417114142045e-11,7.6294627943066349e-16
0,1,DET_27W,-4.6373268261131842e-10,-1.5860380111736367e-16
0,1,DET_28W,-3.8269138495435671e-10,-9.6994089420572275e-16
0,1,DET_29W,-6.5679025385890575e-10,-2.5580803013915103e-15
0,1,DET_30W,-1.806034325403367e-10,-1.3938035987952814e-15
0,1,DET_31W,2.3373740782377198e-11,-1.7325952213425906e-15
0,1,DET_32W,2.3800304482610045e-10,-4.2007053181757886e-16
0,1,DET_33W,5.9878458401070339e-10,4.6067727900216966e-16
0,1,DET_34W,5.3296264446128238e-10,6.364358038642317e-16
0,1,DET_35W,8.2895310672324138e-10,2.0589959578728406e-15
0,1,DET_36W,4.6986354689735064e-10,1.79994877294476e-15
0,1,DET_37W,5.8588393723436559e-10,2.9434454203323488e-15
0,1,DET_38W,9.6055497586459339e-11,1.1592724422328199e-15
0,1,DET_39W,-2.4775401463747207e-10,5.9267903672975648e-16
0,1,DET_40W,-3.9850032371450872e-10,-6.3323858189827492e-16
0,1,DET_41W,-8.3541609119042504e-10,-2.1766214646436656e-15
0,1,DET_42W,-4.3907590843075098e-10,-1.5641830052251913e-15
0,1,DET_43W,-4.484986849536194e-10,-2.294882017372877e-15
0,1,DET_44W,-1.0650754034974048e-10,-1.6728947895634501e-15
0,1,DET_45W,1.0000148918889054e-10,-4.4975243290336314e-16
0,1,DET_46W,5.9160857095773786e-10,9.8569152494640673e-16
0,1,DET_47W,8.9246552309559287e-10,2.6310760418340468e-15
0,1,DET_48W,1.770720558086492e-10,7.2028506409078142e-16
0,1,DET_49W,-8.5295468774279905e-11,2.2367707080150319e-16
0,1,DET_49E,-2.829483085202592e-10,-4.2440281912113178e-16
0,1,DET_48E,-2.7453852860403059e-10,-7.4390737493534829e-16
0,1,DET_47E,-6.4499847598187835e-10,-2.3838792780099798e-15
0,1,DET_46E,-3.0132824931302352e-11,-6.7622230571681025e-16
0,1,DET_45E,3.092553673726231e-10,5.6395666674618957e-16
0,1,DET_44E,7.6358042138080047e-10,1.794302508148115e-15
0,1,DET_43E,8.2743248864852877e-10,2.1730663627817297e-15
0,1,DET_42E,4.8325921520274379e-10,1.3481879360839754e-15
0,1,DET_41E,5.2148359880358401e-10,1.6437221773852675e-15
0,1,DET_40E,6.9927395683609898e-11,3.4555488459225143e-16
0,1,DET_39E,-3.9484279461045366e-10,-8.8059880070900439e-16
0,1,DET_38E,-4.7077972086718172e-10,-1.1467052752797436e-15
0,1,DET_37E,-1.0091397175418007e-09,-2.6061197221980752e-15
0,1,DET_36E,-5.7683436085613901e-10,-1.4530133410442216e-15
0,1,DET_35E,-5.4151013974040263e-10,-1.3138179076268696e-15
0,1,DET_33E,3.5247422526790651e-11,2.1036300847474346e-16
0,1,DET_32E,2.5646708525703902e-10,7.4164842984834782e-16
0,1,DET_31E,7.0698475631433288e-10,1.945338638748314e-15
0,1,DET_30E,4.9765037329191934e-10,1.2781431459874826e-15
0,1,DET_29E,7.8956199926371602e-10,1.9117416416041182e-15
0,1,DET_28E,2.6718768635441133e-10,5.0663939726537955e-16
0,1,DET_27E,-6.0978987745954006e-11,-5.7472275809469965e-16
0,1,DET_26E,-2.5710252884789878e-10,-7.170562471609992e-16
0,1,DET_25E,-7.3913734448585623e-10,-1.6057629225229562e-15
0,1,DET_24E,-1.660396963624902e-10,-1.4157605406245015e-16
0,1,DET_23E,5.1494153057053033e-10,1.9478309586612468e-15
0,1,DET_22E,4.2156860517946894e-10,1.1963335405412471e-15
0,1,DET_21E,7.4156638204497562e-10,1.5518863940390072e-15
0,1,DET_20E,1.5992148201555515e-10,1.590149648706128e-17
0,1,DET_19E,-4.0104883955628536e-10,-1.8364265605282283e-15
0,1,DET_18E,-3.4013676248612294e-10,-1.0718983126305147e-15
0,1,DET_17E,-5.3542946204457195e-10,-8.5409197442332964e-16
0,1,DET_16E,-1.0924279546375515e-10,3.3011656682545535e-16
0,1,DET_15E,2.9528218717762539e-10,2.1443360907833388e-15
0,1,DET_14E,3.6759738619067483e-10,1.5282129396007986e-15
0,1,DET_13E,8.6335198186679935e-10,2.7630171165293396e-15
0,1,DET_12E,5.3317677135730826e-10,1.2823018879723819e-15
0,1,DET_11E,7.3280898455110418e-10,1.0792820614124536e-15
0,1,DET_10E,3.3226019912590694e-10,-3.9827202791216597e-17
0,1,DET_09E,2.0762973399761511e-10,-1.2313519299083235e-15
0,1,DET_08E,-7.5799621301466756e-11,-1.494288514068015e-15
0,1,DET_07E,-4.2792897905912904e-10,-2.6710600114373705e-15
0,1,DET_06E,-3.8475708592251335e-10,-1.5015087851464138e-15
0,1,DET_05E,-6.9012556169154232e-10,-1.888495172372615e-15
0,1,DET_04E,-2.9707651601371957e-10,-2.0162677372019316e-16
0,1,DET_03E,-2.5279149838834391e-10,1.0187576055006946e-15
0,1,DET_02E,-1.9608165495485776e-11,2.6169587594834453e-15
0,1,DET_01E,1.1118968189211561e-10,3.7187417204249482e-15
0,1,DET_00E,8.3420562186975889e-11,2.2395676615721405e-15
0,2,DET_00W,-4.895509179607524e-12,7.9298887396101514e-15
0,2,DET_01W,-1.2106866867504919e-11,1.3017839535601171e-14
0,2,DET_02W,-3.9261602892366028e-11,8.6044736551596821e-15
0,2,DET_03W,-9.4930008895586246e-11,2.0458125116736145e-15
0,2,DET_04W,-1.0748984875763631e-10,-3.3030737752979058e-15
0,2,DET_05W,-2.0344436160861747e-10,-1.0185434601975997e-14
0,2,DET_06W,-1.1247931813445304e-10,-7.3243936054949811e-15
