trial,q_hh_norm_m,q_hv_norm_m,q_vv_norm_m,q_total_norm_m,hh_relative_closure,hv_relative_closure,vv_relative_closure,total_relative_closure,total_signed_projection
1,2.1944015753274731e-06,4.2622435062722154e-08,8.6486726644273102e-06,9.2702083419222421e-06,0.34614886084491947,0.51730534668859507,0.22520913755829072,0.29362305405342465,0.88620145286272711
2,1.4990534449344743e-06,2.875828424554064e-08,2.4888808538619508e-06,2.368520640070672e-06,0.56838284478715717,0.71292373821576815,0.097529892079909891,0.39888004650559272,0.9472469122811692
3,1.3288452963235978e-06,5.4961397459785434e-08,8.1513421246084747e-06,7.6786241319743302e-06,0.34030618181259153,0.63825155263679245,0.30211743700791782,0.36396807141035781,0.90932901658377785
4,7.0401191942304625e-07,4.1300313033394442e-08,1.4188006914381889e-06,1.6356615455553508e-06,0.38779885128692354,0.17013579893876898,0.33770976954591414,0.41877900272425739,0.87165781110954443
5,9.609073736965128e-07,6.1324871161406532e-08,6.7618762640226106e-06,7.1814173961438503e-06,1.0800052856175215,0.81481713061631456,0.3198614385440402,0.41092740217798235,0.83833533141585692
6,1.3353314686687805e-06,1.5290334057664405e-08,5.0023715642903285e-06,5.4140717795333849e-06,0.11218672005898342,0.29249242580734541,0.20300644267788226,0.21460289110314204,0.97091464858380705
7,2.0426269676901199e-06,3.4682305458523922e-08,1.7749182145691637e-06,2.4886490307591947e-06,0.40497489536289999,0.38004731849372392,0.18141761169839191,0.45418500488909719,0.8478419698404438
8,4.3263149803509343e-06,4.7102253822143551e-08,3.0918175649030963e-06,4.6265920412406642e-06,0.45088888679914435,0.31882899660020764,0.36159230195207803,0.66539638843261129,0.59413822367617386
9,7.9745966006641255e-07,1.526855227138776e-07,2.2377757776694379e-05,2.1567188939659544e-05,0.16174417384378773,0.061130160924001045,0.078685606960474233,0.086924675480059735,1.0056105842810703
10,2.4042164917803621e-06,3.1424283334149705e-08,1.2340497917577305e-05,1.3912480843037328e-05,0.38253208187884347,1.1043111288859164,0.30630680938707811,0.33615579437430848,0.88054560843129581
11,1.0898271357951666e-06,7.7811435280413193e-08,5.6892213358492849e-06,5.7635233645127247e-06,0.2511680112364702,0.21823740829665886,0.10174872507748935,0.14115876820628653,0.95900848926570559
12,9.5633714435667363e-07,2.506798582518027e-08,6.0138539301639869e-06,6.0738671028390199e-06,0.36848159769003919,0.47833227991616623,0.17144550197634092,0.21864533344474588,0.98475899699935521
13,1.5918160929837162e-06,4.2345976207498349e-08,6.6189724866141455e-06,6.308926721864468e-06,0.19214081751591874,0.27069464395455123,0.16945497865550696,0.2271174815529039,0.96200409916668439
14,9.8370370348778509e-07,3.6980688775430782e-08,3.813316396714004e-06,3.6424839958424398e-06,0.48436037450373359,0.31979868740252415,0.35228617012560387,0.49619899251599631,0.84950256923801426
15,9.0080747358100131e-07,5.3448482639916787e-08,3.2096715104872084e-06,3.4506884762352049e-06,0.81048439915345749,0.34383296070807284,0.15887579112872663,0.34896914763454839,0.88199110943475256
16,1.2144034470347316e-06,1.2039221442182944e-07,8.8682633787942605e-06,9.3414624767217636e-06,0.48045714993270905,0.19680461091837989,0.17883966755999456,0.21831120185289823,0.92531242767584387
17,1.8787739318282361e-06,9.1321948282347698e-08,1.0319608293335327e-05,1.0093643077005441e-05,0.49046925371834749,0.13146016987149103,0.10732889065887159,0.19324201639155236,0.96783220337102516
