trial,family,element_count,contribution_norm_m,projection_numerator
1,drift,429,5.4399175704309964e-07,2.0196675435531815e-12
1,kicker,35,8.485807240175187e-08,3.034259375840094e-13
1,marker,102,1.6111139337077561e-20,-3.6124165770075873e-26
1,normal_sextupole,76,8.5966812917457382e-06,7.6338255628739621e-11
1,octupole,4,1.0307719056754917e-08,3.6513972913922816e-14
1,other_sextupole,3,7.8443774983848692e-10,2.8112409363188261e-15
1,quadrupole,124,2.2225597587420628e-07,8.1340125006417058e-13
1,rfcavity,4,2.4527334985504983e-09,8.7914697676350724e-15
1,sbend,84,1.0608539233004944e-06,3.7407517482610216e-12
1,solenoid,6,7.4972847858699072e-07,2.6753674108524156e-12
1,wiggler,2,7.7740312174788928e-09,-2.2235000277361608e-15
2,drift,429,2.3089183886338364e-07,8.491355702882856e-14
2,kicker,35,6.0642036912871726e-08,3.0234652841368102e-14
2,marker,102,2.0789764607609302e-21,-1.7190614430963599e-27
2,normal_sextupole,76,2.4237648197973332e-06,5.3170839247911967e-12
2,octupole,4,2.109620665964115e-08,1.0120877014284206e-14
2,other_sextupole,3,6.7172375723339035e-10,-1.8692501307788723e-16
2,quadrupole,124,1.1228061122403688e-07,5.4967352778761973e-14
2,rfcavity,4,4.4406149536222243e-09,9.052689889055756e-16
2,sbend,84,5.2070925454136496e-07,9.929454312351928e-14
2,solenoid,6,3.0431191605246864e-08,1.4828061778122966e-14
2,wiggler,2,2.9549702344539099e-09,-2.2712908911206366e-15
3,drift,429,4.6111574192601543e-07,1.118296233325995e-12
3,kicker,35,2.7462932539160427e-08,3.9602616222820394e-14
3,marker,102,8.0929822053042915e-21,1.2826070736238194e-26
3,normal_sextupole,76,7.4831018510580798e-06,5.3661972757784915e-11
3,octupole,4,3.9346673399282811e-09,-3.4827686263978937e-15
3,other_sextupole,3,6.2220145780469292e-10,1.1169340930975436e-15
3,quadrupole,124,1.8300492613692667e-07,4.5141505871853523e-13
3,rfcavity,4,1.3567435019576102e-08,2.3709625784386381e-14
3,sbend,84,7.7814896644423106e-07,1.3660358277821429e-12
3,solenoid,6,1.3152758824261833e-06,2.2319581285769821e-12
3,wiggler,2,2.1548392346500553e-08,7.0644146475999176e-14
