family,element_count,eta_hh,eta_hv,eta_vv,eta_total,magnitude_hh,magnitude_hv,magnitude_vv,magnitude_total
drift,429,0.06503635012183516,0.075651590470514299,0.0052685853015835985,0.01693667570801,0.14496882117903723,0.22765020251695922,0.032252800440599527,0.064922076074446486
kicker,35,0.0087101857214223165,0.0031786593320268044,0.00085637386031458943,0.0025957031584835223,0.022420187174925766,0.013757804932020976,0.0055630858479396002,0.010006486527390194
marker,102,-6.638683646500507e-17,4.0557545654692552e-16,1.4739267428612905e-16,1.0980476916847789e-16,1.7128840578433018e-15,9.0898944274115903e-15,1.7835238886663951e-15,1.8208076484271148e-15
normal_sextupole,76,0.77530567874760681,0.87250968971401088,0.96695209365186452,0.92068807449951662,0.88621002424130879,0.9339040360096077,0.98683567140716155,0.96396538211942351
octupole,4,0.0027148895704738603,0.00053802577989782224,9.431048856496188e-05,0.00056336828097245935,0.0076702444731575753,0.0048433532451246097,0.00066869239606450685,0.0025039362655505447
other_sextupole,3,7.9378285354288916e-05,1.6335934428194193e-05,6.3931565164824491e-06,2.2325137480433939e-05,0.00022009840254764865,0.00012816216208131877,5.2554432729821951e-05,9.7056014161734652e-05
quadrupole,124,0.031564303854995417,0.040473438291772391,0.0020042603637532982,0.0072622345419184825,0.072062854980025431,0.12917941261427077,0.012102355727613825,0.028869850657997118
rfcavity,4,0.00068961383405558995,0.00012251945670170404,5.641532530488664e-05,0.00017549934544387565,0.0021013711409843838,0.0010291074953942346,0.00067117274298578698,0.0010048341277169449
sbend,84,0.1085563445081614,0.016684834095360868,0.011694848815599825,0.03349959059191434,0.23691557636973526,0.11438217790662486,0.079415441317749344,0.12949709336701185
solenoid,6,0.0070247678458004899,-0.0094477737577714372,0.012713521351689166,0.017899084049945647,0.021176493279542331,0.079027162044505009,0.087356964058365835,0.087084968152558992
wiggler,2,0.00031848751029440862,0.0002726806830639269,0.00035319768480819266,0.00035744468631444034,0.0009501487952037202,0.0013889576922207116,0.00121798384721445,0.0012331480337107331
