trial,element_order,element_index,element_name,element_type,s_m,k2l_m2,projection_numerator,contribution_norm_m
1,1,1,ip_l0,Marker,0,0,0,0
1,2,2,sector_4,Marker,0,0,0,0
1,3,3,hs4b!s2,SBend,0.01250000000001137,0,1.0223799161048085e-16,4.1454192133948632e-11
1,4,4,d001!s1,Drift,0.17050000000002272,0,1.2015482489676259e-15,4.6033581662338755e-10
1,5,5,unds4b!s1,Drift,0.68700000000001138,0,3.0637415832779782e-15,1.173777236888539e-09
1,6,6,ls_4b,Marker,1.0580000000000001,0,0,0
1,7,7,unds4b!s2,Drift,1.4290000000000114,0,3.0637415832783238e-15,1.1737772368886279e-09
1,8,8,d002,Drift,1.8220000000000227,0,1.8167739846764228e-16,6.9604041001729425e-11
1,9,9,hs4c,SBend,1.8990000000000229,0,4.5071901601447368e-16,1.7939497088555671e-10
1,10,10,d003,Drift,2.0599500000000228,0,8.6155561042799209e-16,3.5616050367149455e-10
1,11,11,girder_4ab_start,Marker,2.1659000000000228,0,0,0
1,12,12,vx4a,Kicker,2.2040000000000228,0,3.098184875672536e-16,1.2807659452393723e-10
1,13,13,d004,Drift,2.2980500000000226,0,4.5496966874511284e-16,1.8808098329781538e-10
1,14,14,det_s4c,Marker,2.3540000000000227,0,0,0
1,15,15,d005,Drift,2.3740000000000228,0,1.6172794643406619e-16,6.7226500420294675e-11
1,16,16,qx4a,Quadrupole,2.5940000000000225,0,3.314640188875599e-14,9.3874011447453149e-09
1,17,17,d006,Drift,2.801500000000023,0,3.3303077963420665e-15,9.2615425543913632e-10
1,18,18,det_x4a,Marker,2.8090000000000228,0,-3.7061704835583138e-57,2.8644867604852337e-51
1,19,19,d007,Drift,2.8382500000000226,0,1.298670639905602e-14,3.6120113392900143e-09
1,20,20,hx4a,Kicker,2.9520000000000231,0,3.7517151819481345e-14,1.0434699424617632e-08
1,21,21,d008,Drift,3.0813750000000226,0,1.9924049560938001e-14,5.5415045760912793e-09
1,22,22,dqx4b,SBend,4.3000000000000229,0,2.7204238123798855e-13,7.0197683644759566e-08
1,23,23,d009,Drift,5.5858750000000228,0,7.1024162263629708e-14,2.0934016540719879e-08
1,24,24,hx4b,Kicker,5.782500000000022,0,5.3525455618967287e-14,1.5776360291556983e-08
1,25,25,d010,Drift,5.9235000000000229,0,3.5789209970077435e-14,1.0548690609147726e-08
1,26,26,det_x4b,Marker,5.9800000000000226,0,0,0
1,27,27,d011,Drift,5.9975000000000227,0,1.1085408456242494e-14,3.2670471460214235e-09
1,28,28,vx4b,Kicker,6.1490000000000222,0,8.4882556179199922e-14,2.5016246718109768e-08
1,29,29,d012,Drift,6.3125000000000231,0,1.8686831397658238e-14,5.5073080461512203e-09
1,30,30,qx4b,Quadrupole,6.5230000000000228,0,1.0119480164960624e-13,2.8275563909778025e-08
1,31,31,girder_4ab_end,Marker,6.7040000000000228,0,0,0
1,32,32,d013,Drift,6.8875000000000224,0,9.3777889816091551e-14,2.563784190812318e-08
1,33,33,girder_4cd_start,Marker,7.0710000000000228,0,-2.2854038136606837e-41,9.6345535028329918e-36
1,34,34,qx4c,Quadrupole,7.2520000000000229,0,1.1054930156845505e-13,3.1800953321574976e-08
1,35,35,d014,Drift,7.4860000000000229,0,3.9724743076691257e-14,1.2100971004540653e-08
1,36,36,vx4c!s1,Kicker,7.5770000000000231,0,2.8481891262532281e-14,8.6761678900482893e-09
1,37,37,det_x4c,Marker,7.6150000000000233,0,-1.7800922677071966e-41,7.8450532431144395e-36
1,38,38,vx4c!s2,Kicker,7.7110000000000234,0,7.1949039798393035e-14,2.1920770881600264e-08
1,39,39,d015,Drift,7.8565000000000227,0,3.7098723646044111e-14,1.1302897485825287e-08
1,40,40,hx4c,Kicker,7.9905000000000221,0,6.3330144405876401e-14,1.9294845203075373e-08
1,41,41,d016,Drift,8.1881250000000225,0,8.4783699241591532e-14,2.5831116728969576e-08
1,42,42,dqx4d,SBend,9.4750000000000227,0,2.1093773026871081e-13,1.127351570543101e-07
1,43,43,d017,Drift,10.693625000000024,0,2.6349704426794032e-14,9.5509248968530656e-09
1,44,44,hx4d,Kicker,10.823000000000023,0,4.9616713628171428e-14,1.7984471393516934e-08
1,45,45,d018,Drift,10.944250000000023,0,2.1578866577932162e-14,7.8216488013224825e-09
1,46,46,qx4d,Quadrupole,11.181000000000024,0,5.2586357339560165e-14,1.7804905287741743e-08
1,47,47,d019,Drift,11.393000000000022,0,6.0943452548430449e-16,1.6626608029562623e-10
1,48,48,det_x4d,Marker,11.405000000000022,0,-1.0249111160519968e-42,7.0178057958812641e-37
1,49,49,d020,Drift,11.445000000000023,0,2.031602729991756e-15,5.5422039442565849e-10
1,50,50,det_ix4d,Marker,11.485000000000023,0,0,0
1,51,51,d021,Drift,11.497450000000024,0,6.3238358107595301e-16,1.7250113635205606e-10
1,52,52,vx4d,Kicker,11.548000000000023,0,1.9352461396775669e-15,5.2789504377601595e-10
1,53,53,girder_4cd_end,Marker,11.586100000000023,0,-1.1699618467939286e-27,4.6163089305929451e-22
1,54,54,d022,Drift,11.801050000000023,0,1.0918140622670197e-14,2.9782425107528027e-09
1,55,55,det_s5a,Marker,12.016000000000023,0,0,0
1,56,56,d023!s1,Drift,12.895500000000011,0,4.4676163869136043e-14,1.2185925965665545e-08
1,57,57,sector_5,Marker,13.775,0,6.6658755984381117e-43,1.9291406305719795e-36
1,58,58,d023!s2,Drift,14.662000000000011,0,4.5057143094855023e-14,1.2289842332627316e-08
1,59,59,det_s5c,Marker,15.549000000000023,0,-3.7605425139311085e-42,1.7770782936278147e-36
1,60,60,d024,Drift,15.744950000000022,0,9.953822453982147e-15,2.7149881914894425e-09
1,61,61,girder_5ab_start,Marker,15.940900000000022,0,-2.9560052710591e-29,9.7282386454426488e-23
1,62,62,vx5a,Kicker,15.979000000000021,0,1.9353949247089296e-15,5.2789512679635981e-10
1,63,63,d025,Drift,16.07305000000002,0,2.8421350666001824e-15,7.7521607202772854e-10
1,64,64,det_ix5a,Marker,16.129000000000019,0,-2.6720261657907745e-56,1.2626900724141981e-50
1,65,65,d026,Drift,16.149000000000019,0,1.0159567844201058e-15,2.7711028351588745e-10
1,66,66,qx5a,Quadrupole,16.369000000000018,0,1.1729023507969729e-14,7.2490168807164799e-09
1,67,67,d027,Drift,16.576500000000017,0,4.1574268410251604e-16,5.849964252193975e-10
1,68,68,det_x5a,Marker,16.584000000000017,0,1.9488766521956191e-27,6.8579742098371175e-22
1,69,69,d028,Drift,16.613250000000015,0,1.6210749426609486e-15,2.2819065787381522e-09
1,70,70,hx5a,Kicker,16.727000000000018,0,4.6831053899162266e-15,6.5921745607974613e-09
1,71,71,d029,Drift,16.856375000000014,0,2.4870337795608709e-15,3.5008737682330559e-09
1,72,72,dqx5b,SBend,18.075000000000017,0,-2.8749909185916505e-14,5.079319379936985e-08
1,73,73,d030,Drift,19.365375000000018,0,3.1427909746460513e-15,5.826216924966512e-09
1,74,74,hx5b,Kicker,19.566500000000019,0,2.2770918530133608e-15,4.2213533132660566e-09
1,75,75,d031,Drift,19.703000000000017,0,1.4012872941652959e-15,2.5977558850857643e-09
1,76,76,det_x5b,Marker,19.755000000000017,0,1.0400349742992875e-41,4.3406281959320538e-36
1,77,77,d032,Drift,19.772500000000019,0,4.6837867674608896e-16,8.738488937025616e-10
1,78,78,vx5b,Kicker,19.924000000000017,0,3.5864424390966844e-15,6.6911858146329051e-09
1,79,79,d033,Drift,20.08750000000002,0,7.8955262652168527e-16,1.4730595636680966e-09
1,80,80,qx5b,Quadrupole,20.298000000000016,0,4.3538881670071017e-15,3.8563208019631995e-09
1,81,81,girder_5ab_end,Marker,20.479000000000017,0,-1.2286082229919994e-41,5.5534861011542666e-36
1,82,82,d034,Drift,20.662500000000019,0,3.2544249684458135e-15,9.287315081576638e-10
1,83,83,girder_5cd_start,Marker,20.846000000000018,0,-1.158092380138771e-41,5.5799306956102402e-36
1,84,84,qx5c,Quadrupole,21.027000000000015,0,-6.4930756499265328e-16,2.0703245049919565e-09
1,85,85,d035,Drift,21.261000000000017,0,-1.9295753762728177e-15,1.7164994712035628e-09
1,86,86,vx5c!s1,Kicker,21.352000000000018,0,-1.3834691377086529e-15,1.2306977340718265e-09
1,87,87,det_x5c,Marker,21.390000000000018,0,-1.4002308653855821e-56,6.209768364113329e-51
1,88,88,vx5c!s2,Kicker,21.486000000000018,0,-3.4804800010656269e-15,3.1108381153491649e-09
1,89,89,d036,Drift,21.629500000000018,0,-1.7221125005380823e-15,1.5392167758286122e-09
1,90,90,hx5c,Kicker,21.761500000000019,0,-3.0635475009341753e-15,2.7381856327797775e-09
1,91,91,d037,Drift,21.96112500000002,0,-4.1738568762895013e-15,3.7305753961464235e-09
1,92,92,dqx5d,SBend,23.250000000000021,0,-7.3182551541304118e-15,2.3400563508026276e-08
1,93,93,d038,Drift,24.468625000000017,0,-3.4524116133829331e-16,1.1890333890953132e-09
1,94,94,hx5d,Kicker,24.59800000000002,0,-6.500919918280056e-16,2.2389598078816311e-09
1,95,95,d039,Drift,24.719250000000017,0,-2.8273231597623888e-16,9.7374879218797302e-10
1,96,96,qx5d,Quadrupole,24.956000000000017,0,1.6899581718167574e-15,2.4264703109427797e-09
1,97,97,d040,Drift,25.168000000000017,0,3.0519386542105602e-16,9.2934852910167022e-11
1,98,98,det_x5d,Marker,25.180000000000017,0,0,0
1,99,99,d041,Drift,25.220000000000017,0,1.0153674531156588e-15,3.0978631119628109e-10
1,100,100,det_s6a,Marker,25.260000000000016,0,-2.6959399494393445e-43,1.065148456329101e-36
1,101,101,d042,Drift,25.272450000000013,0,3.1542869255041513e-16,9.6422032555395583e-11
1,102,102,vx5d,Kicker,25.323000000000015,0,9.6528780610775749e-16,2.9507465384476416e-10
1,103,103,girder_5cd_end,Marker,25.361100000000015,0,0,0
1,104,104,d043!s1,Drift,26.455550000000009,0,2.7728588960522227e-14,8.4762324120854882e-09
1,105,105,sector_6,Marker,27.550000000000001,0,0,0
1,106,106,d043!s2,Drift,28.632950000000008,0,2.7437229124033264e-14,8.3871678840220865e-09
1,107,107,girder_6ab_start,Marker,29.715900000000016,0,0,0
1,108,108,vx6a,Kicker,29.754000000000016,0,9.652878061047044e-16,2.9507465384494004e-10
1,109,109,d044,Drift,29.848050000000015,0,1.417528943621418e-15,4.3331829088202764e-10
1,110,110,det_s6c,Marker,29.904000000000014,0,0,0
1,111,111,d045,Drift,29.924000000000014,0,5.0584328402300736e-16,1.5489312607615043e-10
1,112,112,qx6a,Quadrupole,30.144000000000013,0,4.71613258865053e-14,1.3929456053831123e-08
1,113,113,d046,Drift,30.351500000000012,0,4.3117140282303594e-15,1.3216695871075114e-09
1,114,114,det_x6a,Marker,30.359000000000012,0,0,0
1,115,115,d047,Drift,30.38825000000001,0,1.682126098553216e-14,5.1545914607056802e-09
1,116,116,hx6a,Kicker,30.502000000000013,0,4.8594753958178823e-14,1.4891041997597576e-08
1,117,117,d048,Drift,30.631375000000009,0,2.5806977323938159e-14,7.9081125401451396e-09
1,118,118,dqx6b,SBend,31.850000000000009,0,2.2876152361310452e-13,9.3274507491847169e-08
1,119,119,d049,Drift,33.137875000000008,0,9.0897277883726188e-14,2.483163057776847e-08
1,120,120,hx6b,Kicker,33.336500000000008,0,6.7301818016865028e-14,1.8385741807854544e-08
1,121,121,d050,Drift,33.475500000000011,0,4.3407681442830934e-14,1.1858259509208419e-08
1,122,122,det_x6b,Marker,33.530000000000008,0,1.304192922557267e-27,1.9126558935502348e-21
1,123,123,d051,Drift,33.547500000000007,0,1.3937416944170023e-14,3.8076206438384349e-09
1,124,124,vx6b,Kicker,33.699000000000005,0,1.0672079260106581e-13,2.9155495215676857e-08
1,125,125,d052,Drift,33.862500000000004,0,2.3494502848740402e-14,6.4185605138991497e-09
1,126,126,qx6b,Quadrupole,34.073000000000008,0,1.190981059828155e-13,3.261557942626192e-08
1,127,127,girder_6ab_end,Marker,34.254000000000005,0,2.5083580109396926e-41,8.3546871802088257e-36
1,128,128,d053,Drift,34.4375,0,1.0393708534013525e-13,2.8541113586721336e-08
1,129,129,girder_6cd_start,Marker,34.621000000000002,0,-8.8267188460007129e-28,2.9398561080134429e-22
1,130,130,qx6c,Quadrupole,34.802000000000007,0,1.2015647650936405e-13,3.2938491452221224e-08
1,131,131,d054,Drift,35.036000000000008,0,4.2911591542665906e-14,1.1739117686075373e-08
1,132,132,vx6c!s1,Kicker,35.12700000000001,0,3.0766801483418942e-14,8.4167258881298247e-09
1,133,133,det_x6c,Marker,35.165000000000006,0,3.3482486320013844e-29,1.0979302793607825e-21
1,134,134,vx6c!s2,Kicker,35.26100000000001,0,7.7723830114257781e-14,2.126306530258921e-08
1,135,135,d055,Drift,35.402000000000008,0,3.6433045366062109e-14,9.967061860588772e-09
1,136,136,hx6c,Kicker,35.531500000000008,0,6.8413162965155989e-14,1.8715927271549972e-08
1,137,137,d056,Drift,35.733625000000011,0,9.5231932470732835e-14,2.6052792252260846e-08
1,138,138,dqx6d,SBend,37.025000000000006,0,3.6052384906618303e-13,8.7891127255062492e-08
1,139,139,d057,Drift,38.243124999999999,0,2.6181824827932619e-14,8.0651635190494887e-09
1,140,140,hx6d,Kicker,38.372,0,4.9856094601921038e-14,1.5357888841908671e-08
1,141,141,d058,Drift,38.493250000000003,0,2.1682976054674747e-14,6.679318520002379e-09
1,142,142,qx6d,Quadrupole,38.729999999999997,0,4.7205917873483508e-14,1.4003333929079556e-08
1,143,143,d059,Drift,38.942,0,2.3330620970745481e-16,8.0133711544254769e-11
1,144,144,det_x6d,Marker,38.954000000000001,0,8.821072253754966e-28,3.1850909839453118e-22
1,145,145,d060,Drift,38.994,0,7.7647323870988581e-16,2.6712812807831642e-10
1,146,146,det_s7a,Marker,39.033999999999999,0,0,0
1,147,147,d061,Drift,39.04645,0,2.4129586109081078e-16,8.3148448913402276e-11
1,148,148,vx6d,Kicker,39.097000000000001,0,7.3842347851540572e-16,2.5445428944676146e-10
1,149,149,girder_6cd_end,Marker,39.135100000000001,0,-4.1456521164051201e-43,1.7984342273490247e-37
1,150,150,d062,Drift,39.242550000000001,0,2.0825092589589491e-15,7.1761452496183747e-10
1,151,151,hs7a,SBend,39.405000000000001,0,1.1055881282746001e-15,3.4942832622439759e-10
1,152,152,d063,Drift,39.490000000000002,0,6.2466033008056046e-16,1.8187937796625978e-10
1,153,153,unds7a!s1,Drift,39.891000000000005,0,7.724966081994502e-15,2.2492416408474162e-09
1,154,154,ls_7a,Marker,40.262,0,0,0
1,155,155,unds7a!s2,Drift,40.633000000000003,0,7.7249660819998788e-15,2.2492416408474211e-09
1,156,156,d064,Drift,41.107000000000006,0,2.1446671332749654e-15,6.2445253101711405e-10
1,157,157,hs7b,SBend,41.235000000000007,0,5.1308506867295365e-16,1.531133547396066e-10
1,158,158,d065!s1,Drift,41.292500000000004,0,6.5730582096373558e-16,2.0117621313741533e-10
1,159,159,sector_7,Marker,41.325000000000003,0,0,0
1,160,160,d065!s2,Drift,41.4255,0,2.0325918463621615e-15,6.2209875139476338e-10
1,161,161,unds7b!s1,Drift,41.897000000000006,0,7.503398756223434e-15,2.2965038484320408e-09
1,162,162,ls_7b1_7b2,Marker,42.268000000000001,0,0,0
1,163,163,unds7b!s2,Drift,42.639000000000003,0,7.5033987562242812e-15,2.2965038484322699e-09
1,164,164,d066,Drift,43.012,0,4.0449588983983993e-17,1.2380074654389875e-11
1,165,165,hs7c,SBend,43.069000000000003,0,1.1814498268322304e-15,3.3330974273660716e-10
