trial,family,element_count,contribution_norm_m,projection_numerator
1,drift,562,1.2599372683802918e-06,4.9417362745179405e-12
1,kicker,82,4.8784917083646851e-07,1.686853106532323e-12
1,marker,222,2.0385202726987891e-20,2.5622880731244334e-26
1,normal_sextupole,76,8.2623870569710635e-06,6.7372612301857907e-11
1,octupole,2,5.0309965958524935e-09,2.432886944880957e-14
1,other_sextupole,6,1.7645925125051759e-09,8.5786592250319163e-15
1,quadrupole,122,4.6077030026909749e-07,1.7247304470109933e-12
1,rfcavity,4,2.781601647662726e-08,1.1730686629602285e-13
1,sbend,98,1.9005686315021704e-06,7.6414054579906948e-12
1,wiggler,3,2.1934800409054008e-08,5.4495667526504902e-14
