family,eta_p10,eta_median,eta_p90,magnitude_p10,magnitude_median,magnitude_p90
drift,0.059131449012592575,0.059131449012592575,0.059131449012592575,0.13782195331071026,0.13782195331071026,0.13782195331071026
kicker,0.0201844175649336,0.0201844175649336,0.0201844175649336,0.05336482008515227,0.05336482008515227,0.05336482008515227
marker,3.065963016537366e-16,3.065963016537366e-16,3.065963016537366e-16,2.229895510655121e-15,2.229895510655121e-15,2.229895510655121e-15
normal_sextupole,0.8061620385764305,0.8061620385764305,0.8061620385764305,0.9038055717367453,0.9038055717367453,0.9038055717367453
octupole,0.00029111252066696695,0.00029111252066696695,0.00029111252066696695,0.0005503303976644007,0.0005503303976644007,0.0005503303976644007
other_sextupole,0.00010264986279763888,0.00010264986279763888,0.00010264986279763888,0.0001930251552790098,0.0001930251552790098,0.0001930251552790098
quadrupole,0.020637647341438737,0.020637647341438737,0.020637647341438737,0.05040271797998896,0.05040271797998896,0.05040271797998896
rfcavity,0.0014036615063775207,0.0014036615063775207,0.0014036615063775207,0.0030427369840881173,0.0030427369840881173,0.0030427369840881173
sbend,0.09143494353465888,0.09143494353465888,0.09143494353465888,0.20789930401172182,0.20789930401172182,0.20789930401172182
wiggler,0.0006520800801060681,0.0006520800801060681,0.0006520800801060681,0.002399402822445853,0.002399402822445853,0.002399402822445853
