trial,element_order,element_index,element_name,element_type,s_m,k2l_m2,projection_numerator,contribution_norm_m
1,1,1,ip_l0,Marker,0,0,0,0
1,2,2,sector_4,Marker,0,0,0,0
1,3,3,hs4b!s2,SBend,0.01250000000001137,0,1.3700073816942509e-16,9.3788372596571328e-11
1,4,4,d001!s1,Drift,0.17050000000002272,0,1.5946885922890341e-15,1.0916966570219857e-09
1,5,5,unds4b!s1,Drift,0.68700000000001138,0,4.0661819088618084e-15,2.7836388986616286e-09
1,6,6,ls_4b,Marker,1.0580000000000001,0,0,0
1,7,7,unds4b!s2,Drift,1.4290000000000114,0,4.0661819088616254e-15,2.7836388986615066e-09
1,8,8,d002,Drift,1.8220000000000227,0,2.411212991778837e-16,1.6506753576975705e-10
1,9,9,hs4c,SBend,1.8990000000000229,0,6.0280324794518503e-16,4.1266883942471836e-10
1,10,10,d003,Drift,2.0599500000000228,0,1.1612182567222315e-15,7.9495024612729589e-10
1,11,11,girder_4ab_start,Marker,2.1659000000000228,0,0,0
1,12,12,vx4a,Kicker,2.2040000000000228,0,4.1757824993975469e-16,2.8586695967390242e-10
1,13,13,d004,Drift,2.2980500000000226,0,6.1321530404643538e-16,4.1979675574231385e-10
1,14,14,det_s4c,Marker,2.3540000000000227,0,0,0
1,15,15,d005,Drift,2.3740000000000228,0,2.1675282596334718e-16,1.4985506367897088e-10
1,16,16,qx4a,Quadrupole,2.5940000000000225,0,-9.9140393252840292e-16,1.2922903768742264e-08
1,17,17,d006,Drift,2.801500000000023,0,-4.3221473618242796e-16,1.2032932700179806e-09
1,18,18,det_x4a,Marker,2.8090000000000228,0,1.2358536069470042e-42,1.2631694350739544e-36
1,19,19,d007,Drift,2.8382500000000226,0,-1.7209603355591184e-15,4.6892030925370211e-09
1,20,20,hx4a,Kicker,2.9520000000000231,0,-4.9716631916186087e-15,1.3546586711782798e-08
1,21,21,d008,Drift,3.0813750000000226,0,-2.6402767541280884e-15,7.1941192744507216e-09
1,22,22,dqx4b,SBend,4.3000000000000229,0,-5.010553945832237e-14,7.0600825816328769e-08
1,23,23,d009,Drift,5.5858750000000228,0,-2.0945268376648542e-14,2.3975471317785029e-08
1,24,24,hx4b,Kicker,5.782500000000022,0,-1.5784839936024784e-14,1.8068471138040663e-08
1,25,25,d010,Drift,5.9235000000000229,0,-1.0554360430594852e-14,1.2081285435492799e-08
1,26,26,det_x4b,Marker,5.9800000000000226,0,0,0
1,27,27,d011,Drift,5.9975000000000227,0,-3.2420511561190348e-15,3.7438700046392096e-09
1,28,28,vx4b,Kicker,6.1490000000000222,0,-2.4824848852553803e-14,2.8667347464077423e-08
1,29,29,d012,Drift,6.3125000000000231,0,-5.4651719488844616e-15,6.3110951506753152e-09
1,30,30,qx4b,Quadrupole,6.5230000000000228,0,-3.4084187539988854e-14,3.2385037565762188e-08
1,31,31,girder_4ab_end,Marker,6.7040000000000228,0,0,0
1,32,32,d013,Drift,6.8875000000000224,0,-3.6926931559006834e-14,2.8822568486756798e-08
1,33,33,girder_4cd_start,Marker,7.0710000000000228,0,-1.8189729261636109e-56,2.3858803899214719e-50
1,34,34,qx4c,Quadrupole,7.2520000000000229,0,-5.1287799183719154e-14,3.4047612957334455e-08
1,35,35,d014,Drift,7.4860000000000229,0,-2.0775979250946088e-14,1.2402707426499535e-08
1,36,36,vx4c!s1,Kicker,7.5770000000000231,0,-1.4895985123322678e-14,8.8925072114538962e-09
1,37,37,det_x4c,Marker,7.6150000000000233,0,-1.3007736383911287e-56,1.8476209171354907e-50
1,38,38,vx4c!s2,Kicker,7.7110000000000234,0,-3.7628055928594314e-14,2.2456222902369518e-08
1,39,39,d015,Drift,7.8565000000000227,0,-1.9401966338180559e-14,1.1578989934033758e-08
1,40,40,hx4c,Kicker,7.9905000000000221,0,-3.3120528395482151e-14,1.976615453385692e-08
1,41,41,d016,Drift,8.1881250000000225,0,-4.434035236377356e-14,2.6462085581568427e-08
1,42,42,dqx4d,SBend,9.4750000000000227,0,-1.885340324705929e-13,9.923061447546425e-08
1,43,43,d017,Drift,10.693625000000024,0,-1.8434705999966595e-14,8.7841189416545352e-09
1,44,44,hx4d,Kicker,10.823000000000023,0,-3.4712705448415552e-14,1.6540569372034146e-08
1,45,45,d018,Drift,10.944250000000023,0,-1.5096945860703201e-14,7.1936795789624373e-09
1,46,46,qx4d,Quadrupole,11.181000000000024,0,-3.9513731893676971e-14,1.6950555373483757e-08
1,47,47,d019,Drift,11.393000000000022,0,-6.3192762325881273e-16,2.011171993846624e-10
1,48,48,det_x4d,Marker,11.405000000000022,0,3.9179678641964346e-28,2.8946719646825448e-22
1,49,49,d020,Drift,11.445000000000023,0,-2.0964793532315291e-15,6.7135737584603995e-10
1,50,50,det_ix4d,Marker,11.485000000000023,0,0,0
1,51,51,d021,Drift,11.497450000000024,0,-6.493607061101205e-16,2.0925043181348542e-10
1,52,52,vx4d,Kicker,11.548000000000023,0,-1.9872002331538075e-15,6.403567431391983e-10
1,53,53,girder_4cd_end,Marker,11.586100000000023,0,-1.8806617967374697e-42,1.5886057285197074e-36
1,54,54,d022,Drift,11.801050000000023,0,-1.1211251709097533e-14,3.6127213107047791e-09
1,55,55,det_s5a,Marker,12.016000000000023,0,0,0
1,56,56,d023!s1,Drift,12.895500000000011,0,-4.5614552034818265e-14,1.4797791082824892e-08
1,57,57,sector_5,Marker,13.775,0,-1.9778867042328429e-28,2.1157912080830253e-22
1,58,58,d023!s2,Drift,14.662000000000011,0,-4.6003533433642716e-14,1.4923980318893947e-08
1,59,59,det_s5c,Marker,15.549000000000023,0,1.9869359521249809e-27,6.4458077089206116e-22
1,60,60,d024,Drift,15.744950000000022,0,-1.0054726421447877e-14,3.2934724750273815e-09
1,61,61,girder_5ab_start,Marker,15.940900000000022,0,1.3725766266506616e-41,4.538572442421625e-36
1,62,62,vx5a,Kicker,15.979000000000021,0,-1.9550144254002193e-15,6.4037408164606358e-10
1,63,63,d025,Drift,16.07305000000002,0,-2.8709463806104806e-15,9.4039186005605235e-10
1,64,64,det_ix5a,Marker,16.129000000000019,0,1.3967912058953022e-41,4.5752546585091854e-36
1,65,65,d026,Drift,16.149000000000019,0,-1.0143771893810702e-15,3.3568705571639121e-10
1,66,66,qx5a,Quadrupole,16.369000000000018,0,-2.8678309536628341e-14,8.9842189269194762e-09
1,67,67,d027,Drift,16.576500000000017,0,-2.0448898758725721e-15,6.5395862612885624e-10
1,68,68,det_x5a,Marker,16.584000000000017,0,2.3589928843660787e-42,2.2225572350305298e-36
1,69,69,d028,Drift,16.613250000000015,0,-7.9403740709715636e-15,2.5483535813159815e-09
1,70,70,hx5a,Kicker,16.727000000000018,0,-2.2938858427249823e-14,7.3619103460235107e-09
1,71,71,d029,Drift,16.856375000000014,0,-1.2182026886656193e-14,3.9096535713334995e-09
1,72,72,dqx5b,SBend,18.075000000000017,0,-1.1174684023234704e-13,3.5946993870450654e-08
1,73,73,d030,Drift,19.365375000000018,0,-2.4793978911813237e-14,8.370932872902762e-09
1,74,74,hx5b,Kicker,19.566500000000019,0,-1.7964340562021056e-14,6.0651132069404918e-09
1,75,75,d031,Drift,19.703000000000017,0,-1.1054978807406092e-14,3.7323773581201023e-09
1,76,76,det_x5b,Marker,19.755000000000017,0,-6.5106487054575351e-27,2.1981225145944321e-21
1,77,77,d032,Drift,19.772500000000019,0,-3.7299786562344933e-15,1.2567536354159254e-09
1,78,78,vx5b,Kicker,19.924000000000017,0,-2.8560979424869327e-14,9.623142122609351e-09
1,79,79,d033,Drift,20.08750000000002,0,-6.2876783062150966e-15,2.1185275568410361e-09
1,80,80,qx5b,Quadrupole,20.298000000000016,0,-2.5000158052393103e-14,8.6251172299499357e-09
1,81,81,girder_5ab_end,Marker,20.479000000000017,0,-6.3729078566548728e-28,2.2964192606699206e-22
1,82,82,d034,Drift,20.662500000000019,0,-1.4604869179947392e-14,5.2627314938145421e-09
1,83,83,girder_5cd_start,Marker,20.846000000000018,0,-1.274581571330981e-27,4.5928385213398666e-22
1,84,84,qx5c,Quadrupole,21.027000000000015,0,-9.3439811352582508e-15,3.4988738793775721e-09
1,85,85,d035,Drift,21.261000000000017,0,-1.3248915985358878e-15,5.2394843470850175e-10
1,86,86,vx5c!s1,Kicker,21.352000000000018,0,-9.4992227818551209e-16,3.7566114186250637e-10
1,87,87,det_x5c,Marker,21.390000000000018,0,9.9399437989967437e-42,3.9309012151107938e-36
1,88,88,vx5c!s2,Kicker,21.486000000000018,0,-2.3926874034625735e-15,9.4864561077123271e-10
1,89,89,d036,Drift,21.629500000000018,0,-1.1838817881758281e-15,4.6938194283119816e-10
1,90,90,hx5c,Kicker,21.761500000000019,0,-2.1060633915977631e-15,8.3500577198422376e-10
1,91,91,d037,Drift,21.96112500000002,0,-2.8693555971262327e-15,1.1376336035440862e-09
1,92,92,dqx5d,SBend,23.250000000000021,0,1.5988538107906883e-15,3.7348282391303578e-09
1,93,93,d038,Drift,24.468625000000017,0,2.1949015358072358e-15,1.006964129553346e-09
1,94,94,hx5d,Kicker,24.59800000000002,0,4.1330179337069976e-15,1.8961218706847448e-09
1,95,95,d039,Drift,24.719250000000017,0,1.7974959652554376e-15,8.2464471890918337e-10
1,96,96,qx5d,Quadrupole,24.956000000000017,0,6.4541752722680196e-15,3.578406556871362e-09
1,97,97,d040,Drift,25.168000000000017,0,9.5426053757739724e-17,1.4958468724414369e-10
1,98,98,det_x5d,Marker,25.180000000000017,0,0,0
1,99,99,d041,Drift,25.220000000000017,0,3.3553423272702236e-16,4.9928446863117926e-10
1,100,100,det_s6a,Marker,25.260000000000016,0,-4.4115048299061371e-28,6.5644444889041323e-22
1,101,101,d042,Drift,25.272450000000013,0,1.0976021988207404e-16,1.5560308102057227e-10
1,102,102,vx5d,Kicker,25.323000000000015,0,3.3589272108824705e-16,4.7618292264601283e-10
1,103,103,girder_5cd_end,Marker,25.361100000000015,0,0,0
1,104,104,d043!s1,Drift,26.455550000000009,0,9.6487608555157005e-15,1.367869815459562e-08
1,105,105,sector_6,Marker,27.550000000000001,0,0,0
1,106,106,d043!s2,Drift,28.632950000000008,0,9.5473759134549805e-15,1.3534968401041121e-08
1,107,107,girder_6ab_start,Marker,29.715900000000016,0,0,0
1,108,108,vx6a,Kicker,29.754000000000016,0,3.3589272108836311e-16,4.7618292264617734e-10
1,109,109,d044,Drift,29.848050000000015,0,4.9325978333060239e-16,6.992764966419017e-10
1,110,110,det_s6c,Marker,29.904000000000014,0,0,0
1,111,111,d045,Drift,29.924000000000014,0,1.7505575877034768e-16,2.4962393497168102e-10
1,112,112,qx6a,Quadrupole,30.144000000000013,0,-1.091785257530261e-14,1.5622079052394703e-08
1,113,113,d046,Drift,30.351500000000012,0,-1.3471850998800878e-15,1.3983178022318275e-09
1,114,114,det_x6a,Marker,30.359000000000012,0,0,0
1,115,115,d047,Drift,30.38825000000001,0,-5.2710553804836815e-15,5.4491942411700186e-09
1,116,116,hx6a,Kicker,30.502000000000013,0,-1.5227493321406519e-14,1.5742116696722918e-08
1,117,117,d048,Drift,30.631375000000009,0,-8.0867900922858308e-15,8.3600886007748848e-09
1,118,118,dqx6b,SBend,31.850000000000009,0,-1.2819855181033245e-13,1.0319084480979045e-07
1,119,119,d049,Drift,33.137875000000008,0,-3.7700426721453541e-14,2.6767566915819056e-08
1,120,120,hx6b,Kicker,33.336500000000008,0,-2.7914007079631617e-14,1.9819140454648904e-08
1,121,121,d050,Drift,33.475500000000011,0,-1.8003708708162808e-14,1.2782759228144941e-08
1,122,122,det_x6b,Marker,33.530000000000008,0,1.5984735633509607e-27,1.1349274210155391e-21
1,123,123,d051,Drift,33.547500000000007,0,-5.7632214118128185e-15,4.106637521640888e-09
1,124,124,vx6b,Kicker,33.699000000000005,0,-4.4129809667591073e-14,3.1445110165704357e-08
1,125,125,d052,Drift,33.862500000000004,0,-9.7151446656278223e-15,6.9226175364807105e-09
1,126,126,qx6b,Quadrupole,34.073000000000008,0,-5.4365167525561784e-14,3.4816788000444552e-08
1,127,127,girder_6ab_end,Marker,34.254000000000005,0,3.1775959622712017e-56,2.8440655234562508e-50
1,128,128,d053,Drift,34.4375,0,-5.3060302781988216e-14,3.0229803674273054e-08
1,129,129,girder_6cd_start,Marker,34.621000000000002,0,-1.0210727974456323e-27,3.3287996659507873e-22
1,130,130,qx6c,Quadrupole,34.802000000000007,0,-6.7644284490722262e-14,3.4864635993687181e-08
1,131,131,d054,Drift,35.036000000000008,0,-2.5911963634633979e-14,1.2468843459289835e-08
1,132,132,vx6c!s1,Kicker,35.12700000000001,0,-1.8578389021055551e-14,8.9399254991121295e-09
1,133,133,det_x6c,Marker,35.165000000000006,0,-2.433925218445248e-42,2.2368932184707238e-36
1,134,134,vx6c!s2,Kicker,35.26100000000001,0,-4.6890275125178705e-14,2.2575863999304595e-08
1,135,135,d055,Drift,35.402000000000008,0,-2.1979816464927446e-14,1.0582436249673994e-08
1,136,136,hx6c,Kicker,35.531500000000008,0,-4.1273210917473758e-14,1.9871463624387298e-08
1,137,137,d056,Drift,35.733625000000011,0,-5.745279803748836e-14,2.7661312530396628e-08
1,138,138,dqx6d,SBend,37.025000000000006,0,-1.6794349998809155e-13,7.7286276018078664e-08
1,139,139,d057,Drift,38.243124999999999,0,-2.0046221978881205e-14,8.322010570444362e-09
1,140,140,hx6d,Kicker,38.372,0,-3.817252410626069e-14,1.5846983508788486e-08
1,141,141,d058,Drift,38.493250000000003,0,-1.6601659892369428e-14,6.8920312893258395e-09
1,142,142,qx6d,Quadrupole,38.729999999999997,0,-3.8983578082992094e-14,1.510600103933083e-08
1,143,143,d059,Drift,38.942,0,-3.7178723515411125e-16,1.2069968841724102e-10
1,144,144,det_x6d,Marker,38.954000000000001,0,2.2589012568490934e-28,7.3334598955228632e-23
1,145,145,d060,Drift,38.994,0,-1.2376440513472967e-15,4.0290940006540535e-10
1,146,146,det_s7a,Marker,39.033999999999999,0,0,0
1,147,147,d061,Drift,39.04645,0,-3.8463950870874678e-16,1.2557885841863814e-10
1,148,148,vx6d,Kicker,39.097000000000001,0,-1.1770895808671992e-15,3.8430156672674299e-10
1,149,149,girder_6cd_end,Marker,39.135100000000001,0,2.2525194941205709e-28,7.3541282222149627e-23
1,150,150,d062,Drift,39.242550000000001,0,-3.3196397759646689e-15,1.0838111114124012e-09
1,151,151,hs7a,SBend,39.405000000000001,0,-1.699210681042918e-15,5.5476604120691481e-10
1,152,152,d063,Drift,39.490000000000002,0,-9.268421896604288e-16,3.0259965884035239e-10
1,153,153,unds7a!s1,Drift,39.891000000000005,0,-1.1461948412124974e-14,3.742149114322754e-09
1,154,154,ls_7a,Marker,40.262,0,0,0
1,155,155,unds7a!s2,Drift,40.633000000000003,0,-1.1461948412124972e-14,3.7421491143227531e-09
1,156,156,d064,Drift,41.107000000000006,0,-3.182158184497959e-15,1.0389254953509414e-09
1,157,157,hs7b,SBend,41.235000000000007,0,-7.7236849138331497e-16,2.5216638236683766e-10
1,158,158,d065!s1,Drift,41.292500000000004,0,-1.004079038796958e-15,3.2781629707644776e-10
1,159,159,sector_7,Marker,41.325000000000003,0,0,0
1,160,160,d065!s2,Drift,41.4255,0,-3.1049213353601155e-15,1.0137088571144227e-09
1,161,161,unds7b!s1,Drift,41.897000000000006,0,-1.1461948412121367e-14,3.7421491143215761e-09
1,162,162,ls_7b1_7b2,Marker,42.268000000000001,0,0,0
1,163,163,unds7b!s2,Drift,42.639000000000003,0,-1.1461948412130376e-14,3.7421491143245175e-09
1,164,164,d066,Drift,43.012,0,-6.1789479311025608e-17,2.017331058946468e-11
