trial,element_order,element_index,element_name,s_m,k2l_m2,projection_numerator,contribution_norm_m
1,1,72,sex_08w,42.907498779194889,0.043392432000000002,-4.6760931968644113e-13,3.3424794195164254e-07
1,2,84,sex_09w,52.349828779194887,-0.24198398400000001,1.3238022617086786e-11,3.7562353456389207e-06
1,3,92,sex_10w,58.855398779194886,-0.052531632000000002,2.3943602944459673e-12,5.1424189632615874e-07
1,4,102,sex_11w,67.328070779194888,-0.19752585600000003,4.4704208522272144e-12,8.6625812540088566e-07
1,5,108,sex_12w,75.264033779194889,0.12366072000000002,9.373505057432579e-13,1.8262656311710147e-07
1,6,116,sex_13w,83.932825779194886,0.32583968000000002,7.3152954598016643e-13,1.6402973324170708e-07
1,7,124,sex_14w,92.133917779194888,-0.0034363392000000001,6.1226059889719098e-14,2.0246484641195213e-08
1,8,132,sex_15w,102.25810977919488,-0.34508368000000006,3.5881085773859431e-13,4.8933364863737705e-07
1,9,140,sex_16w,110.46430177919488,0.11048177600000003,-8.2760323113501813e-13,4.192547354338197e-07
1,10,150,sex_17w,118.66539277919489,-0.125842432,1.9322298215599336e-12,4.6259273853417862e-07
1,11,158,sex_18w,126.86413477919488,0.078568559999999996,7.6426878525201101e-13,1.8894529017273333e-07
1,12,164,sex_19w,133.52943477919487,-0.21847203200000001,-4.1210899365187624e-12,1.9976011508324266e-06
1,13,172,sex_20w,141.73732677919489,0.033388272000000004,-1.3843746170838862e-13,5.732560462375031e-08
1,14,180,sex_21w,149.93926877919489,-0.23265928000000002,-4.2264241707267667e-13,9.8006809154551254e-08
1,15,188,sex_22w,158.14596077919489,0.26101228800000004,-1.1900352680111915e-12,2.6325060498392305e-07
1,16,196,sex_23w,166.3497027791949,-0.52340416000000001,1.5254794583707451e-11,5.0033604860712755e-06
1,17,206,sex_24w,176.55229577919491,0.13662179200000002,1.5000960563214547e-13,8.7745882827562551e-08
1,18,214,sex_25w,184.75808777919491,-0.39794144000000004,9.8947447124009623e-12,2.5318379559029691e-06
1,19,222,sex_26w,192.96452977919492,0.23971496000000006,-5.1387962191512998e-13,1.3303887389995405e-07
1,20,232,sex_27w,201.39422177919491,-0.40337600000000007,5.3617293429776949e-13,1.6891534377120267e-06
1,21,240,sex_28w,209.59741377919488,0.14284324800000006,6.6949589720622856e-13,2.4102361274734516e-07
1,22,250,sex_29w,218.02560577919488,-0.14515660800000002,-7.8195397212843211e-12,2.0163310759518971e-06
1,23,260,sex_30w,227.30979777919487,0.28505872000000004,9.2662710394591583e-12,2.3909015692186848e-06
1,24,268,sex_31w,235.74123977919484,-0.50427440000000001,4.1481798165054332e-13,1.4096059023589715e-07
1,25,276,sex_32w,243.94043177919482,0.30627744000000001,-3.9035842553974458e-12,2.2205589360826311e-06
1,26,284,sex_33w,252.37312377919483,-0.49414784,1.7802591597648579e-12,5.1716014614852583e-06
1,27,292,sex_34w,258.31562377919482,0.17423313600000001,1.5698943645034895e-13,2.3953569715130427e-07
1,28,298,sex_35w,266.24257577919485,-0.16527236800000006,1.7911284809433638e-12,1.174888054108264e-06
1,29,310,sex_36w,277.21423877919489,0.16991948800000006,-2.3840645818586703e-12,1.0290579523358849e-06
1,30,318,sex_37w,285.22943077919496,-0.037644799999999999,-4.4397460284883351e-13,1.8200103278159528e-07
1,31,326,sex_38w,293.43187277919498,0.20518374400000003,3.6333974252872312e-12,1.5794438215305877e-06
1,32,334,sex_39w,301.86131477919497,-0.45719936,-5.824646294640852e-12,3.8040154824295071e-06
1,33,342,sex_40w,310.06725677919502,0.24519304000000003,-2.8181107745303138e-14,2.6714219940698724e-07
1,34,350,sex_41w,318.27219977919509,-0.49659312,-3.2052576632634654e-12,3.5972108614397219e-06
1,35,358,sex_42w,326.47714177919511,0.11078288,2.5209325966148838e-13,1.5227796438182645e-07
1,36,366,sex_43w,334.67708377919513,-0.022612475200000003,3.6429316272347171e-13,1.7094511464823489e-07
1,37,376,sex_44w,345.68227077919522,-0.10419966400000001,4.0709959670476884e-12,1.8546232588643157e-06
1,38,388,sex_45w,352.02348077919532,0.039331744000000002,-3.5260488677205968e-13,1.9052858987790303e-07
1,39,480,sex_45e,416.40351263697158,0.039202544000000006,5.458228149980001e-14,4.0599173418480046e-08
1,40,492,sex_44e,422.74312263697158,-0.104066112,2.144930388913743e-13,4.1147089951974412e-07
1,41,502,sex_43e,433.74671063697156,-0.0224741904,-3.9600367633275503e-14,1.3898246461303738e-07
1,42,510,sex_42e,441.95415263697157,0.110769824,2.1230326217741645e-13,2.4028858224390428e-07
1,43,518,sex_41e,450.15579463697156,-0.49661216000000002,3.2406310839624615e-12,2.2879605597010076e-06
1,44,526,sex_40e,458.35913663697158,0.24519358400000002,-1.9729080427592349e-12,1.1889039259571526e-06
1,45,534,sex_39e,466.56317863697166,-0.45728368000000003,1.8015150485103537e-12,1.3081771651436014e-06
1,46,544,sex_38e,474.99622063697166,0.205352384,7.7000315033982209e-14,1.215533061358216e-07
1,47,552,sex_37e,483.19826263697166,-0.037763935999999998,-1.9585857119285197e-15,1.3870316987405613e-07
1,48,560,sex_36e,491.2136046369717,0.16982945599999999,-8.5989052699213024e-15,4.0922732346777726e-08
1,49,572,sex_35e,502.18641763697167,-0.165141808,-4.9044128063015204e-13,6.3136468571878783e-07
1,50,578,sex_34e,510.10486963697167,0.17428128000000001,4.9936809806596796e-13,5.1242227550135105e-07
1,51,584,sex_33e,516.05336963697175,-0.49391936000000003,-1.2983467409550599e-12,1.2187942587283969e-06
1,52,592,sex_32e,524.48571163697181,0.30635088000000005,8.8441448576215311e-14,7.5264243970554994e-08
1,53,600,sex_31e,532.68725363697195,-0.50422272000000001,2.4869149091887664e-13,2.1120133674070698e-07
1,54,608,sex_30e,541.115995636972,0.28501520000000002,-5.1097489683172668e-14,4.4651383649897451e-08
1,55,618,sex_29e,550.40073763697205,-0.145252624,1.1941327614578613e-14,2.6811544579524976e-08
1,56,628,sex_28e,558.82987963697212,0.14307091200000002,3.1626821354159016e-15,6.9644431992973119e-09
1,57,636,sex_27e,567.03492163697229,-0.40346848000000007,3.2339416041999001e-14,5.9457405165608276e-08
1,58,646,sex_26e,575.4652636369724,0.23959555200000002,1.2960462968198312e-14,8.7865985041053459e-09
1,59,654,sex_25e,583.66900563697243,-0.39789247999999999,2.5511738107206956e-13,5.4061207060374265e-07
1,60,662,sex_24e,591.87254763697251,0.13653937599999999,1.879741180469841e-14,1.3691290205343777e-07
