case,nuisance,protocol,estimator,repeats_per_nonzero_point,target,target_index,realization,relative_truth_x_um,relative_truth_y_um,estimate_x_um,estimate_y_um,error_x_um,error_y_um,error_2d_um,predicted_local_rms_um
bpm_noise__blocked__direct__n1,bpm_noise,blocked,direct,1,SEX_09AW,1,1,41.081586498577416,-226.41062792942506,150.59000000000006,163.0400000000001,109.50841350142265,389.45062792942514,404.55393240237095,316.10171773968835
bpm_noise__blocked__direct__n1,bpm_noise,blocked,direct,1,SEX_09AW,1,2,-7.597403047093586,-333.1589489766446,313.57000000000016,-1500.0,321.1674030470938,-1166.8410510233555,1210.234084437099,319.01645530624677
bpm_noise__blocked__direct__n1,bpm_noise,blocked,direct,1,SEX_09AW,1,3,-324.326736766914,-241.97387517227898,-21.53000000000001,-330.81999999999994,302.796736766914,-88.84612482772097,315.56219306753906,314.0989625133343
bpm_noise__blocked__direct__n1,bpm_noise,blocked,direct,1,SEX_09AW,1,4,-340.66073519969655,83.72945693358434,1500.0,188.24000000000012,1840.6607351996965,104.51054306641576,1843.6253403872286,316.35634546470305
bpm_noise__blocked__direct__n1,bpm_noise,blocked,direct,1,SEX_10W,2,1,66.02687169632665,-232.4632050519804,1500.0,-979.5799999999998,1433.9731283036733,-747.1167949480194,1616.9299422023282,314.72782249973335
bpm_noise__blocked__direct__n1,bpm_noise,blocked,direct,1,SEX_10W,2,2,-209.60006248542734,101.07214625720113,94.01000000000005,-158.71999999999983,303.61006248542736,-259.79214625720095,399.5885750360338,314.91492390354705
bpm_noise__blocked__direct__n1,bpm_noise,blocked,direct,1,SEX_10W,2,3,-151.87864075154368,-17.169461503559493,170.01000000000008,184.2000000000001,321.8886407515438,201.36946150355962,379.6866564301543,315.85453227122497
bpm_noise__blocked__direct__n1,bpm_noise,blocked,direct,1,SEX_10W,2,4,-160.20700907391088,168.135685300565,-1500.0,240.6700000000001,-1339.7929909260893,72.5343146994351,1341.7550019819537,314.1088665455735
bpm_noise__blocked__direct__n1,bpm_noise,blocked,direct,1,SEX_10AW,3,1,-314.2021807663442,-238.20177609426264,-18.050000000000004,75.97000000000004,296.1521807663442,314.17177609426267,431.7522658503194,313.17879719556197
bpm_noise__blocked__direct__n1,bpm_noise,blocked,direct,1,SEX_10AW,3,2,265.12917886440965,-328.74866908615195,548.3700000000001,-520.5300000000002,283.2408211355904,-191.78133091384822,342.06058183405247,316.78372188751166
bpm_noise__blocked__direct__n1,bpm_noise,blocked,direct,1,SEX_10AW,3,3,311.83349999824225,320.2489811481812,-209.10999999999987,-936.4,-520.943499998242,-1256.648981148181,1360.3487758700635,315.8759732235844
bpm_noise__blocked__direct__n1,bpm_noise,blocked,direct,1,SEX_10AW,3,4,-71.07453846033847,-222.63084631550709,-1281.3600000000001,370.48999999999995,-1210.2854615396616,593.120846315507,1347.8068247149865,313.34759081324125
bpm_noise__blocked__direct__n1,bpm_noise,blocked,direct,1,SEX_12W,4,1,-345.1386673865619,-221.78392540811643,162.4600000000001,-106.19000000000005,507.598667386562,115.59392540811638,520.5942400025866,317.9497805599281
bpm_noise__blocked__direct__n1,bpm_noise,blocked,direct,1,SEX_12W,4,2,-0.7946422003546628,61.6233102059487,322.8100000000002,-111.36000000000003,323.6046422003549,-172.98331020594875,366.93758333458726,312.5650382741349
bpm_noise__blocked__direct__n1,bpm_noise,blocked,direct,1,SEX_12W,4,3,50.27124870087325,-111.74092717845001,-1500.0,699.99,-1550.2712487008732,811.7309271784501,1749.9280107154555,317.23104298098656
bpm_noise__blocked__direct__n1,bpm_noise,blocked,direct,1,SEX_12W,4,4,-316.05481239462284,272.27708102627207,-87.48000000000002,89.01000000000005,228.57481239462282,-183.26708102627205,292.97315209610446,314.63569550392026
bpm_noise__blocked__direct__n1,bpm_noise,blocked,direct,1,SEX_13W,5,1,-123.30852921786854,290.79291760858183,301.6500000000001,-88.02000000000002,424.95852921786866,-378.81291760858187,569.2881327606789,317.46835807643004
bpm_noise__blocked__direct__n1,bpm_noise,blocked,direct,1,SEX_13W,5,2,137.1441782987762,-152.93906346934514,-201.59999999999985,58.88000000000003,-338.74417829877603,211.81906346934517,399.518377525169,314.1223491891559
bpm_noise__blocked__direct__n1,bpm_noise,blocked,direct,1,SEX_13W,5,3,-80.87584766741202,-209.6665541683835,-96.07000000000005,-190.83999999999983,-15.194152332588036,18.82655416838365,24.193003264600577,310.23885261665
bpm_noise__blocked__direct__n1,bpm_noise,blocked,direct,1,SEX_13W,5,4,-107.88467133737669,259.26010481596603,-1500.0,52.97000000000003,-1392.1153286626234,-206.29010481596603,1407.316842662812,313.86664735896983
bpm_noise__blocked__direct__n1,bpm_noise,blocked,direct,1,SEX_14W,6,1,118.09235580141501,-274.9777011651049,629.2000000000003,-914.06,511.1076441985852,-639.082298834895,818.3258572490066,317.6828710719081
bpm_noise__blocked__direct__n1,bpm_noise,blocked,direct,1,SEX_14W,6,2,-99.96108248994732,-310.6992788926025,186.0100000000001,-309.56999999999994,285.97108248994743,1.1292788926025297,285.97331220113807,320.249646340347
bpm_noise__blocked__direct__n1,bpm_noise,blocked,direct,1,SEX_14W,6,3,20.095427120205645,162.69612410194947,749.7300000000002,-724.7800000000001,729.6345728797945,-887.4761241019495,1148.9040346314825,312.0188542000976
bpm_noise__blocked__direct__n1,bpm_noise,blocked,direct,1,SEX_14W,6,4,-188.76965528443122,138.4927079872067,200.9000000000001,310.33000000000015,389.6696552844313,171.83729201279345,425.8761500433871,315.5932809991216
bpm_noise__blocked__direct__n1,bpm_noise,blocked,direct,1,SEX_15W,7,1,307.71006020289593,316.0663104029542,-60.64000000000001,-430.69,-368.3500602028959,-746.7563104029542,832.6624490020613,318.51122057208545
bpm_noise__blocked__direct__n1,bpm_noise,blocked,direct,1,SEX_15W,7,2,200.78155981288896,141.51688179106884,-8.01,155.8100000000001,-208.79155981288895,14.293118208931244,209.28021568517573,315.82789052540704
bpm_noise__blocked__direct__n1,bpm_noise,blocked,direct,1,SEX_15W,7,3,268.67149332204116,-83.30411454365118,-1147.31,236.78000000000011,-1415.981493322041,320.0841145436513,1451.70845207077,317.53645694534447
bpm_noise__blocked__direct__n1,bpm_noise,blocked,direct,1,SEX_15W,7,4,-128.82200578552968,56.20350221007101,-1500.0,1019.3400000000001,-1371.1779942144703,963.1364977899292,1675.6374921781467,317.93331970592664
bpm_noise__blocked__direct__n1,bpm_noise,blocked,direct,1,SEX_16W,8,1,-243.37919744048327,-122.55048547653752,382.8999999999999,426.58,626.2791974404832,549.1304854765375,832.9285222793092,317.3669955616413
bpm_noise__blocked__direct__n1,bpm_noise,blocked,direct,1,SEX_16W,8,2,27.896373369841296,115.93615210709403,-82.86000000000001,-157.51999999999984,-110.7563733698413,-273.4561521070939,295.03430540745217,317.0190212014009
bpm_noise__blocked__direct__n1,bpm_noise,blocked,direct,1,SEX_16W,8,3,-93.71317303580624,-170.94207644384218,-96.23000000000005,594.9700000000004,-2.5168269641938066,765.9120764438425,765.9162116449071,318.8035538625445
bpm_noise__blocked__direct__n1,bpm_noise,blocked,direct,1,SEX_16W,8,4,17.36857073141948,-335.9743423716452,-873.1899999999999,-1500.0,-890.5585707314194,-1164.025657628355,1465.6228367217511,317.26320868109303
bpm_noise__blocked__direct__n1,bpm_noise,blocked,direct,1,SEX_17W,9,1,344.6224123545212,231.85480679699353,-2.41,6.700000000000013,-347.03241235452117,-225.15480679699354,413.6740048013531,316.39586781789717
bpm_noise__blocked__direct__n1,bpm_noise,blocked,direct,1,SEX_17W,9,2,-164.71530198751213,-306.9098108234507,-160.09999999999985,-55.670000000000016,4.615301987512276,251.2398108234507,251.28219904131535,319.83804825532513
bpm_noise__blocked__direct__n1,bpm_noise,blocked,direct,1,SEX_17W,9,3,-307.9536173951859,-282.203120354415,-883.4499999999999,-1500.0,-575.496382604814,-1217.796879645585,1346.9318195312449,317.52615354846654
bpm_noise__blocked__direct__n1,bpm_noise,blocked,direct,1,SEX_17W,9,4,-148.73377440895214,-347.3311538821607,1153.4099999999999,1500.0,1302.1437744089521,1847.3311538821606,2260.1351289990575,315.6131664245204
bpm_noise__blocked__direct__n1,bpm_noise,blocked,direct,1,SEX_18W,10,1,279.12819854848647,-121.79573324989303,-120.74000000000005,112.35000000000007,-399.86819854848653,234.14573324989308,463.37760046159104,317.09731725090074
bpm_noise__blocked__direct__n1,bpm_noise,blocked,direct,1,SEX_18W,10,2,34.914893103084715,77.10246964281363,160.47000000000006,-157.69999999999985,125.55510689691535,-234.8024696428135,266.2635623179788,315.61480061246215
bpm_noise__blocked__direct__n1,bpm_noise,blocked,direct,1,SEX_18W,10,3,324.63538774716983,345.581209256404,300.0000000000001,-594.74,-24.63538774716967,-940.3212092564039,940.6438640138356,315.4437905100811
bpm_noise__blocked__direct__n1,bpm_noise,blocked,direct,1,SEX_18W,10,4,-253.71214644483143,-138.63946190867037,1219.8899999999999,861.3400000000001,1473.6021464448313,999.9794619086706,1780.8599636821443,318.43303624310744
bpm_noise__blocked__direct__n1,bpm_noise,blocked,direct,1,SEX_19W,11,1,-209.82427382716435,35.457552019244375,678.06,-970.9100000000002,887.8842738271643,-1006.3675520192445,1342.0559352973323,317.09916362170276
