part_label,inventory_index,sextupole,activation_seconds,twiss_seconds,extraction_seconds,allocated_bytes,coefficient_rows
1,1,SEX_08E,0.8746781,418.9994207,0.3015206,14939687592,1191
1,2,SEX_08W,0.2831807,10.4542358,0.0214871,4302891694,1191
1,3,SEX_09E,0.0001691,16.0473291,0.0183971,3945909907,1191
1,4,SEX_09W,0.0001625,7.1200206,0.0191085,3946259219,1191
1,5,SEX_10E,0.000159,6.2566728,0.0095487,3946608563,1191
1,6,SEX_10W,0.0001329,7.0470333,0.0110331,3946957795,1191
1,7,SEX_11E,0.0001237,13.8082006,0.0626637,3947307171,1191
1,8,SEX_11W,0.0002443,10.0191576,0.0124173,3947656547,1191
1,9,SEX_12E,0.0001409,7.1557383,0.0173287,3948005843,1191
1,10,SEX_12W,0.0001871,5.8310572,0.0178401,3948355187,1191
1,11,SEX_13E,0.0001995,6.1381312,0.017513,3948704483,1191
1,12,SEX_13W,0.0001957,5.8276762,0.0132313,3949053875,1191
1,13,SEX_14E,0.0001588,5.8085733,0.0131869,3949403123,1191
1,14,SEX_14W,0.0002444,6.1786009,0.0143377,3949752515,1191
1,15,SEX_15E,0.0001413,6.2318678,0.0116287,3950101795,1191
1,16,SEX_15W,0.0002164,5.710256,0.0166837,3950451155,1191
1,17,SEX_16E,0.0002709,5.8532483,0.0113263,3950800419,1191
1,18,SEX_16W,0.00017,5.7962067,0.0139597,3951149795,1191
1,19,SEX_17E,0.000125,6.0558679,0.0130387,3951499107,1191
2,20,SEX_17W,0.593496,420.4338018,0.3179956,15025714550,1191
2,21,SEX_18E,0.2263146,8.999656,0.0110463,4216897605,1191
2,22,SEX_18W,0.0001644,16.9617415,0.0183708,3945909859,1191
2,23,SEX_19E,0.0001385,7.5755768,0.0177305,3946259139,1191
2,24,SEX_19W,0.0002375,6.2537803,0.0134083,3946608499,1191
2,25,SEX_20E,0.0001507,6.8366976,0.0163849,3946957875,1191
2,26,SEX_20W,0.0001078,16.4721781,0.023241,3947307171,1191
2,27,SEX_21E,0.0001557,7.515993,0.0238873,3947656531,1191
2,28,SEX_21W,0.0001432,6.0337483,0.0128847,3948005795,1191
2,29,SEX_22E,0.0002192,5.9808684,0.0152999,3948355203,1191
2,30,SEX_22W,0.0001682,5.9347082,0.0159393,3948704419,1191
2,31,SEX_23E,0.0006715,5.8802479,0.0134888,3949053859,1191
2,32,SEX_23W,0.0002109,5.8864638,0.016767,3949403091,1191
2,33,SEX_24E,0.0001722,7.0781731,0.0187195,3949752483,1191
2,34,SEX_24W,0.0002828,6.1971177,0.0168554,3950101763,1191
2,35,SEX_25E,0.0002055,5.7578181,0.015201,3950451091,1191
2,36,SEX_25W,0.0001652,5.927646,0.0189232,3950800467,1191
2,37,SEX_26E,0.0002539,5.6430961,0.0116733,3951149779,1191
2,38,SEX_26W,0.0002165,6.8338568,0.012189,3951499075,1191
3,39,SEX_27E,0.4444264,420.7906274,0.2923783,15025688380,1191
3,40,SEX_27W,0.037102,4.4736022,0.011182,3945560595,1191
3,41,SEX_28E,0.1938938,22.3787345,0.0181809,4217246597,1191
3,42,SEX_28W,0.0001942,7.789935,0.0130229,3946259219,1191
3,43,SEX_29E,0.0001739,6.5110493,0.0159905,3946608643,1191
3,44,SEX_29W,0.0002455,6.0505415,0.012293,3946957939,1191
3,45,SEX_30E,0.000187,16.988134,0.0221171,3947307219,1191
3,46,SEX_30W,0.0003883,7.1146683,0.0232124,3947656579,1191
3,47,SEX_31E,0.0001978,5.8490299,0.0156736,3948005907,1191
3,48,SEX_31W,0.0002091,5.9935701,0.0138961,3948355299,1191
3,49,SEX_32E,0.0001485,6.1694677,0.0166595,3948704579,1191
3,50,SEX_32W,0.0002444,6.5592602,0.018757,3949053875,1191
3,51,SEX_33E,0.0001684,5.8570173,0.0176955,3949403235,1191
3,52,SEX_33W,0.0001562,6.5344719,0.0259765,3949752563,1191
3,53,SEX_34E,0.0002271,6.9584199,0.0114594,3950101923,1191
3,54,SEX_34W,0.0001648,5.6673963,0.0166945,3950451203,1191
3,55,SEX_35E,0.000113,5.9849103,0.0198817,3950800579,1191
3,56,SEX_35W,0.0001964,5.7275656,0.014498,3951149923,1191
3,57,SEX_36E,0.0001501,6.3052742,0.0165404,3951499219,1191
4,58,SEX_36W,0.5230615,419.2209253,0.3039859,14939716022,1191
4,59,SEX_37E,0.2332168,10.8427939,0.0119432,4302886839,1191
4,60,SEX_37W,0.0001798,16.0926474,0.0196432,3945909923,1191
4,61,SEX_38E,0.000196,8.3918689,0.0222581,3946259219,1191
4,62,SEX_38W,0.0002454,5.8700193,0.0139532,3946608515,1191
4,63,SEX_39E,0.0001302,6.116814,0.0093743,3946957923,1191
4,64,SEX_39W,0.000105,14.0451434,0.1033621,3947307203,1191
4,65,SEX_40E,0.0002972,10.6595015,0.0153453,3947656531,1191
4,66,SEX_40W,0.0001522,5.9575335,0.0110178,3948005827,1191
4,67,SEX_41E,0.0001156,5.7016845,0.0127708,3948355219,1191
4,68,SEX_41W,0.0001262,6.2089253,0.0119953,3948704515,1191
4,69,SEX_42E,0.0003817,6.6577098,0.0184141,3949053859,1191
