part_label,inventory_index,sextupole,activation_seconds,twiss_seconds,extraction_seconds,allocated_bytes,coefficient_rows
4,58,SEX_36W,0.5230615,419.2209253,0.3039859,14939716022,1191
4,59,SEX_37E,0.2332168,10.8427939,0.0119432,4302886839,1191
4,60,SEX_37W,0.0001798,16.0926474,0.0196432,3945909923,1191
4,61,SEX_38E,0.000196,8.3918689,0.0222581,3946259219,1191
4,62,SEX_38W,0.0002454,5.8700193,0.0139532,3946608515,1191
4,63,SEX_39E,0.0001302,6.116814,0.0093743,3946957923,1191
4,64,SEX_39W,0.000105,14.0451434,0.1033621,3947307203,1191
4,65,SEX_40E,0.0002972,10.6595015,0.0153453,3947656531,1191
4,66,SEX_40W,0.0001522,5.9575335,0.0110178,3948005827,1191
4,67,SEX_41E,0.0001156,5.7016845,0.0127708,3948355219,1191
4,68,SEX_41W,0.0001262,6.2089253,0.0119953,3948704515,1191
4,69,SEX_42E,0.0003817,6.6577098,0.0184141,3949053859,1191
4,70,SEX_42W,0.0002849,5.9383587,0.0150285,3949403187,1191
4,71,SEX_43E,0.0001579,5.9257716,0.0157438,3949752499,1191
4,72,SEX_43W,0.0001804,6.2318371,0.0141744,3950101875,1191
4,73,SEX_44E,0.0001173,5.6134039,0.0161804,3950451155,1191
4,74,SEX_44W,0.0001454,5.8202933,0.0141661,3950800451,1191
4,75,SEX_45E,0.0001406,5.6999356,0.0144819,3951149827,1191
4,76,SEX_45W,0.0009974,6.9827637,0.014899,3951499139,1191
