target_sextupole,corrector,kick_x_rad_per_m,kick_y_rad_per_m
SEX_08W,H01W,0.005922930811104754,-1.2614753632448124e-5
SEX_08W,HB01,-0.608246041976377,-4.444557273359028e-6
SEX_08W,H02W,0.053273121514569775,1.6879968052661827e-5
SEX_08W,HB02,0.12192800416387387,-3.325008768181375e-6
SEX_08W,H03W,-0.2518893997203189,-1.0946839658359304e-5
SEX_08W,HB03,-0.05652593347413176,-2.8099411890212497e-6
SEX_08W,H04W,0.5927363920182016,4.408875053761598e-7
SEX_08W,HB04,-0.05961421738160147,-2.9645578790259367e-6
SEX_08W,HB05,-0.0758432656787558,-3.907522877256674e-6
SEX_08W,HB06,-0.07160074104366163,-4.080376485480868e-6
SEX_08W,H08W,-0.1717720549678716,-1.1273105298886642e-6
SEX_08W,H10W,0.04885555299636199,-2.226366955293179e-6
SEX_08W,H12W,-0.07970227099058738,-2.567771790168221e-6
SEX_08W,H14W,-0.050107265140893545,-2.9439169557831252e-6
SEX_08W,H16W,-0.05452956117777001,-2.7447357201426214e-6
SEX_08W,H18W,-0.026172770877509455,-1.389851381259692e-6
SEX_08W,H20W,-0.05376929213968868,-2.789479966282007e-6
SEX_08W,H22W,-0.05467669564964623,-2.846775113923346e-6
SEX_08W,H24W,-0.055068754324243095,-2.865400242210656e-6
SEX_08W,H26W,-0.05403686467892563,-2.810200983177511e-6
SEX_08W,H28W,-0.053206125163728475,-2.7692091829460182e-6
SEX_08W,H30W,-0.05378370893380274,-2.797764817072964e-6
SEX_08W,H32W,-0.05490196841340524,-2.855882834378315e-6
SEX_08W,H34W,-0.027680449576375023,-1.4430131840441859e-6
SEX_08W,H36W,-0.05426051835148014,-2.8200365055532687e-6
SEX_08W,H38W,-0.05328153969700814,-2.7756816103413305e-6
SEX_08W,H40W,-0.05382407818178196,-2.79202486107833e-6
SEX_08W,H42W,-0.05429000882452536,-2.854111931852196e-6
SEX_08W,H44W,-0.0417449802960968,-2.114559149996247e-6
SEX_08W,H46W,-0.03939219702856519,-2.177767067403326e-6
SEX_08W,H47W,0.01837070802581689,6.634514526305363e-7
SEX_08W,H49W,-0.006630461682917817,-2.6112228676321764e-7
SEX_08W,H49E,-0.011546077770016807,-5.083867687591352e-7
SEX_08W,H47E,0.022990198848521066,8.877680289845587e-7
SEX_08W,H46E,-0.03663509552613297,-2.038489311988416e-6
SEX_08W,H44E,-0.04190354919628046,-2.1216735381124943e-6
SEX_08W,H42E,-0.05283725038684976,-2.778821530776943e-6
SEX_08W,H40E,-0.05484545332642324,-2.846428681462646e-6
SEX_08W,H38E,-0.055047854886677974,-2.8646480715940226e-6
SEX_08W,H36E,-0.0536202364452196,-2.802274225478888e-6
SEX_08W,H34E,-0.02694057760882377,-1.3890567079101807e-6
SEX_08W,H32E,-0.053040907380397656,-2.7722737384680945e-6
SEX_08W,H30E,-0.05464095720160276,-2.84117114966699e-6
SEX_08W,H28E,-0.05508357536299063,-2.867543734319905e-6
SEX_08W,H26E,-0.05431218058272344,-2.8244204495845425e-6
SEX_08W,H24E,-0.05328142399123117,-2.7725587231951486e-6
SEX_08W,H22E,-0.05367382417496023,-2.7928756934246763e-6
SEX_08W,H20E,-0.05483279388887372,-2.8487649070305423e-6
SEX_08W,H18E,-0.02745666510622456,-1.4321955767438568e-6
SEX_08W,H16E,-0.055333602929598734,-2.875834182484514e-6
SEX_08W,H14E,-0.05260933550260448,-2.7457197877640797e-6
SEX_08W,H12E,-0.05357476029393784,-2.7867471026299946e-6
SEX_08W,H10E,-0.02812198655131532,-1.4618725881098435e-6
SEX_08W,H08E,0.0005541153102970195,4.634988405934904e-9
SEX_08W,H04E,-0.0009308182999404206,4.257585583102507e-7
SEX_08W,H03E,0.00875699494668405,1.705665930615867e-5
SEX_08W,H02E,-0.0325958650951532,-2.8713135814144898e-5
SEX_08W,H01E,0.011103244371782986,1.2146518249690052e-5
SEX_08W,V01W,-0.0008088324581146287,0.0002241265635095643
SEX_08W,V02W,0.00025511175834724435,-0.0002706741563407161
SEX_08W,V04W,-9.268629559289734e-5,0.0005066566559404643
SEX_08W,V05W,3.1029063881305516e-5,-0.0016690246829445597
SEX_08W,V06W,-1.2375040182137498e-5,0.0059298363230338375
SEX_08W,V07W,2.3538030255781314e-6,0.12079525810925974
SEX_08W,V08W,-1.1584368687552293e-6,-0.32624076530796164
SEX_08W,V09W,4.078222194107009e-6,-0.1897775576941111
SEX_08W,V10W,-1.5448505766093886e-6,0.3071050104071232
SEX_08W,V11W,-3.2694962836639323e-6,-0.0010518544980940142
SEX_08W,V13W,-1.3899979979187587e-6,0.00011362549059779547
SEX_08W,V15W,4.4538416984531444e-7,-9.300630810639076e-6
SEX_08W,V16W,-5.94444020717387e-7,2.6665243373589966e-6
SEX_08W,V17W,2.1569743696726894e-6,-1.0070049657128642e-7
SEX_08W,V19W,3.2411424429146827e-7,-6.68846432063103e-11
SEX_08W,V21W,-2.444191134017274e-6,-1.1842024424464854e-10
SEX_08W,V23W,-4.950424895777327e-7,-2.674705680557602e-11
SEX_08W,V25W,3.43570091393201e-6,1.7965017666857935e-10
SEX_08W,V27W,-1.4412008944683263e-6,-7.519851980734299e-11
SEX_08W,V29W,-1.7100699218623742e-6,-8.897642321520091e-11
SEX_08W,V31W,-2.595103201682718e-7,-1.38538958909428e-11
SEX_08W,V33W,6.69443656740517e-7,3.5703358370983063e-11
SEX_08W,V35W,1.0515833339824098e-6,5.464472667452022e-11
SEX_08W,V37W,1.3864786263275406e-6,7.162945703697464e-11
SEX_08W,V39W,-2.7243621138522486e-7,-1.4314609234049478e-11
SEX_08W,V41W,-1.626917076194682e-6,-8.608284385657393e-11
SEX_08W,V43W,-1.4231979480914693e-6,-6.955907901609968e-11
SEX_08W,V45W,1.3695369812193038e-6,5.0555263858754e-11
SEX_08W,V47W,-7.35542532781168e-5,-4.137620412566442e-9
SEX_08W,V48W,-0.0016986479529458314,-8.263013503968171e-8
SEX_08W,V49W,0.0016845720384007384,8.365423931401675e-8
SEX_08W,V49E,0.0016151496187578097,8.018908056192916e-8
SEX_08W,V48E,-0.0016288438560753684,-7.914801986222038e-8
SEX_08W,V47E,-7.366098104197393e-5,-4.1433526619299456e-9
SEX_08W,V45E,1.609665214050632e-6,6.285611131944151e-11
SEX_08W,V43E,-1.365105114381004e-6,-6.652179046178627e-11
SEX_08W,V41E,-1.7400065579247178e-6,-9.194446515935692e-11
SEX_08W,V39E,-4.00917710732668e-7,-2.1123531311517876e-11
SEX_08W,V37E,1.3983621114554978e-6,7.219713163774115e-11
SEX_08W,V35E,1.2551247496494418e-5,9.616016271738474e-11
SEX_08W,V34E,-3.516173649166858e-5,-1.1611981356943541e-10
SEX_08W,V33E,1.46621172872006e-5,8.344898930875236e-11
SEX_08W,V31E,-2.4613658027754607e-9,4.3347084113234775e-12
SEX_08W,V29E,-1.5315000774546185e-6,-8.018572076901986e-11
