bpm_count,bpm_index,bpm
1,56,DET_48W
2,28,DET_20W
2,84,DET_22E
4,14,DET_9AW
4,42,DET_34W
4,70,DET_36E
4,98,DET_9AE
8,7,DET_X5C
8,21,DET_13W
8,35,DET_27W
8,49,DET_41W
8,63,DET_43E
8,77,DET_29E
8,91,DET_15E
8,105,DET_X2B
16,4,DET_X4D
16,11,DET_X6C
16,18,DET_12W2
16,25,DET_17W
16,32,DET_24W
16,39,DET_31W
16,46,DET_38W
16,53,DET_45W
16,59,DET_47E
16,66,DET_40E
16,73,DET_33E
16,80,DET_26E
16,87,DET_19E
16,94,DET_12E
16,101,DET_X1B
16,108,DET_X3A
32,2,DET_X4B
32,6,DET_X5B
32,9,DET_X6A
32,13,DET_9W
32,16,DET_10AW
32,20,DET_12W
32,23,DET_15W
32,27,DET_19W
32,30,DET_22W
32,33,DET_25W
32,37,DET_29W
32,40,DET_32W
32,44,DET_36W
32,47,DET_39W
32,51,DET_43W
32,54,DET_46W
32,58,DET_48E
32,61,DET_45E
32,65,DET_41E
32,68,DET_38E
32,72,DET_34E
32,75,DET_31E
32,79,DET_27E
32,82,DET_24E
32,85,DET_21E
32,89,DET_17E
32,92,DET_14E
32,96,DET_10AE
32,99,DET_9E
32,103,DET_X1D
32,106,DET_X2C
32,110,DET_X3C
64,1,DET_X4A
64,3,DET_X4C
64,5,DET_X5A
64,7,DET_X5C
64,8,DET_X5D
64,10,DET_X6B
64,12,DET_X6D
64,14,DET_9AW
64,15,DET_10W
64,17,DET_11W
64,19,DET_12W3
64,20,DET_12W
64,22,DET_14W
64,24,DET_16W
64,26,DET_18W
64,27,DET_19W
64,29,DET_21W
64,31,DET_23W
64,33,DET_25W
64,34,DET_26W
64,36,DET_28W
64,38,DET_30W
64,40,DET_32W
64,41,DET_33W
64,43,DET_35W
64,45,DET_37W
64,46,DET_38W
64,48,DET_40W
64,50,DET_42W
64,52,DET_44W
64,53,DET_45W
64,55,DET_47W
64,57,DET_49E
64,59,DET_47E
64,60,DET_46E
64,62,DET_44E
64,64,DET_42E
64,66,DET_40E
64,67,DET_39E
64,69,DET_37E
64,71,DET_35E
64,72,DET_34E
64,74,DET_32E
64,76,DET_30E
64,78,DET_28E
64,79,DET_27E
64,81,DET_25E
64,83,DET_23E
64,85,DET_21E
64,86,DET_20E
64,88,DET_18E
64,90,DET_16E
64,92,DET_14E
64,93,DET_13E
64,95,DET_11E
64,97,DET_10E
64,98,DET_9AE
64,100,DET_X1A
64,102,DET_X1C
64,104,DET_X2A
64,105,DET_X2B
64,107,DET_X2D
64,109,DET_X3B
64,111,DET_X3D
111,1,DET_X4A
111,2,DET_X4B
111,3,DET_X4C
111,4,DET_X4D
111,5,DET_X5A
111,6,DET_X5B
111,7,DET_X5C
111,8,DET_X5D
111,9,DET_X6A
111,10,DET_X6B
111,11,DET_X6C
111,12,DET_X6D
111,13,DET_9W
111,14,DET_9AW
111,15,DET_10W
111,16,DET_10AW
111,17,DET_11W
111,18,DET_12W2
111,19,DET_12W3
111,20,DET_12W
111,21,DET_13W
111,22,DET_14W
111,23,DET_15W
111,24,DET_16W
111,25,DET_17W
111,26,DET_18W
111,27,DET_19W
111,28,DET_20W
111,29,DET_21W
111,30,DET_22W
111,31,DET_23W
111,32,DET_24W
111,33,DET_25W
111,34,DET_26W
111,35,DET_27W
111,36,DET_28W
111,37,DET_29W
111,38,DET_30W
111,39,DET_31W
111,40,DET_32W
111,41,DET_33W
111,42,DET_34W
111,43,DET_35W
111,44,DET_36W
111,45,DET_37W
111,46,DET_38W
111,47,DET_39W
111,48,DET_40W
111,49,DET_41W
111,50,DET_42W
111,51,DET_43W
111,52,DET_44W
111,53,DET_45W
111,54,DET_46W
111,55,DET_47W
111,56,DET_48W
111,57,DET_49E
111,58,DET_48E
111,59,DET_47E
111,60,DET_46E
111,61,DET_45E
111,62,DET_44E
111,63,DET_43E
111,64,DET_42E
111,65,DET_41E
111,66,DET_40E
111,67,DET_39E
111,68,DET_38E
111,69,DET_37E
111,70,DET_36E
111,71,DET_35E
111,72,DET_34E
111,73,DET_33E
111,74,DET_32E
111,75,DET_31E
111,76,DET_30E
111,77,DET_29E
111,78,DET_28E
111,79,DET_27E
111,80,DET_26E
111,81,DET_25E
111,82,DET_24E
111,83,DET_23E
111,84,DET_22E
111,85,DET_21E
111,86,DET_20E
111,87,DET_19E
111,88,DET_18E
111,89,DET_17E
111,90,DET_16E
111,91,DET_15E
111,92,DET_14E
111,93,DET_13E
111,94,DET_12E
111,95,DET_11E
111,96,DET_10AE
111,97,DET_10E
111,98,DET_9AE
111,99,DET_9E
111,100,DET_X1A
111,101,DET_X1B
111,102,DET_X1C
111,103,DET_X1D
111,104,DET_X2A
111,105,DET_X2B
111,106,DET_X2C
111,107,DET_X2D
111,108,DET_X3A
111,109,DET_X3B
111,110,DET_X3C
111,111,DET_X3D
