target_index,target,line_index,s_m
1,SEX_09AW,180,50.513
2,SEX_10W,190,52.359
3,SEX_10AW,210,59.10438500000001
4,SEX_12W,232,77.12288200000002
5,SEX_13W,238,85.42484500000002
6,SEX_14W,254,92.33155300000003
7,SEX_15W,273,102.26329400000003
8,SEX_16W,279,110.46949700000003
9,SEX_17W,287,118.67059200000004
10,SEX_18W,295,126.86934400000005
11,SEX_19W,303,133.53465100000005
12,SEX_20W,309,141.74255400000004
13,SEX_21W,317,149.94449100000006
14,SEX_22W,325,158.15117800000007
15,SEX_23W,333,166.3549160000001
16,SEX_24W,345,176.5575180000001
17,SEX_25W,353,184.7633210000001
18,SEX_26W,361,192.9697580000001
19,SEX_27W,371,201.39945100000008
20,SEX_28W,379,209.60265400000006
21,SEX_29W,389,218.03087800000006
22,SEX_30W,399,227.31508200000005
23,SEX_31W,407,235.74654100000004
24,SEX_32W,415,243.94574300000002
25,SEX_33W,423,252.378452
26,SEX_34W,433,258.32096800000005
27,SEX_35W,439,266.247907
28,SEX_36W,455,277.2196100000001
29,SEX_37W,463,285.23481400000014
30,SEX_38W,471,293.43722000000014
31,SEX_39W,479,301.8666330000001
32,SEX_40W,487,310.0725710000001
33,SEX_41W,495,318.2775080000001
34,SEX_42W,503,326.4824450000001
35,SEX_43W,511,334.6823820000001
36,SEX_44W,527,345.6874090000002
37,SEX_45W,537,352.0352120000002
38,SEX_47W,551,365.88444100000027
39,SEX_47E,627,402.10880300000036
40,SEX_45E,641,416.40915300000034
41,SEX_44E,651,422.7528710000003
42,SEX_43E,667,433.75209100000035
43,SEX_42E,675,441.95955800000036
44,SEX_41E,683,450.1611960000003
45,SEX_40E,691,458.3645330000003
46,SEX_39E,699,466.5685700000003
47,SEX_38E,709,475.0016130000003
48,SEX_37E,717,483.2036200000002
49,SEX_36E,725,491.21897400000023
50,SEX_35E,737,502.1918880000002
51,SEX_34E,743,510.11032700000015
52,SEX_33E,753,516.0587210000001
53,SEX_32E,761,524.4910650000002
54,SEX_31E,769,532.6925710000002
55,SEX_30E,777,541.1213150000002
56,SEX_29E,787,550.4060380000002
57,SEX_28E,797,558.8351820000003
58,SEX_27E,805,567.0402060000004
59,SEX_26E,815,575.4706000000004
60,SEX_25E,823,583.6744190000005
61,SEX_24E,831,591.8780370000006
62,SEX_23E,841,602.0839950000009
63,SEX_22E,849,610.288114000001
64,SEX_21E,857,618.489572000001
65,SEX_20E,865,626.693891000001
66,SEX_19E,871,634.902548000001
67,SEX_18E,885,641.5627330000011
68,SEX_17E,893,649.7629910000012
69,SEX_16E,901,657.9705490000013
70,SEX_15E,907,666.1766680000013
71,SEX_14E,924,676.1065810000013
72,SEX_13E,942,683.0127840000011
73,SEX_12E,948,691.3164100000012
74,SEX_11E,960,701.3768190000012
75,SEX_10AE,968,709.5820270000013
76,SEX_09AE,980,716.0246000000013
