ridge_ratio,heldout_bpm_channel_rmse_um,selected
0.0,2598.0186876656408,False
1e-08,239.6987404345803,False
3e-08,95.36937895220267,False
1e-07,31.57157399112864,False
3e-07,29.448557015488152,False
1e-06,29.41639711366922,False
3e-06,29.393317725464527,False
1e-05,29.14510417521239,False
3e-05,27.48387671406542,False
0.0001,21.73374575128476,False
0.0003,16.037178722645926,False
0.001,14.643519306659154,False
0.003,14.502275557898535,False
0.01,14.488272098992544,True
0.03,14.75967462352784,False
0.1,16.275361834090102,False
0.3,19.704253673257348,False
1.0,23.885293153151643,False
