bpm_index,bpm,line_index
1,DET_X4A,18
2,DET_X4B,26
3,DET_X4C,37
4,DET_X4D,48
5,DET_X5A,68
6,DET_X5B,76
7,DET_X5C,87
8,DET_X5D,98
9,DET_X6A,114
10,DET_X6B,122
11,DET_X6C,133
12,DET_X6D,144
13,DET_9W,168
14,DET_9AW,176
15,DET_10W,186
16,DET_10AW,208
17,DET_11W,214
18,DET_12W2,224
19,DET_12W3,226
20,DET_12W,228
21,DET_13W,240
22,DET_14W,250
23,DET_15W,269
24,DET_16W,281
25,DET_17W,289
26,DET_18W,297
27,DET_19W,299
28,DET_20W,311
29,DET_21W,319
30,DET_22W,327
31,DET_23W,335
32,DET_24W,347
33,DET_25W,355
34,DET_26W,363
35,DET_27W,373
36,DET_28W,381
37,DET_29W,391
38,DET_30W,401
39,DET_31W,409
40,DET_32W,417
41,DET_33W,425
42,DET_34W,427
43,DET_35W,441
44,DET_36W,457
45,DET_37W,465
46,DET_38W,473
47,DET_39W,481
48,DET_40W,489
49,DET_41W,497
50,DET_42W,505
51,DET_43W,513
52,DET_44W,529
53,DET_45W,533
54,DET_46W,543
55,DET_47W,547
56,DET_48W,571
57,DET_49E,593
58,DET_48E,605
59,DET_47E,625
60,DET_46E,635
61,DET_45E,645
62,DET_44E,649
63,DET_43E,665
64,DET_42E,673
65,DET_41E,681
66,DET_40E,689
67,DET_39E,697
68,DET_38E,707
69,DET_37E,715
70,DET_36E,723
71,DET_35E,735
72,DET_34E,749
73,DET_33E,751
74,DET_32E,759
75,DET_31E,767
76,DET_30E,775
77,DET_29E,785
78,DET_28E,795
79,DET_27E,803
80,DET_26E,813
81,DET_25E,821
82,DET_24E,829
83,DET_23E,839
84,DET_22E,847
85,DET_21E,855
86,DET_20E,863
87,DET_19E,875
88,DET_18E,883
89,DET_17E,891
90,DET_16E,899
91,DET_15E,911
92,DET_14E,928
93,DET_13E,940
94,DET_12E,952
95,DET_11E,958
96,DET_10AE,966
97,DET_10E,978
98,DET_9AE,984
99,DET_9E,992
100,DET_X1A,1010
101,DET_X1B,1018
102,DET_X1C,1029
103,DET_X1D,1040
104,DET_X2A,1070
105,DET_X2B,1078
106,DET_X2C,1089
107,DET_X2D,1100
108,DET_X3A,1132
109,DET_X3B,1140
110,DET_X3C,1151
111,DET_X3D,1162
