target_index,upstream_bpm_index,downstream_bpm_index,momentum_block_condition,momentum_block_sigma_min,target,upstream_bpm,downstream_bpm
1,14,15,1.1094005794581643,1.7470119759271172,SEX_09AW,DET_9AW,DET_10W
2,15,16,1.0288954174315221,7.249222021718846,SEX_10W,DET_10W,DET_10AW
3,16,17,1.0008193453716578,7.479796302158621,SEX_10AW,DET_10AW,DET_11W
4,20,21,1.0315346827286445,9.137153064926542,SEX_12W,DET_12W,DET_13W
5,20,21,1.0315346827286445,9.137153064926542,SEX_13W,DET_12W,DET_13W
6,22,23,1.1249565621733741,9.298477773566079,SEX_14W,DET_14W,DET_15W
7,23,24,1.192783676822997,8.406466073210188,SEX_15W,DET_15W,DET_16W
8,23,24,1.192783676822997,8.406466073210188,SEX_16W,DET_15W,DET_16W
9,24,25,1.2744403928032246,7.230257757091966,SEX_17W,DET_16W,DET_17W
10,25,26,1.272847225907644,7.203363684401441,SEX_18W,DET_17W,DET_18W
11,27,28,1.085208143307757,8.826858436575975,SEX_19W,DET_19W,DET_20W
12,27,28,1.085208143307757,8.826858436575975,SEX_20W,DET_19W,DET_20W
13,28,29,1.1837870930739856,7.515205310004113,SEX_21W,DET_20W,DET_21W
14,29,30,1.2746872891587933,7.221361697228877,SEX_22W,DET_21W,DET_22W
15,30,31,1.2060140873036218,7.4220216863842605,SEX_23W,DET_22W,DET_23W
16,31,32,1.2909633557508602,8.936820832402224,SEX_24W,DET_23W,DET_24W
17,32,33,1.2591553336590642,7.26989853218698,SEX_25W,DET_24W,DET_25W
18,33,34,1.2718079930220307,7.212389191346702,SEX_26W,DET_25W,DET_26W
19,34,35,1.212223573601528,7.645789602632629,SEX_27W,DET_26W,DET_27W
20,35,36,1.2548347304166143,7.2642667564622,SEX_28W,DET_27W,DET_28W
21,36,37,1.2036793764179547,7.651635391244296,SEX_29W,DET_28W,DET_29W
22,37,38,1.238035388461428,8.301245880351896,SEX_30W,DET_29W,DET_30W
23,38,39,1.150838135712062,7.859015164748018,SEX_31W,DET_30W,DET_31W
24,39,40,1.1743400418978152,7.522806430208561,SEX_32W,DET_31W,DET_32W
25,40,41,1.2910372364836638,7.765768324101475,SEX_33W,DET_32W,DET_33W
26,42,43,1.5770104896842827,8.258918866992541,SEX_34W,DET_34W,DET_35W
27,42,43,1.5770104896842827,8.258918866992541,SEX_35W,DET_34W,DET_35W
28,43,44,1.224279165856239,9.862604417101952,SEX_36W,DET_35W,DET_36W
29,44,45,1.1933539272513527,7.3294940341929795,SEX_37W,DET_36W,DET_37W
30,45,46,1.2649202093484906,7.234156607621782,SEX_38W,DET_37W,DET_38W
31,46,47,1.2394651940698465,7.5526042603288195,SEX_39W,DET_38W,DET_39W
32,47,48,1.3056560915484028,7.128154343517103,SEX_40W,DET_39W,DET_40W
33,48,49,1.199912110910422,7.460285460696201,SEX_41W,DET_40W,DET_41W
34,49,50,1.2564810973370002,7.259651605969553,SEX_42W,DET_41W,DET_42W
35,50,51,1.2611950710535786,7.265489182300121,SEX_43W,DET_42W,DET_43W
36,51,52,2.1806322360428085,6.711740489697469,SEX_44W,DET_43W,DET_44W
37,53,54,1.0546459148062948,8.699235389930143,SEX_45W,DET_45W,DET_46W
38,55,56,4.289860108344472,4.846281925478896,SEX_47W,DET_47W,DET_48W
