reference_event,acquisition_time,reference_type,bump_index
1,1,1,5
2,3,1,5
3,5,1,5
4,6,2,1
5,8,2,1
6,10,2,1
7,11,3,4
8,13,3,4
9,15,3,4
10,16,4,2
11,18,4,2
12,20,4,2
13,2061,1,5
14,2063,1,5
15,2065,1,5
16,2066,2,1
17,2068,2,1
18,2070,2,1
19,2071,3,4
20,2073,3,4
21,2075,3,4
22,2076,4,2
23,2078,4,2
24,2080,4,2
25,4121,1,5
26,4123,1,5
27,4125,1,5
28,4126,2,1
29,4128,2,1
30,4130,2,1
31,4131,3,4
32,4133,3,4
33,4135,3,4
34,4136,4,2
35,4138,4,2
36,4140,4,2
37,6181,1,5
38,6183,1,5
39,6185,1,5
40,6186,2,1
41,6188,2,1
42,6190,2,1
43,6191,3,4
44,6193,3,4
45,6195,3,4
46,6196,4,2
47,6198,4,2
48,6200,4,2
49,8241,1,5
50,8243,1,5
51,8245,1,5
52,8246,2,1
53,8248,2,1
54,8250,2,1
55,8251,3,4
56,8253,3,4
57,8255,3,4
58,8256,4,2
59,8258,4,2
60,8260,4,2
61,10301,1,5
62,10303,1,5
63,10305,1,5
64,10306,2,1
65,10308,2,1
66,10310,2,1
67,10311,3,4
68,10313,3,4
69,10315,3,4
70,10316,4,2
71,10318,4,2
72,10320,4,2
73,12361,1,5
74,12363,1,5
75,12365,1,5
76,12366,2,1
77,12368,2,1
78,12370,2,1
79,12371,3,4
80,12373,3,4
81,12375,3,4
82,12376,4,2
83,12378,4,2
84,12380,4,2
85,14421,1,5
86,14423,1,5
87,14425,1,5
88,14426,2,1
89,14428,2,1
90,14430,2,1
91,14431,3,4
92,14433,3,4
93,14435,3,4
94,14436,4,2
95,14438,4,2
96,14440,4,2
97,16481,1,5
98,16483,1,5
99,16485,1,5
100,16486,2,1
101,16488,2,1
102,16490,2,1
103,16491,3,4
104,16493,3,4
105,16495,3,4
106,16496,4,2
107,16498,4,2
108,16500,4,2
109,18541,1,5
110,18543,1,5
111,18545,1,5
112,18546,2,1
113,18548,2,1
114,18550,2,1
115,18551,3,4
116,18553,3,4
117,18555,3,4
118,18556,4,2
119,18558,4,2
120,18560,4,2
121,20601,1,5
122,20603,1,5
123,20605,1,5
124,20606,2,1
125,20608,2,1
126,20610,2,1
127,20611,3,4
128,20613,3,4
129,20615,3,4
130,20616,4,2
131,20618,4,2
132,20620,4,2
133,22661,1,5
134,22663,1,5
135,22665,1,5
136,22666,2,1
137,22668,2,1
138,22670,2,1
139,22671,3,4
140,22673,3,4
141,22675,3,4
142,22676,4,2
143,22678,4,2
144,22680,4,2
145,24713,1,5
146,24715,1,5
147,24717,1,5
148,24718,2,1
149,24720,2,1
150,24722,2,1
151,24723,3,4
152,24725,3,4
153,24727,3,4
154,24728,4,2
155,24730,4,2
156,24732,4,2
