case,label,nuisance_magnitude,fit_count,x_rmse_um,y_rmse_um,rmse_2d_um,median_2d_um,p90_2d_um,p95_2d_um,p99_2d_um,max_2d_um,increment_vs_clean_reference_rms_um
baseline,Reference: sextupole offsets only,none beyond hidden sextupole offsets,304,12.249699678720038,3.5745458102568883,12.760584624869617,8.322535490014111,20.627355413435453,24.822141924610303,38.946193003918275,40.778565354465556,0.0
bpm_gain,BPM gain,"1% RMS per BPM/plane, fixed in scan",304,12.243088283585166,3.565082291611684,12.751589017280299,8.292834992757491,20.630597362138236,24.958656152630468,38.919414548066726,41.020564633243566,0.3690946157738801
corrector_gain,Corrector gain,"1% RMS per corrector, fixed in scan",304,13.294597467655501,5.727874820245164,14.476010216333458,10.297623066914866,23.939216434305692,29.39861646917841,38.26548804088408,43.893673016978234,6.420668000248699
k2_calibration,K2 calibration gain,1% RMS intervention gain per target scan,304,12.718814336348295,4.199210512984982,13.39408851153607,8.714305248800182,22.196041752375717,25.521943413433625,39.13397768594075,43.49211668814008,3.0164113416557523
quadrupole_strength,Quadrupole strength,independent uniform +/-1%,304,19.910427563295126,13.085399705434885,23.82546560309405,16.280775180634684,36.007760590463405,45.309199434633136,69.74960923607853,82.53228642825148,19.384101828342803
quadrupole_roll,Quadrupole roll,1 mrad RMS,304,12.624726267689024,5.9404544233172345,13.95251633539938,9.564010933867534,22.61263726986348,28.30531147022962,37.0160066905453,45.72475346655812,5.171513097010942
linear_sum_prediction,Linear sum of paired increments,paired vector sum,304,21.24849326752552,14.761787170114555,25.872936180415167,18.445004050590008,40.1760637663882,50.950078649078975,68.29262750918494,89.28179556644345,21.442989042178553
combined_without_quadrupole_misalignment,All static nuisances combined,all five static nuisance settings above,304,21.28928839690429,14.74503796867322,25.896909953586714,18.44874412573617,41.05856876634979,50.922090211842026,65.55224467027078,90.2718429635206,21.45776771038499
baseline_with_white_and_drift,Reference + white noise + drift inverse,5 um/read white noise + 10 um endpoint drift,155648,16.61570377123936,11.71719112135636,20.331605435576655,15.858030184919985,31.314557689082378,36.91601142407103,48.713515554220244,85.91951311718711,15.803079065097908
compound_with_white_and_drift,All nuisances except quadrupole misalignment,all five static nuisances + 5 um/read white noise + 10 um endpoint drift,155648,24.06038548472788,18.4736650421658,30.33444329081783,23.058820761969613,47.315718320907216,56.10781385618932,73.73847365585836,127.93983519001587,26.640017769363173
