slot_in_cycle,kind,core_state,reference_type,gradient_block,contrast_sign,bump_x_command_m,bump_y_command_m,delta_k2_m3
1,K2_zero_reference,,1,,0,0.0015,0.0,0.0
2,signal,1,,x,1,0.0015,0.0,0.1
3,K2_zero_reference,,1,,0,0.0015,0.0,0.0
4,signal,2,,x,-1,0.0015,0.0,-0.1
5,K2_zero_reference,,1,,0,0.0015,0.0,0.0
6,K2_zero_reference,,2,,0,-0.0015,0.0,0.0
7,signal,3,,x,-1,-0.0015,0.0,0.1
8,K2_zero_reference,,2,,0,-0.0015,0.0,0.0
9,signal,4,,x,1,-0.0015,0.0,-0.1
10,K2_zero_reference,,2,,0,-0.0015,0.0,0.0
11,K2_zero_reference,,3,,0,0.0,0.0015,0.0
12,signal,5,,y,1,0.0,0.0015,0.1
13,K2_zero_reference,,3,,0,0.0,0.0015,0.0
14,signal,6,,y,-1,0.0,0.0015,-0.1
15,K2_zero_reference,,3,,0,0.0,0.0015,0.0
16,K2_zero_reference,,4,,0,0.0,-0.0015,0.0
17,signal,7,,y,-1,0.0,-0.0015,0.1
18,K2_zero_reference,,4,,0,0.0,-0.0015,0.0
19,signal,8,,y,1,0.0,-0.0015,-0.1
20,K2_zero_reference,,4,,0,0.0,-0.0015,0.0
