sextupole,best_information_quadrupole,best_information_gain_logdet,best_precision_quadrupole,best_precision_improvement,baseline_sigma_x_um,baseline_sigma_y_um
SEX_08E,Q00E,3.5403015391456734,Q01E,1.6531079659226378,376.3104588460468,280.17905600012637
SEX_08W,Q00W,3.3508527644740838,Q01W,1.608804533846082,351.1240612668559,292.4120328941206
SEX_09E,Q00E,3.078506003279383,Q01E,1.6887871712957443,418.6967040555678,324.51043865636177
SEX_09W,Q00W,3.9048994119941085,Q01W,1.8321411043109832,360.068909344023,227.49606576622793
SEX_10E,Q00W,3.563839330425239,Q01E,1.6098051264859983,344.38311124175317,336.9145692465267
SEX_10W,Q00E,3.800050567303522,Q01W,1.67013209649988,367.84303319574235,308.43390669553213
SEX_11E,Q00W,1.5265837850911481,Q01E,1.762835536601527,433.707814693782,75.96347562799212
SEX_11W,Q00E,1.5576350416395144,Q01E,1.7573602545254816,333.8057058365281,71.57581204676035
SEX_12E,Q00W,1.8765001006343525,Q01E,1.6732155723994462,469.22753260557164,220.37588914983655
SEX_12W,Q00E,1.8733966614801218,Q01E,1.6225076391319393,407.4942095169866,240.4225762660157
SEX_13E,Q00E,2.3857431592354104,Q01W,1.6512248690592988,446.530798362897,258.7073585142588
SEX_13W,Q00W,2.424904275924142,Q01E,1.67655899882351,377.50257931709587,233.74198936594973
SEX_14E,Q00E,3.955803927136408,Q01E,1.7996366790486498,321.4578769254553,356.5930227647757
SEX_14W,Q00W,3.47597868066876,Q01E,1.6155558326997972,347.9042844952285,342.1352831384928
SEX_15E,Q00W,1.6345093013966334,Q01W,1.8447532126337711,355.6644199885701,76.78118168830653
SEX_15W,Q00E,1.7355654079281635,Q01E,1.8524174087074756,339.0405909030149,87.70629771839627
SEX_16E,Q00E,3.5186382263793234,Q01E,1.6106626136205846,349.77209482264584,312.5323198188243
SEX_16W,Q00W,3.1875227600700384,Q01W,1.880380739897535,255.9581199486745,327.57930906653013
SEX_17E,Q00E,2.054595177959019,Q01E,1.7222882312468033,535.2217134332152,244.83909769275516
SEX_17W,Q00W,2.71727703525157,Q01W,1.7383367773186273,487.9492980100365,208.16025538865404
SEX_18E,Q00E,3.588192517376015,Q01E,2.3170044543041204,347.8884018543539,486.006531629853
SEX_18W,Q00W,2.819596746515579,Q01W,2.2061192014937867,311.3513178271343,438.3746257868516
SEX_19E,Q00E,2.911561085091833,Q01W,1.749159523063832,471.745398386381,243.4120125197462
SEX_19W,Q00W,3.1917454261052995,Q01E,1.8214342886757473,511.7658734475771,204.65563202485455
SEX_20E,Q00W,2.9414568138570587,Q01W,1.5156612027781087,324.3624987193682,301.25566755426644
SEX_20W,Q00E,2.9912357387705555,Q01E,1.5737513442792106,340.2862039652186,270.3880869575751
SEX_21E,Q00W,1.4663942163408166,Q01W,1.7586422910007748,503.005251403905,72.63732745539374
SEX_21W,Q00E,1.5029921680291025,Q01E,1.7617230806537736,457.8776709285486,74.2415993387766
SEX_22E,Q00W,2.000111597108969,Q01E,1.6290019728386704,381.8330577121078,238.6586747109777
SEX_22W,Q00E,1.8458949779042442,Q01E,1.6231429063572835,441.6295021788264,277.57880945112186
SEX_23E,Q00E,3.072832724001259,Q01E,1.8611725428081543,479.01041537909737,192.1098031597314
SEX_23W,Q00W,2.1487234005317077,Q01E,1.7247674782671925,568.9943110127358,296.65310291208505
SEX_24E,Q00W,3.2204968237306772,Q00E,2.071280687813151,265.3272979999986,375.0393408409659
SEX_24W,Q00E,3.9045809465639216,Q01W,1.685655100869864,346.0322192389873,334.9180361033283
SEX_25E,Q00W,1.7439529466383732,Q01W,1.7620684646774636,373.26729829584815,100.95476831837439
SEX_25W,Q00E,1.618694194026169,Q01W,1.7333109292805091,388.75976990557297,112.5260344417376
SEX_26E,Q00W,1.5821442362980775,Q01W,1.7730608651722852,450.13123213892624,97.35808398867547
SEX_26W,Q00E,1.4441272414565702,Q01W,1.7431192070176749,371.37552036661,133.33942326401498
SEX_27E,Q00E,2.236556514941171,Q01E,1.7475196111915159,478.8072396400506,252.4548169938143
SEX_27W,Q00W,2.918506677245219,Q01W,1.8754426279162015,435.9943002379545,184.24011961905893
SEX_28E,Q00E,3.1534270563569713,Q01E,1.7776966880057263,353.0064214595559,371.14851031201806
SEX_28W,Q00W,2.9057747284979456,Q01E,1.6873378623521422,287.56509684131896,306.92175162089296
SEX_29E,Q01E,1.8820399409841855,Q01E,1.701342330872357,518.6645716880032,222.61148283984997
SEX_29W,Q00E,2.1555147562952754,Q01W,1.686630588402679,463.3397751701655,179.69587700565663
SEX_30E,Q00E,2.337733416570302,Q01W,1.6906519658411643,426.46867996542755,187.71774464486566
SEX_30W,Q00W,1.9308763417831685,Q01W,1.6499251592951407,368.69381491890323,192.42412736952664
SEX_31E,Q00W,2.003431465580796,Q01W,1.8609385064915005,334.41810634527184,96.91987106657417
SEX_31W,Q00E,1.6113457468191683,Q01E,1.7828194816771583,415.4651609331544,122.97122073125652
SEX_32E,Q00E,2.8066084395890982,Q01E,1.5986606431128096,329.89938804360344,323.4322867214953
SEX_32W,Q00W,3.80161151465537,Q01W,1.8108742998512821,450.4403856734878,250.07386314545954
SEX_33E,Q00E,4.8462980895131835,Q01E,2.0691099518087572,299.93140890183827,187.03971280181423
SEX_33W,Q00W,1.9166075723127776,Q01E,1.6061404583918486,371.7397965758006,343.3336654986997
SEX_34E,Q00W,3.4422259691383488,Q00W,2.3969757162882153,233.59174114177986,378.60926977061746
SEX_34W,Q00W,4.7545240484818265,Q01W,1.8244822785463146,314.2988170059336,298.0550804709943
SEX_35E,Q00W,3.24935431361628,Q01E,1.7373422299067112,339.7842672346681,207.10447644677217
SEX_35W,Q00E,2.5696310304962964,Q01W,1.6981236113844635,401.2930220717977,230.94832681783672
SEX_36E,Q01W,1.5092967096501582,Q01W,1.7709131705503909,480.1694429588383,64.23691864680707
SEX_36W,Q01E,1.5864780997690104,Q01E,1.7845208639867627,497.59119372219783,54.90601767194402
SEX_37E,Q00W,1.5727956988666847,Q01W,1.6971201955535726,392.8748185325449,178.02515926528383
SEX_37W,Q00E,1.8336678474369847,Q01E,1.6940828416142213,364.39694183083617,162.0306985155207
SEX_38E,Q00E,3.249461399889846,Q01E,1.6900268565278107,370.5256519066102,288.5898495709674
SEX_38W,Q00W,2.7359774848229605,Q01E,1.593880706272449,296.367537792302,302.80062763191086
SEX_39E,Q00E,2.3800718124646494,Q01W,1.7278865552743397,536.7666545649578,292.4489397992674
SEX_39W,Q00W,3.4982633986120533,Q01W,1.9066750130393642,487.2502222146866,174.8879328515677
