target,calculation_seconds,reused
SEX_08E,38.63360317,1
SEX_08W,39.756305411,1
SEX_09E,40.09713931499999,1
SEX_09W,40.92437889299998,1
SEX_10E,40.53317796800002,1
SEX_10W,43.565920611000024,1
SEX_11E,51.87996578100001,1
SEX_11W,53.084078492,1
SEX_12E,51.38361729000002,1
SEX_12W,52.97365209599991,1
SEX_13E,52.46659247100001,1
SEX_13W,53.27624036899999,1
SEX_14E,53.24274084800004,1
SEX_14W,49.44007792000002,1
SEX_15E,48.824958305999985,1
SEX_15W,49.75770002399997,1
SEX_16E,49.734228010999914,1
SEX_16W,50.78503816800003,1
SEX_17E,51.15098056499994,1
SEX_17W,46.54936020900004,1
SEX_18E,48.42203308000012,1
SEX_18W,51.20324194600016,1
SEX_19E,49.98703561299999,1
SEX_19W,53.85322682099991,1
SEX_20E,51.26320325000006,1
SEX_20W,51.85713687100019,1
SEX_21E,45.86275786500005,1
SEX_21W,50.263407083999994,1
SEX_22E,50.37759742700001,1
SEX_22W,49.36739903900002,1
SEX_23E,51.52888434400006,1
SEX_23W,50.89628979700001,1
SEX_24E,51.35141158500005,1
SEX_24W,51.37159315600002,1
SEX_25E,51.806571583999926,1
SEX_25W,51.61101160999999,1
SEX_26E,52.619353983999986,1
SEX_26W,51.36918884399995,1
SEX_27E,52.63390086000004,1
SEX_27W,53.61838258600005,1
SEX_28E,48.91971697300005,1
SEX_28W,51.41399648399988,1
SEX_29E,52.6770419689999,1
SEX_29W,52.70924375200002,1
SEX_30E,55.07216081899992,1
SEX_30W,53.90107393199992,1
SEX_31E,53.05501405299992,1
SEX_31W,48.26482945900011,1
SEX_32E,49.73413997700004,1
SEX_32W,48.91003031199989,1
SEX_33E,46.635447269,1
SEX_33W,42.298706605999996,1
SEX_34E,49.395663928999966,1
SEX_34W,51.39457551999999,1
SEX_35E,50.501860115,1
SEX_35W,51.100894141000026,1
SEX_36E,50.73891068800003,1
SEX_36W,51.02368666199993,1
SEX_37E,51.934905613999945,1
SEX_37W,51.26412964999997,1
SEX_38E,51.984159369000054,1
SEX_38W,52.833971786000006,1
SEX_39E,52.60671997400004,1
SEX_39W,52.694149047999986,1
SEX_40E,54.16488662799998,1
SEX_40W,51.087105234999854,1
SEX_41E,48.029033764999895,1
SEX_41W,54.68652162199987,1
SEX_42E,51.03812709099998,1
SEX_42W,56.36149508099993,1
SEX_43E,54.43767884499994,1
SEX_43W,55.1656473139999,1
SEX_44E,50.23209405600005,1
SEX_44W,48.34595448999994,1
SEX_45E,49.475768661000075,1
SEX_45W,49.027302888999884,1
