quadrupole,sign,target_count,closed_orbit_seconds,twiss_seconds
QX4A,plus,4,16.9725748,44.2513917
QX4A,minus,4,5.6103724,6.606173
QX4D,plus,10,0.0336193,29.5677291
QX4D,minus,10,0.058676,21.189795
QX5A,plus,4,0.0700947,7.3386801
QX5A,minus,4,0.0421033,6.7825108
QX5B,plus,2,0.0348425,6.934787
QX5B,minus,2,0.0478668,6.460887
QX5C,plus,2,0.0370932,6.3576344
QX5C,minus,2,0.0409475,6.3289075
QX5D,plus,9,0.0479661,19.5713934
QX5D,minus,9,0.0393458,24.0733513
QX6A,plus,12,0.044368,21.156450800000002
QX6A,minus,12,0.0510821,20.5696178
QX6D,plus,1,0.044333,6.5283659
QX6D,minus,1,0.0490831,6.4524424
Q10W,plus,15,0.0335135,26.750274899999997
Q10W,minus,15,0.043117,27.171032800000003
Q10AW,plus,13,0.0481329,27.9069455
Q10AW,minus,13,0.0496537,28.7537993
Q16W,plus,5,0.0488956,14.418905800000001
Q16W,minus,5,0.0386957,14.5860773
Q17W,plus,4,0.0693415,7.5665739
Q17W,minus,4,0.0474686,7.3606995
Q18W,plus,10,0.0429418,20.3220186
Q18W,minus,10,0.0348383,20.5350625
Q22W,plus,8,0.0367737,14.3225449
Q22W,minus,8,0.0495784,13.929239299999999
Q24W,plus,2,0.0430333,7.1439611
Q24W,minus,2,0.0432578,6.6606959
Q25W,plus,3,0.0481986,6.4708665
Q25W,minus,3,0.0363577,6.2590641
Q26W,plus,10,0.0504932,19.787611300000002
Q26W,minus,10,0.0433252,20.6135543
Q30W,plus,10,0.044633,20.1729651
Q30W,minus,10,0.0427139,20.260183599999998
Q34W,plus,13,0.0438035,27.307271399999998
Q34W,minus,13,0.040206,26.87063
Q38W,plus,10,0.0444914,20.543983
Q38W,minus,10,0.0348121,20.228239000000002
Q40W,plus,9,0.0372869,20.0737081
Q40W,minus,9,0.0397571,20.0156126
Q43W,plus,3,0.0593086,7.1685141
Q43W,minus,3,0.0341397,6.9649002
Q45W,plus,6,0.0395237,13.533985999999999
Q45W,minus,6,0.040739,13.048213
Q47AW,plus,2,0.0682434,7.3851966
Q47AW,minus,2,0.0359202,6.9180184
Q47AE,plus,7,0.0410293,13.9964105
Q47AE,minus,7,0.0369768,13.2201084
Q45E,plus,9,0.0467192,19.6783973
Q45E,minus,9,0.059195,20.438976099999998
Q43E,plus,3,0.0341641,7.4061574
Q43E,minus,3,0.0314806,6.4444064
Q40E,plus,4,0.0366711,6.6016713
Q40E,minus,4,0.0380538,7.0829184
Q30E,plus,3,0.0370047,6.6123457
Q30E,minus,3,0.0358944,6.5435741
Q28E,plus,2,0.0493717,7.2049962
Q28E,minus,2,0.0435815,7.2259455
Q24E,plus,8,0.0487963,14.6777692
Q24E,minus,8,0.0393239,14.1180386
Q22E,plus,3,0.0407852,6.4591395
Q22E,minus,3,0.035449,6.3599507
Q18E,plus,9,0.0484932,19.449767899999998
Q18E,minus,9,0.04398,19.7121544
Q17E,plus,1,0.0412823,6.6276773
Q17E,minus,1,0.0360772,5.997903
Q16E,plus,4,0.0394122,7.172214
Q16E,minus,4,0.0487102,6.522744
Q12E,plus,1,0.0588448,6.3326618
Q12E,minus,1,0.0360892,6.2444996
Q10AE,plus,13,0.0389659,26.6743164
Q10AE,minus,13,0.040463,26.529915199999998
Q10E,plus,10,0.0469722,20.153093900000002
Q10E,minus,10,0.0456671,20.0297494
Q09AE,plus,13,0.0386861,27.1404343
Q09AE,minus,13,0.0374889,26.9550817
QX1A,plus,8,0.037049,14.2910138
QX1A,minus,8,0.0429808,14.8815413
QX1D,plus,6,0.0519759,14.194357100000001
QX1D,minus,6,0.0429525,13.115853099999999
QX2A,plus,5,0.0405941,11.6444317
QX2A,minus,5,0.0362587,11.5022115
QX2D,plus,2,0.0388136,5.2030365
QX2D,minus,2,0.0299919,4.2189923
QX3A,plus,3,0.0284735,4.3475863
QX3A,minus,3,0.0280134,4.6943027
QX3D,plus,4,0.0294615,4.4304426
QX3D,minus,4,0.0287692,4.8220075
