sextupole,sextupole_s_m,quadrupole,quadrupole_inventory_index,quadrupole_ring_index,quadrupole_s_m,quadrupole_k1_m2,delta_k1_m2,optics_leverage,delta_log_beta_x,delta_log_beta_y,delta_phi_x_rad,delta_phi_y_rad,max_abs_tune_shift,max_detector_beta_beating,allowed,closed_orbit_seconds,twiss_seconds,selected,selected_rank
SEX_09AW,50.513,QX4A,1,16,2.594000000000023,1.53945630668795,0.00153945630668795,0.01022774323547575,-0.009683469730382893,-0.0016272685571769305,0.002342125299751278,-0.0016442602575828817,0.0005419825581379212,0.009966585184950194,1,0.0531392,2.8526039,1,5
SEX_10W,52.359,QX4A,1,16,2.594000000000023,1.53945630668795,0.00153945630668795,0.009933430402274145,-0.009001825333740025,-0.0017733602025099286,0.0034709169600005496,-0.0015646434950476926,0.0005419825581379212,0.009966585184950194,1,0.0531392,2.8526039,1,12
SEX_10AW,59.10438500000001,QX4A,1,16,2.594000000000023,1.53945630668795,0.00153945630668795,0.008483958830249935,-0.006087675478102767,-0.002259084765309258,0.005355234826208397,-0.0010657207354623501,0.0005419825581379212,0.009966585184950194,1,0.0531392,2.8526039,0,
SEX_12W,77.12288200000002,QX4A,1,16,2.594000000000023,1.53945630668795,0.00153945630668795,0.006913098429749838,-0.006488880353942095,-0.000897636308731462,-0.0021959305827619255,0.00023979070993641438,0.0005419825581379212,0.009966585184950194,1,0.0531392,2.8526039,0,
SEX_13W,85.42484500000002,QX4A,1,16,2.594000000000023,1.53945630668795,0.00153945630668795,0.007133901436039259,-0.0037486641915592976,0.0005207621947540954,0.006039733183838453,0.00030082600053786497,0.0005419825581379212,0.009966585184950194,1,0.0531392,2.8526039,0,
SEX_14W,92.33155300000003,QX4A,1,16,2.594000000000023,1.53945630668795,0.00153945630668795,0.009576172183337261,0.00857095943707362,0.0017335732213826958,0.003902911889009435,-6.107933934334456e-5,0.0005419825581379212,0.009966585184950194,1,0.0531392,2.8526039,0,
SEX_15W,102.26329400000003,QX4A,1,16,2.594000000000023,1.53945630668795,0.00153945630668795,0.00491282164752699,-0.0027540920532813447,0.0021430093527554117,-0.0032220447023476265,-0.001255680035892415,0.0005419825581379212,0.009966585184950194,1,0.0531392,2.8526039,0,
SEX_16W,110.46949700000003,QX4A,1,16,2.594000000000023,1.53945630668795,0.00153945630668795,0.010069273833712922,-0.009804427301089666,0.00027842167757961904,0.0011405620194145094,-0.0019710607512875345,0.0005419825581379212,0.009966585184950194,1,0.0531392,2.8526039,1,5
SEX_17W,118.67059200000004,QX4A,1,16,2.594000000000023,1.53945630668795,0.00153945630668795,0.010070063597776473,0.009359869409805016,-0.0012665856852876623,0.00299821675742908,-0.0017903861237048774,0.0005419825581379212,0.009966585184950194,1,0.0531392,2.8526039,0,
SEX_18W,126.86934400000005,QX4A,1,16,2.594000000000023,1.53945630668795,0.00153945630668795,0.004143230089523368,0.0021055815824880682,0.0013407554720006871,-0.003304811077512371,0.00011610461003163453,0.0005419825581379212,0.009966585184950194,1,0.0531392,2.8526039,0,
SEX_19W,133.53465100000005,QX4A,1,16,2.594000000000023,1.53945630668795,0.00153945630668795,0.006111292467215766,-0.004980114844209851,0.0014216269346117878,-0.002741461274727109,-0.0017348540850131346,0.0005419825581379212,0.009966585184950194,1,0.0531392,2.8526039,0,
SEX_20W,141.74255400000004,QX4A,1,16,2.594000000000023,1.53945630668795,0.00153945630668795,0.01013767489231522,-0.009614776034856104,-0.0003315710566706047,0.0025194158771321947,-0.001967520849766952,0.0005419825581379212,0.009966585184950194,1,0.0531392,2.8526039,1,7
SEX_21W,149.94449100000006,QX4A,1,16,2.594000000000023,1.53945630668795,0.00153945630668795,0.010171014019855998,0.009820233192660186,-0.0016489168927291977,0.0012750330930949624,-0.0016333737864516462,0.0005419825581379212,0.009966585184950194,1,0.0531392,2.8526039,0,
SEX_22W,158.15117800000007,QX4A,1,16,2.594000000000023,1.53945630668795,0.00153945630668795,0.004593828451954358,0.002072508914830868,-0.002304328934335016,-0.003308407300904655,-0.0007432872510942006,0.0005419825581379212,0.009966585184950194,1,0.0531392,2.8526039,0,
SEX_23W,166.3549160000001,QX4A,1,16,2.594000000000023,1.53945630668795,0.00153945630668795,0.009411302688165726,-0.009330184870141527,-0.001222038697862157,-5.14391888400935e-5,0.00015570487479970536,0.0005419825581379212,0.009966585184950194,1,0.0531392,2.8526039,1,8
SEX_24W,176.5575180000001,QX4A,1,16,2.594000000000023,1.53945630668795,0.00153945630668795,0.008272985830860976,0.005734204840213793,0.0016812570876581273,0.005488288352009981,-0.0016165565188034838,0.0005419825581379212,0.009966585184950194,1,0.0531392,2.8526039,0,
SEX_25W,184.7633210000001,QX4A,1,16,2.594000000000023,1.53945630668795,0.00153945630668795,0.00405519081209913,-0.0007815563157066882,-0.0007665367718223149,-0.0034033256468362074,-0.0019140371383396212,0.0005419825581379212,0.009966585184950194,1,0.0531392,2.8526039,0,
SEX_26W,192.9697580000001,QX4A,1,16,2.594000000000023,1.53945630668795,0.00153945630668795,0.010258481304480411,-0.009829411438917721,-0.0022916149444406676,0.001557756226062895,-0.0009700545991984563,0.0005419825581379212,0.009966585184950194,1,0.0531392,2.8526039,1,6
SEX_27W,201.39945100000008,QX4A,1,16,2.594000000000023,1.53945630668795,0.00153945630668795,0.006564325276928012,0.0016554873969274924,0.00018826861507316604,0.006340941539537041,0.00032671568784234926,0.0005419825581379212,0.009966585184950194,1,0.0531392,2.8526039,0,
SEX_28W,209.60265400000006,QX4A,1,16,2.594000000000023,1.53945630668795,0.00153945630668795,0.007547541652422362,0.006823200406255392,0.0022588145691165343,-0.0020420506092808147,-0.0010663523163614687,0.0005419825581379212,0.009966585184950194,1,0.0531392,2.8526039,0,
SEX_29W,218.03087800000006,QX4A,1,16,2.594000000000023,1.53945630668795,0.00153945630668795,0.008864852251916848,-0.008552045588063375,0.0010933052478441822,-0.0009274165169653602,-0.0018419294088257534,0.0005419825581379212,0.009966585184950194,1,0.0531392,2.8526039,1,10
SEX_30W,227.31508200000005,QX4A,1,16,2.594000000000023,1.53945630668795,0.00153945630668795,0.009143090809021101,-0.00757661512961103,-0.001241349226384208,0.004627667965326359,-0.0017985421931672608,0.0005419825581379212,0.009966585184950194,1,0.0531392,2.8526039,1,15
SEX_31W,235.74654100000004,QX4A,1,16,2.594000000000023,1.53945630668795,0.00153945630668795,0.009249647161975537,0.0077494901388640465,-0.002201257897946428,0.004520064128802915,-0.0004741931536079242,0.0005419825581379212,0.009966585184950194,1,0.0531392,2.8526039,0,
SEX_32W,243.94574300000002,QX4A,1,16,2.594000000000023,1.53945630668795,0.00153945630668795,0.004323484772796668,-0.0028456861424407858,-0.00045343661054244124,-0.0032084369709578916,0.0003080883037952941,0.0005419825581379212,0.009966585184950194,1,0.0531392,2.8526039,0,
SEX_33W,252.378452,QX4A,1,16,2.594000000000023,1.53945630668795,0.00153945630668795,0.009245377164316058,-0.009179570421514493,0.0010497254200029801,-0.0002622522812569337,0.00020441641442934776,0.0005419825581379212,0.009966585184950194,1,0.0531392,2.8526039,1,9
SEX_34W,258.32096800000005,QX4A,1,16,2.594000000000023,1.53945630668795,0.00153945630668795,0.010080642086648708,-0.009826758978934433,0.0017829792711931565,0.0013663907001522026,-9.007897689146945e-5,0.0005419825581379212,0.009966585184950194,1,0.0531392,2.8526039,1,7
