case,target,target_index,x_rmse_um,y_rmse_um,rmse_2d_um,median_2d_um,p90_2d_um,p99_2d_um,max_2d_um
baseline,SEX_09AW,1,2.5719046937301546,3.315286163583397,4.19592851465307,4.473862152916478,4.879335588052829,4.934601193993243,4.94074181687551
baseline,SEX_10W,2,3.331927992130694,4.167314714788075,5.3355652068767085,5.107498389802908,6.930482815206856,7.4031808121384834,7.455702811797553
baseline,SEX_10AW,3,1.6668934547716618,2.038939267055918,2.633592057305598,1.3187958891896785,3.916577054812075,4.784309214452654,4.8807238988571635
baseline,SEX_12W,4,1.454992887984766,1.3754580617071062,2.0022210626205386,2.0973603328350703,2.271717641025098,2.313598934510166,2.3182524115640626
baseline,SEX_13W,5,4.2553712006206155,7.257562272390273,8.41310847384568,9.29291734478049,9.883397715798049,9.90794751863699,9.910675274507982
baseline,SEX_14W,6,1.6526408316940064,3.4236097423698055,3.8016214154794135,3.9696636779593506,4.754308875841169,4.782586624269568,4.785728596317168
baseline,SEX_15W,7,1.749108365218578,1.2754542035342398,2.1647548356778805,1.744423497018576,3.0679054523356566,3.3457558438232637,3.376628109544109
baseline,SEX_16W,8,3.196664889448679,5.441788083469906,6.311237910333361,5.447742312600594,8.087959200488612,8.772405573822772,8.848455170859902
baseline,SEX_17W,9,4.24498195194101,7.25156042224295,8.402678164117988,6.257553049386422,12.144501092175592,12.949298509730435,13.038720445014306
baseline,SEX_18W,10,11.332756928346368,13.339376173657312,17.503437842301697,17.257327371431607,21.34745621341984,22.628262184386546,22.770573958938403
baseline,SEX_19W,11,1.9839164690917466,1.42499075457511,2.442646762624102,1.6681690350977294,3.6210763770445102,4.01008772762633,4.053311211024311
baseline,SEX_20W,12,3.9609694987203845,5.370918784369305,6.673533393794046,6.354625263356731,8.089999079914936,8.55012448545898,8.60124953051943
baseline,SEX_21W,13,6.180988031042936,4.216998374525047,7.482492120319468,7.685903714379519,8.649964563533048,8.929454994238904,8.960509486539555
baseline,SEX_22W,14,4.0939160132020795,2.968259296776769,5.056749111440484,5.211028836147008,6.091465709363769,6.275849463262973,6.296336547029552
baseline,SEX_23W,15,3.9968645852395106,0.9318125934939938,4.104046932253067,2.5906011261911335,6.066582916067594,7.103268774068635,7.218456091624307
baseline,SEX_24W,16,9.002278722814586,5.922358604927088,10.77568344229702,10.454205718077652,13.839903438950696,15.031115707011907,15.163472625685376
baseline,SEX_25W,17,2.92679807742762,2.814716959004795,4.060637701807835,3.464796484172613,5.569016062929794,5.964606579532691,6.008561081377458
baseline,SEX_26W,18,1.8775341629094864,1.8228594125667006,2.6168589894901184,2.9007163480420832,3.0304024078372946,3.0634166848181885,3.0670849378160656
baseline,SEX_27W,19,2.4215912984446497,1.8141912976485022,3.0257882412962087,2.9935713255839627,3.7955816647494727,3.815940026357542,3.8182020665362164
baseline,SEX_28W,20,4.426218825085496,6.413148743292752,7.792296830276593,8.136952741970982,9.314907053541354,9.581855141323498,9.61151603996596
baseline,SEX_29W,21,1.983104070373948,3.3697640286928303,3.9099886653295886,1.75752517630081,5.663524620707959,7.110705546589347,7.271503427242837
baseline,SEX_30W,22,2.4559691108646,0.9935680738559791,2.6493323292684394,2.4689244258757603,3.4747858211992404,3.8036026630836806,3.8401378677375075
baseline,SEX_31W,23,1.8118974184624383,0.8763421074993043,2.012696634966922,1.8597304650924213,2.700573638643251,2.9754397701507567,3.0059804514293686
baseline,SEX_32W,24,3.873227420937332,2.0034342850540448,4.360692558393778,3.8570624434747396,5.964205610678814,6.663018294717036,6.740664148499061
baseline,SEX_33W,25,1.9598036630507056,5.439593824676865,5.781869193882688,5.466393385075799,7.874838626560756,8.179310682390545,8.213140910816078
baseline,SEX_34W,26,2.7349500902681476,2.593862916105251,3.7693602671811277,3.2405697775330946,5.238872412792399,5.254796502070168,5.256565845323254
baseline,SEX_35W,27,1.1476766689004803,1.1008297795376727,1.5902792018559078,1.214125433426724,2.1896170357146976,2.4863735985716136,2.51934655000016
baseline,SEX_36W,28,1.603206142767301,1.9517304481932496,2.525771501662696,1.845090093029524,3.4860254884391204,4.031782073240856,4.092421693774383
baseline,SEX_37W,29,2.871076492400648,1.2264856797882848,3.1220742060273547,2.1721965558662877,4.415424182511519,5.192496304209938,5.278837651065319
baseline,SEX_38W,30,3.1423751833626983,1.521277900580931,3.4912473764844676,3.3088123073809674,4.283495553643295,4.620679809896014,4.658144727257428
baseline,SEX_39W,31,3.7850354927784355,5.09937675802006,6.3506013102561925,6.3074284098714575,8.418507544910788,8.85561792296684,8.904185742750846
baseline,SEX_40W,32,5.896754817895595,5.236936710461237,7.886521634519966,6.834566566471538,10.801980793121887,11.249246773510023,11.298942993553151
baseline,SEX_41W,33,2.21924666420295,1.692858312718229,2.7912049411526794,3.032604176480557,3.1311094033974043,3.159716251692861,3.1628947903923565
baseline,SEX_42W,34,4.921721094960965,4.187783830470803,6.462265233440706,5.875946580363541,7.747759278440748,8.359786419450723,8.427789435118498
baseline,SEX_43W,35,3.5668701575542396,2.0347677881834123,4.1064391719200986,2.922537866323746,5.766033905581142,6.800553086070226,6.915499661680125
baseline,SEX_44W,36,6.877525157724459,4.060181093973432,7.9865776657459575,7.041128910245947,10.715915191187813,11.170344204422797,11.220836317004462
baseline,SEX_45W,37,2.243517374942114,3.346102589673287,4.028619211626415,2.860400344647013,5.821205929977416,6.014800882227674,6.036311432477703
baseline,SEX_47W,38,9.793677386459683,3.810354343399375,10.5088018809146,9.802750081056915,13.56477867870079,14.483121950340799,14.585160091634133
baseline,SEX_47E,39,6.100777319704322,6.559222767885962,8.957839428309274,8.600442869524064,9.884568603544293,10.354391475028867,10.40659401630493
baseline,SEX_45E,40,2.533230748259071,1.9779610885822172,3.2139676556976364,3.2796780916014328,4.01485138613346,4.129469024034969,4.142204317135137
baseline,SEX_44E,41,1.6878383058032866,9.303133882602346,9.455003870129335,6.910875787392442,13.735401328492381,14.70783633711816,14.815884671409913
baseline,SEX_43E,42,5.225832945560077,1.8270462174387305,5.536011908906834,3.493420709158361,8.082970480194923,9.56607105620624,9.730860009096387
baseline,SEX_42E,43,5.761750944551652,1.4246071535844353,5.935257322904021,6.3119177195913,7.434875882905926,7.684137745030752,7.711833507489067
baseline,SEX_41E,44,2.7641507775412553,1.7274435177818235,3.2595384072147953,3.4588024987104378,3.9894125076263585,4.061358941574136,4.069352989790556
baseline,SEX_40E,45,4.54319885780601,3.514864272478954,5.7441210568300916,5.4607127031479745,7.3596972950365895,7.535729455830574,7.555288584807683
baseline,SEX_39E,46,4.077465420535738,5.8949784619847465,7.167739903409493,6.977914438302566,8.479243565527685,8.596146194540273,8.60913537554167
baseline,SEX_38E,47,2.0533071984208533,2.8434571018831503,3.507323586630783,3.3644708837184867,4.487132839175843,4.631075661344977,4.647069308252659
baseline,SEX_37E,48,3.804524890226269,0.9313339991556701,3.9168600508997633,3.2624873889528496,5.520548747511339,5.592649792659849,5.600661019898572
baseline,SEX_36E,49,4.266097942889565,3.3837582804013557,5.445127340890323,4.794996686830734,7.356950751705545,7.603418091521118,7.630803351500626
baseline,SEX_35E,50,1.268118116268861,0.8216914237615054,1.511059347839288,1.4329642221771204,2.0317217919023927,2.141901588733021,2.1541437883808685
baseline,SEX_34E,51,3.841128550254564,0.9737326193008535,3.962628389525219,1.7510772503847167,5.771868636452027,7.31886050077062,7.490748485694909
baseline,SEX_33E,52,3.8929288854716604,3.0844306875590375,4.966750242733728,4.030601251723757,6.338386417572178,7.1923226493322066,7.2872044528611
baseline,SEX_32E,53,3.7471639914727266,2.288142432810777,4.390539120861929,4.241523623713943,5.727166525207642,6.178136027531262,6.228243750011664
