part_label,inventory_index,sextupole,activation_seconds,twiss_seconds,extraction_seconds,allocated_bytes,coefficient_rows
1,1,SEX_08E,0.8746781,418.9994207,0.3015206,14939687592,1191
1,2,SEX_08W,0.2831807,10.4542358,0.0214871,4302891694,1191
1,3,SEX_09E,0.0001691,16.0473291,0.0183971,3945909907,1191
1,4,SEX_09W,0.0001625,7.1200206,0.0191085,3946259219,1191
1,5,SEX_10E,0.000159,6.2566728,0.0095487,3946608563,1191
1,6,SEX_10W,0.0001329,7.0470333,0.0110331,3946957795,1191
1,7,SEX_11E,0.0001237,13.8082006,0.0626637,3947307171,1191
1,8,SEX_11W,0.0002443,10.0191576,0.0124173,3947656547,1191
1,9,SEX_12E,0.0001409,7.1557383,0.0173287,3948005843,1191
1,10,SEX_12W,0.0001871,5.8310572,0.0178401,3948355187,1191
1,11,SEX_13E,0.0001995,6.1381312,0.017513,3948704483,1191
1,12,SEX_13W,0.0001957,5.8276762,0.0132313,3949053875,1191
1,13,SEX_14E,0.0001588,5.8085733,0.0131869,3949403123,1191
1,14,SEX_14W,0.0002444,6.1786009,0.0143377,3949752515,1191
1,15,SEX_15E,0.0001413,6.2318678,0.0116287,3950101795,1191
1,16,SEX_15W,0.0002164,5.710256,0.0166837,3950451155,1191
1,17,SEX_16E,0.0002709,5.8532483,0.0113263,3950800419,1191
1,18,SEX_16W,0.00017,5.7962067,0.0139597,3951149795,1191
1,19,SEX_17E,0.000125,6.0558679,0.0130387,3951499107,1191
