training_case,evaluation_case,model,target,target_index,x_rmse_um,y_rmse_um,rmse_2d_um,median_2d_um,p90_2d_um,p95_2d_um,p99_2d_um,max_2d_um
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_09AW,1,17.41254429947502,5.617477029188786,18.29624953794203,17.262876575938492,22.112344306141164,22.718527772416497,23.203474545436766,23.324711238691833
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_10W,2,19.651588571495957,11.212748863879774,22.625442989426475,22.619354289672707,23.039245312527076,23.091731690383874,23.13372079266931,23.14421806824067
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_10AW,3,1.2328593490394073,27.005141836215753,27.03326890645384,25.738025503886245,32.352031052354214,33.17878174591271,33.8401823007595,34.0055324394712
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_12W,4,18.137414923814614,25.713788769600377,31.466883433321446,28.27414886388533,39.322761707976596,40.703838313488006,41.80869959789713,42.08491491899942
without_quadrupole_misalignment,without_quadrupole_misalignment,shared_target_local_ridge,SEX_09AW,1,15.867765862193759,5.866096889740698,16.917360496756793,16.50266422758341,19.480895602757986,19.853174524654808,20.150997662172266,20.22545344655163
without_quadrupole_misalignment,without_quadrupole_misalignment,shared_target_local_ridge,SEX_10W,2,14.577728130296629,11.398437439405097,18.50498671982429,18.498963330019286,18.876652485151013,18.92386362954248,18.961632545055654,18.971074773933946
without_quadrupole_misalignment,without_quadrupole_misalignment,shared_target_local_ridge,SEX_10AW,3,7.369186840626819,27.147468263429705,28.129876427136868,27.09595128117846,33.14108139254546,33.89672265646633,34.501235667603034,34.65236392038721
without_quadrupole_misalignment,without_quadrupole_misalignment,shared_target_local_ridge,SEX_12W,4,13.202225878748648,24.894738147838584,28.178835242127203,25.246009073553893,35.2599443706801,36.511686282820875,37.5130798125335,37.763428194961655
without_quadrupole_misalignment,without_quadrupole_misalignment,shared_joint_ridge,SEX_09AW,1,14.154472043258155,5.403090121226806,15.15065878704538,13.991603456919659,18.64107615894783,19.22226024670135,19.687207516904166,19.80344433445487
without_quadrupole_misalignment,without_quadrupole_misalignment,shared_joint_ridge,SEX_10W,2,23.084079103738198,11.035257952728442,25.58616083258485,25.56401776181409,26.415415492439323,26.52184020876748,26.60697998183,26.628264925095632
