training_case,evaluation_case,model,held_out_machine_count,measurement_augmentations,fit_count,x_rmse_um,y_rmse_um,rmse_2d_um,median_2d_um,p90_2d_um,p95_2d_um,p99_2d_um,max_2d_um,fraction_below_50um,median_machine_rmse_2d_um,worst_machine_rmse_2d_um,worst_target_rmse_2d_um,preferred_30um_aggregate_gate,hard_50um_rmse_p99_all_target_gate
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,1,2,8,15.967681380351198,19.67078038449198,25.335872781479797,22.619354289672707,36.42934718332967,39.257131051164535,41.51935814543244,42.08491491899942,1.0,24.222208786637445,31.651276769626463,31.466883433321446,True,True
without_quadrupole_misalignment,without_quadrupole_misalignment,shared_target_local_ridge,1,2,8,13.161495296354166,19.500439029309252,23.526412407584807,19.25530670795183,35.58568320275954,36.674555698860594,37.54565369574144,37.763428194961655,1.0,22.600035716259114,29.1368901888302,28.178835242127207,True,True
without_quadrupole_misalignment,without_quadrupole_misalignment,shared_joint_ridge,1,2,8,17.407255098785214,19.32660297708667,26.010192477337014,22.151607466493708,36.5793542030889,40.07832532936988,42.87750223039468,43.57729645565088,1.0,25.021680475111904,32.12418840608409,33.223756784167364,True,True
without_quadrupole_misalignment,without_quadrupole_misalignment,shared_joint_random_feature,1,2,8,15.007816897609903,20.340449049918465,25.277824977329722,21.154080604566282,37.164015449449224,39.46603844655533,41.30765684424022,41.768061443661445,1.0,24.128263330077182,31.664531919967477,30.705959414394112,True,True
with_quadrupole_misalignment,without_quadrupole_misalignment,shared_target_local_ridge,1,2,8,24.83889937662737,28.020769736611513,37.44508591089655,35.59949263614057,51.21169954462451,54.73525622713825,57.554101573149254,58.25881290965201,0.875,36.87053993257413,43.40489100631355,44.5742455775813,False,False
with_quadrupole_misalignment,without_quadrupole_misalignment,shared_joint_ridge,1,2,8,22.816863567433156,28.32776814187208,36.37405271556252,33.87268712718303,50.54280556637411,53.75075571260672,56.31711582959281,56.95870585883933,0.875,35.73636088415526,42.51752757668974,43.03990326121839,False,False
with_quadrupole_misalignment,without_quadrupole_misalignment,shared_joint_random_feature,1,2,8,24.703206771634523,28.00048600013169,37.34000054962106,35.37251321068207,51.697943339124684,55.21883994147714,58.03555722335912,58.739736543829615,0.875,36.70597212633712,43.55777855283978,44.95591954583478,False,False
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,1,2,8,36.716340133710005,37.04070405745789,52.15461043749115,44.81722943077787,80.68706496431858,86.07172737457792,90.3794573027854,91.45638978483727,0.75,51.871849826561025,57.29537132621067,84.11648367305884,False,False
without_quadrupole_misalignment,with_quadrupole_misalignment,shared_target_local_ridge,1,2,8,1387.8669108633026,116.98358841591227,1392.7884700226055,1388.0749454103818,1449.7557381033018,1451.1290583677276,1452.2277145792682,1452.5023786321533,0.0,1392.788467918234,1392.86503088675,1450.5418192853188,False,False
without_quadrupole_misalignment,with_quadrupole_misalignment,shared_joint_ridge,1,2,8,36.05144700124192,36.33344897210613,51.18423922548811,50.787348384983005,72.67431772057144,78.03201449044246,82.31817190633929,83.3897112603135,0.5,50.884208097003835,56.418077578009424,76.12162476188088,False,False
without_quadrupole_misalignment,with_quadrupole_misalignment,shared_joint_random_feature,1,2,8,182.34526236189092,24.87858912968322,184.03461332833675,179.41118291412374,226.82819842627632,227.38062426468,227.82256493540294,227.93305010308367,0.0,184.0289300639201,185.47523654569375,227.14524127744292,False,False
with_quadrupole_misalignment,with_quadrupole_misalignment,shared_target_local_ridge,1,2,8,37.573389328135434,47.46892995302841,60.539729901025815,61.972945329076026,79.2886767755638,84.46223632520991,88.60108396492681,89.63579587485604,0.375,60.27591855854698,65.92149544780916,82.57640926688373,False,False
with_quadrupole_misalignment,with_quadrupole_misalignment,shared_joint_ridge,1,2,8,38.744484984655486,46.76379321085272,60.72880265733542,64.13127046758251,76.74651560224257,81.75358405178144,85.75923881141257,86.76065250132035,0.375,60.47174023577221,66.0535056420642,79.7752096165039,False,False
with_quadrupole_misalignment,with_quadrupole_misalignment,shared_joint_random_feature,1,2,8,38.10958319437136,47.279922044402866,60.72669396380413,64.34408235712533,77.63283194357167,82.7836810569691,86.90436034768705,87.93453017036654,0.375,60.43856542358834,66.34713287366941,80.91146559711235,False,False
