machine,before_bpm_rms_um,after_bpm_rms_um,before_target_2d_rms_um,after_target_2d_rms_um,command_rms,max_abs_command,iterations,retained_response_rank,retained_response_condition,response_method,response_seconds,gtpsa_closure_norm_max,gtpsa_vs_finite_difference_relative_l2,gtpsa_vs_finite_difference_max_abs,correction_measurement_residual_rms_um,correction_independent_validation_residual_rms_um,materialization_bpm_max_abs_error_m
1,1051.0757133382597,121.51925526421407,1660.2467998418097,72.4815071555679,1.9479969561243917e-5,9.506145402251097e-5,3,102,323612.63837069256,gtpsa,11.51559375,3.552713678800501e-15,NaN,NaN,121.5137762956233,121.50790137728366,0.0
2,945.4935914461191,155.60797697886667,1424.7413089108375,46.268791910468764,2.2491087400555572e-5,0.00012645089211616524,3,102,323612.63837069256,gtpsa,0.0,3.552713678800501e-15,NaN,NaN,155.5995989921951,155.588873432668,0.0
3,732.2685972279803,116.21461155359856,1138.541060949347,77.38913044122648,1.9536899784112487e-5,0.00010270005282137221,3,102,323612.63837069256,gtpsa,0.0,3.552713678800501e-15,NaN,NaN,116.20845559162582,116.21094164103496,0.0
4,514.0926916240134,77.92460614036503,751.7543201088937,64.76808210665685,1.725895907879528e-5,7.883933126294577e-5,3,102,323612.63837069256,gtpsa,0.0,3.552713678800501e-15,NaN,NaN,77.92571097242454,77.91499622827625,0.0
5,941.5944966911071,105.2795473459227,1428.1370957923607,48.1797970550717,1.5944271907941097e-5,6.552985881729423e-5,3,102,323612.63837069256,gtpsa,0.0,3.552713678800501e-15,NaN,NaN,105.2743937642348,105.27994380702002,0.0
6,958.8184803664685,151.68162472257993,1516.9630329127983,44.50704007434655,2.2701763267304105e-5,0.00013063446457477123,3,102,323612.63837069256,gtpsa,0.0,3.552713678800501e-15,NaN,NaN,151.66747450369127,151.66712943611319,0.0
7,952.1675300953416,175.32554923692416,1513.3222809698773,43.28924004633343,2.3819820698750258e-5,0.00014121464200994872,3,102,323612.63837069256,gtpsa,0.0,3.552713678800501e-15,NaN,NaN,175.32496900030046,175.3254938862561,0.0
8,1238.09013881558,150.79095561961208,1976.2824572563559,103.52227125939639,2.1446002628030796e-5,0.00011749600323299901,3,102,323612.63837069256,gtpsa,0.0,3.552713678800501e-15,NaN,NaN,150.79938983012931,150.79726350273538,0.0
9,548.9204238393974,111.8376779198212,920.3366175925178,80.6938952062194,1.8636677216500982e-5,0.00010043083495604557,3,102,323612.63837069256,gtpsa,0.0,3.552713678800501e-15,NaN,NaN,111.8321650002251,111.83626310958893,0.0
10,873.1192360392783,149.68010864122573,1416.3159580572058,105.58263192377709,2.1459284764907207e-5,0.00012012601306204063,3,102,323612.63837069256,gtpsa,0.0,3.552713678800501e-15,NaN,NaN,149.68451065481884,149.67909781979733,0.0
11,721.5329601192369,139.82053085153694,1063.5144406054305,111.43394015545607,2.683050152656698e-5,0.00011567080947310164,3,102,323612.63837069256,gtpsa,0.0,3.552713678800501e-15,NaN,NaN,139.8196362253282,139.82073718743658,0.0
12,614.842295661263,115.43711708973746,907.3887672366334,62.697155283306735,1.9720622861248538e-5,8.012628012583241e-5,3,102,323612.63837069256,gtpsa,0.0,3.552713678800501e-15,NaN,NaN,115.44173203023286,115.44456470785325,0.0
13,865.8308136096807,125.4222518405289,1328.9407943136798,87.45671072611543,2.253511125395808e-5,0.0001134843116161504,3,102,323612.63837069256,gtpsa,0.0,3.552713678800501e-15,NaN,NaN,125.42281869815,125.42627697575284,0.0
14,1060.8587780631453,69.59262222791173,1666.2819214438227,46.55739188323552,1.7649938883861214e-5,0.00010149421075691268,3,102,323612.63837069256,gtpsa,0.0,3.552713678800501e-15,NaN,NaN,69.58436267348895,69.58443539639994,0.0
15,823.8369229411323,130.25474497511635,1159.6204228376323,38.501013585838926,2.078489461032728e-5,0.0001002434995211605,3,102,323612.63837069256,gtpsa,0.0,3.552713678800501e-15,NaN,NaN,130.2487748448913,130.25236032641845,0.0
16,545.1112946387154,52.05254770316653,817.457791011793,27.46493520473273,1.3532575762690964e-5,4.621704418737093e-5,3,102,323612.63837069256,gtpsa,0.0,3.552713678800501e-15,NaN,NaN,52.047310594633316,52.03987375451452,0.0
