machine,before_bpm_rms_um,after_bpm_rms_um,before_target_2d_rms_um,after_target_2d_rms_um,command_rms,max_abs_command,iterations,retained_response_rank,retained_response_condition,materialization_bpm_max_abs_error_m
1,1051.0757133382597,121.47237286587647,1660.2467998418097,73.40301301219141,1.9514373521063597e-5,9.493317955547686e-5,3,103,5.807128653959204e6,0.0
2,945.4935914461191,155.88304687006078,1424.7413089108375,45.462821230735706,2.159647539457338e-5,0.0001229390036044364,3,103,5.220853105741025e7,0.0
3,732.2685972279803,116.1670170442634,1138.541060949347,75.74744542772986,1.9592112725181692e-5,0.00010306281180198357,3,103,6.67413503146713e6,0.0
4,514.0926916240134,78.18999889714402,751.7543201088937,66.5270334270281,1.665148770525828e-5,7.802539822476755e-5,3,103,3.979636243066127e7,0.0
5,941.5944966911071,105.18373143620563,1428.1370957923607,48.37060371530248,1.6042598919425915e-5,6.567974010895941e-5,3,103,2.075525302776999e7,0.0
6,958.8184803664685,151.16895909937398,1516.9630329127983,44.168347122546294,2.3680056430035375e-5,0.00013714260568449652,3,103,1.2822313921940027e7,0.0
7,952.1675300953416,175.13951978225404,1513.3222809698773,42.90856570857002,2.3632804314069696e-5,0.00013657393401663348,3,103,2.4071478521019112e7,0.0
8,1238.09013881558,150.083039667406,1976.2824572563559,100.80688201786475,2.3073007627958138e-5,0.000130758674427704,3,103,6.179091031843211e7,0.0
9,548.9204238393974,110.68793071317683,920.3366175925178,78.22385346322183,2.1269245438036044e-5,0.00012309531079762487,3,103,1.9592879850836407e7,0.0
10,873.1192360392783,150.64853507319262,1416.3159580572058,107.8141570157844,1.8979339636443883e-5,9.28150016018478e-5,3,103,6.324592448352566e6,0.0
11,721.5329601192369,140.969689586494,1063.5144406054305,112.11156439702211,2.4310688544716437e-5,0.0001047652565081661,3,103,1.1726537494677883e7,0.0
12,614.842295661263,115.51834770326302,907.3887672366334,62.613709430043535,1.946875176293152e-5,7.915095348875505e-5,3,103,4.776349648489592e6,0.0
13,865.8308136096807,125.50802763968083,1328.9407943136798,86.7321153805935,2.2236056560692075e-5,0.00011132246774613579,3,103,2.0672574131456934e7,0.0
14,1060.8587780631453,69.43962008248668,1666.2819214438227,45.872054666443184,1.7807924072503664e-5,0.00010140670394597519,3,103,1.4851125120222585e7,0.0
15,823.8369229411323,130.12434938214648,1159.6204228376323,38.4172164766344,2.095656314766477e-5,9.976139150702361e-5,3,103,1.1921963512947282e7,0.0
16,545.1112946387154,52.010456012243324,817.457791011793,27.380040509168133,1.35710649813967e-5,4.64701906891161e-5,3,103,3.7131977722573064e7,0.0
