machine,before_bpm_rms_um,after_bpm_rms_um,before_target_2d_rms_um,after_target_2d_rms_um,command_rms,max_abs_command,iterations,retained_response_rank,retained_response_condition,response_method,response_seconds,gtpsa_closure_norm_max,gtpsa_vs_finite_difference_relative_l2,gtpsa_vs_finite_difference_max_abs,correction_measurement_residual_rms_um,correction_independent_validation_residual_rms_um,materialization_bpm_max_abs_error_m
1,1051.0757133382597,121.47216559302588,1660.2467998418097,73.41139999841822,1.9514653427348118e-5,9.493907383708999e-5,3,103,5.80711575093178e6,gtpsa,13.252681459,3.552713678800501e-15,1.5027886219209907e-8,1.1324317430450037e-6,121.46660790056035,121.46082658163054,0.0
2,945.4935914461191,155.88295526067833,1424.7413089108375,45.455782075359195,2.159730365618268e-5,0.00012294304314509804,3,103,5.220860142978116e7,gtpsa,3.441377084,3.552713678800501e-15,1.5449801097911545e-8,1.6546137331374666e-6,155.8745384382415,155.86361657120156,0.0
3,732.2685972279803,116.16749439394395,1138.541060949347,75.73970182016231,1.9590109794839043e-5,0.00010305455494346882,3,103,6.674120597583279e6,gtpsa,3.308288416,3.552713678800501e-15,1.4483039150006847e-8,1.2255099832714222e-6,116.16127796416254,116.16379588481229,0.0
4,514.0926916240134,78.18992539735831,751.7543201088937,66.52637901394476,1.6651795542665652e-5,7.801928943137852e-5,3,103,3.979635765293291e7,gtpsa,3.490810708,3.552713678800501e-15,1.6292497234134102e-8,1.8298170303410188e-6,78.19012845075585,78.18009365047007,0.0
5,941.5944966911071,105.18355081010503,1428.1370957923607,48.38063134285941,1.604376716998444e-5,6.568508029146073e-5,3,103,2.0755237011341855e7,gtpsa,3.83369425,3.552713678800501e-15,1.393683420797028e-8,1.4726355068717112e-6,105.17824272937298,105.1838712513014,0.0
6,958.8184803664685,151.1692504336925,1516.9630329127983,44.158670490630634,2.3678907159630054e-5,0.0001371406140323457,3,103,1.2822285513310729e7,gtpsa,3.851288458,3.552713678800501e-15,1.2731244406214697e-8,1.1063654952181423e-6,151.15468404332785,151.15421796179575,0.0
7,952.1675300953416,175.13929145986398,1513.3222809698773,42.91416319830058,2.3633667079700322e-5,0.0001365874306651958,3,103,2.4071437276221387e7,gtpsa,4.181566166,3.552713678800501e-15,1.3656663262553464e-8,1.2392779247250019e-6,175.13909871557948,175.14024732399642,0.0
8,1238.09013881558,150.0823546210969,1976.2824572563559,100.81379752703232,2.3074499044543014e-5,0.00013077298243312454,3,103,6.179090121984535e7,gtpsa,4.404527959,3.552713678800501e-15,1.378633353963696e-8,1.1147285992052502e-6,150.09110469581427,150.08892389074302,0.0
9,548.9204238393974,110.68741459719264,920.3366175925178,78.22667222651168,2.127042563432714e-5,0.00012310962096711742,3,103,1.9592855345476724e7,gtpsa,4.436990416,3.552713678800501e-15,1.1293833246320926e-8,9.132286411528412e-7,110.68161045567783,110.68579401744763,0.0
10,873.1192360392783,150.6492297613894,1416.3159580572058,107.82117841610739,1.897742125263032e-5,9.28084686833491e-5,3,103,6.324593178874139e6,gtpsa,4.298250416,2.6645352591003757e-15,1.879094729898833e-8,2.796928452397651e-6,150.65361241870698,150.64831737372594,0.0
11,721.5329601192369,140.9684223961093,1063.5144406054305,112.10498649149112,2.431343672899327e-5,0.00010478788444437333,3,103,1.172654942593509e7,gtpsa,3.622323792,3.552713678800501e-15,1.7200171065595204e-8,2.2157299426339705e-6,140.96700494219425,140.9691484771385,0.0
12,614.842295661263,115.51840291720967,907.3887672366334,62.62856403527791,1.946923282308541e-5,7.916286136844653e-5,3,103,4.776351274893942e6,gtpsa,4.76564925,3.552713678800501e-15,1.4101437782430711e-8,1.7084478241002898e-6,115.52327155352894,115.52615830185269,0.0
13,865.8308136096807,125.50819077035864,1328.9407943136798,86.72683703065589,2.2235443732631202e-5,0.00011133362160523216,3,103,2.0672526055892948e7,gtpsa,5.151668209,3.552713678800501e-15,1.4468925342325105e-8,1.4852442511426034e-6,125.50896522771528,125.51225860990965,0.0
14,1060.8587780631453,69.4403022733842,1666.2819214438227,45.86896710724976,1.7808317319284465e-5,0.00010142400223821566,3,103,1.485109237021036e7,gtpsa,5.32628625,3.552713678800501e-15,1.3616053573156975e-8,1.2588043585282094e-6,69.43198649601098,69.43192125577065,0.0
15,823.8369229411323,130.12364782190846,1159.6204228376323,38.397989531787296,2.0958990606023305e-5,9.976378675947429e-5,3,103,1.1921945346915575e7,gtpsa,5.524953,3.552713678800501e-15,1.3967094653654191e-8,1.3949155022174864e-6,130.11764096384067,130.12100054167786,0.0
16,545.1112946387154,52.01059040570482,817.457791011793,27.384539558701846,1.3571387909707981e-5,4.647311319983734e-5,3,103,3.713186934644004e7,gtpsa,5.802460084,3.552713678800501e-15,1.3712867843945692e-8,1.1565218436260238e-6,52.00540841055705,51.99816811042244,0.0
