training_case,model,alpha,validation_rmse_2d_um,hidden_scale
without_quadrupole_misalignment,shared_target_local_ridge,0.0001,34.03290507139958,
without_quadrupole_misalignment,shared_target_local_ridge,0.00031622776601683794,34.03290491172813,
without_quadrupole_misalignment,shared_target_local_ridge,0.001,34.03290440680282,
without_quadrupole_misalignment,shared_target_local_ridge,0.0031622776601683794,34.032902810090434,
without_quadrupole_misalignment,shared_target_local_ridge,0.01,34.032897760858866,
without_quadrupole_misalignment,shared_target_local_ridge,0.03162277660168379,34.032881793950054,
without_quadrupole_misalignment,shared_target_local_ridge,0.1,34.032831303784874,
without_quadrupole_misalignment,shared_target_local_ridge,0.31622776601683794,34.03267165620028,
without_quadrupole_misalignment,shared_target_local_ridge,1.0,34.03216696953144,
without_quadrupole_misalignment,shared_target_local_ridge,3.1622776601683795,34.03057264188219,
without_quadrupole_misalignment,shared_target_local_ridge,10.0,34.02554720563706,
without_quadrupole_misalignment,shared_target_local_ridge,31.622776601683793,34.00981661851504,
without_quadrupole_misalignment,shared_target_local_ridge,100.0,33.961639459321816,
without_quadrupole_misalignment,shared_target_local_ridge,316.22776601683796,33.82366001698296,
without_quadrupole_misalignment,shared_target_local_ridge,1000.0,33.4990705422066,
without_quadrupole_misalignment,shared_target_local_ridge,3162.2776601683795,33.05458476894305,
without_quadrupole_misalignment,shared_target_local_ridge,10000.0,33.003462549388985,
without_quadrupole_misalignment,shared_joint_ridge,0.0001,36.56486381425559,
without_quadrupole_misalignment,shared_joint_ridge,0.00031622776601683794,36.56480853419619,
without_quadrupole_misalignment,shared_joint_ridge,0.001,36.564633735937804,
without_quadrupole_misalignment,shared_joint_ridge,0.0031622776601683794,36.56408110166119,
without_quadrupole_misalignment,shared_joint_ridge,0.01,36.56233478115607,
without_quadrupole_misalignment,shared_joint_ridge,0.03162277660168379,36.556825024784665,
without_quadrupole_misalignment,shared_joint_ridge,0.1,36.5395266042594,
without_quadrupole_misalignment,shared_joint_ridge,0.31622776601683794,36.48604355163913,
without_quadrupole_misalignment,shared_joint_ridge,1.0,36.32822435182202,
without_quadrupole_misalignment,shared_joint_ridge,3.1622776601683795,35.91996290248297,
without_quadrupole_misalignment,shared_joint_ridge,10.0,35.145479991827976,
without_quadrupole_misalignment,shared_joint_ridge,31.622776601683793,34.28615055993567,
without_quadrupole_misalignment,shared_joint_ridge,100.0,33.778887005609086,
without_quadrupole_misalignment,shared_joint_ridge,316.22776601683796,33.53045084787698,
without_quadrupole_misalignment,shared_joint_ridge,1000.0,33.2424785500768,
without_quadrupole_misalignment,shared_joint_ridge,3162.2776601683795,32.91030322780854,
without_quadrupole_misalignment,shared_joint_ridge,10000.0,32.96386491354237,
without_quadrupole_misalignment,shared_joint_random_feature,0.0001,35.80110746281197,0.5
without_quadrupole_misalignment,shared_joint_random_feature,0.00031622776601683794,35.80106010546728,0.5
without_quadrupole_misalignment,shared_joint_random_feature,0.001,35.80091036505319,0.5
without_quadrupole_misalignment,shared_joint_random_feature,0.0031622776601683794,35.80043701079978,0.5
without_quadrupole_misalignment,shared_joint_random_feature,0.01,35.798941796418255,0.5
without_quadrupole_misalignment,shared_joint_random_feature,0.03162277660168379,35.794230084601125,0.5
without_quadrupole_misalignment,shared_joint_random_feature,0.1,35.77949415641196,0.5
without_quadrupole_misalignment,shared_joint_random_feature,0.31622776601683794,35.73447527144992,0.5
without_quadrupole_misalignment,shared_joint_random_feature,1.0,35.60627595272627,0.5
without_quadrupole_misalignment,shared_joint_random_feature,3.1622776601683795,35.30469172859572,0.5
without_quadrupole_misalignment,shared_joint_random_feature,10.0,34.837077631859636,0.5
without_quadrupole_misalignment,shared_joint_random_feature,31.622776601683793,34.42886575932086,0.5
without_quadrupole_misalignment,shared_joint_random_feature,100.0,34.07363742688116,0.5
without_quadrupole_misalignment,shared_joint_random_feature,316.22776601683796,33.72667960106076,0.5
without_quadrupole_misalignment,shared_joint_random_feature,1000.0,33.42523309746515,0.5
without_quadrupole_misalignment,shared_joint_random_feature,3162.2776601683795,33.1123558215361,0.5
without_quadrupole_misalignment,shared_joint_random_feature,10000.0,33.03389049660072,0.5
without_quadrupole_misalignment,shared_joint_random_feature,0.0001,36.00362218258905,1.0
without_quadrupole_misalignment,shared_joint_random_feature,0.00031622776601683794,36.003594367474214,1.0
without_quadrupole_misalignment,shared_joint_random_feature,0.001,36.003506413981185,1.0
without_quadrupole_misalignment,shared_joint_random_feature,0.0031622776601683794,36.003228336826666,1.0
without_quadrupole_misalignment,shared_joint_random_feature,0.01,36.00234954138831,1.0
without_quadrupole_misalignment,shared_joint_random_feature,0.03162277660168379,35.999576151763044,1.0
without_quadrupole_misalignment,shared_joint_random_feature,0.1,35.99086160869244,1.0
without_quadrupole_misalignment,shared_joint_random_feature,0.31622776601683794,35.963849185451295,1.0
without_quadrupole_misalignment,shared_joint_random_feature,1.0,35.883542968907236,1.0
without_quadrupole_misalignment,shared_joint_random_feature,3.1622776601683795,35.67191486288818,1.0
without_quadrupole_misalignment,shared_joint_random_feature,10.0,35.25868063595969,1.0
without_quadrupole_misalignment,shared_joint_random_feature,31.622776601683793,34.78685327524876,1.0
without_quadrupole_misalignment,shared_joint_random_feature,100.0,34.405364309167496,1.0
without_quadrupole_misalignment,shared_joint_random_feature,316.22776601683796,33.98147365919004,1.0
without_quadrupole_misalignment,shared_joint_random_feature,1000.0,33.547319959913196,1.0
without_quadrupole_misalignment,shared_joint_random_feature,3162.2776601683795,33.16390779651069,1.0
without_quadrupole_misalignment,shared_joint_random_feature,10000.0,33.057893924105855,1.0
without_quadrupole_misalignment,shared_joint_random_feature,0.0001,36.26374077475222,2.0
without_quadrupole_misalignment,shared_joint_random_feature,0.00031622776601683794,36.263712595346774,2.0
without_quadrupole_misalignment,shared_joint_random_feature,0.001,36.2636234895457,2.0
without_quadrupole_misalignment,shared_joint_random_feature,0.0031622776601683794,36.26334176527567,2.0
without_quadrupole_misalignment,shared_joint_random_feature,0.01,36.26245140470784,2.0
without_quadrupole_misalignment,shared_joint_random_feature,0.03162277660168379,36.25964112450156,2.0
without_quadrupole_misalignment,shared_joint_random_feature,0.1,36.25080676859287,2.0
without_quadrupole_misalignment,shared_joint_random_feature,0.31622776601683794,36.22338483757028,2.0
