training_case,evaluation_case,model,held_out_machine_count,measurement_augmentations,fit_count,x_rmse_um,y_rmse_um,rmse_2d_um,median_2d_um,p90_2d_um,p95_2d_um,p99_2d_um,max_2d_um,fraction_below_50um,median_machine_rmse_2d_um,worst_machine_rmse_2d_um,worst_target_rmse_2d_um,preferred_30um_aggregate_gate,hard_50um_rmse_p99_all_target_gate
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,3,32,7296,25.922764869995024,21.880716785286204,33.92278740821505,24.715149241196613,54.06877542333682,64.49265411599879,86.55899120521022,124.28523795760663,0.8725328947368421,34.198035482266334,37.87185500732333,60.06972100288108,False,False
without_quadrupole_misalignment,without_quadrupole_misalignment,shared_target_local_ridge,3,32,7296,24.61900248311951,22.092774173883193,33.078481736047756,24.17675482445855,52.49112323139448,62.51125257070849,84.15870371937292,130.8179950614035,0.8788377192982456,33.05668677938568,37.656509320333434,60.87300686136639,False,False
without_quadrupole_misalignment,without_quadrupole_misalignment,shared_joint_ridge,3,32,7296,24.28683495489486,22.479921484868836,33.093764096762555,24.18380412966867,52.19565972822514,62.296157139745176,84.21652337177765,133.44739231433323,0.8819901315789473,33.0860770844907,37.893029129408895,62.313383034346984,False,False
without_quadrupole_misalignment,without_quadrupole_misalignment,shared_joint_random_feature,3,32,7296,24.499965135634774,22.314631665299377,33.138966157762084,24.317689116274195,52.369633517432476,62.79205227553291,84.47859691795966,134.89010882574706,0.8828125,33.23042107605164,37.98309936134409,62.63115953840235,False,False
with_quadrupole_misalignment,without_quadrupole_misalignment,shared_target_local_ridge,3,32,7296,25.938105152304164,24.72190249752358,35.83235635552106,28.2081333129418,55.249276404420975,63.97952601657479,84.56060550670125,114.14241970057415,0.8560855263157895,35.57510030100802,39.61930679957209,59.058337456154575,False,False
with_quadrupole_misalignment,without_quadrupole_misalignment,shared_joint_ridge,3,32,7296,25.91783395582719,24.70768100989985,35.807870892428035,28.17947342861183,55.11126175994232,63.95701702760353,84.32010101299961,114.01929772416567,0.8562225877192983,35.53197836757256,39.59327448990986,58.8790779470685,False,False
with_quadrupole_misalignment,without_quadrupole_misalignment,shared_joint_random_feature,3,32,7296,26.859951330107688,26.22224828726056,37.53749180079156,30.467539391989906,56.94338850892602,65.38730355087904,87.4267506353672,118.19071537368016,0.8348410087719298,37.229728825274094,41.0507335229928,65.68515780826381,False,False
fixed_nominal_physics,with_quadrupole_misalignment,physics_gls,3,32,7296,79.71201971654924,61.97570938692929,100.97026612475896,53.94671177571718,146.14189270834817,191.56686793193683,376.01263864999174,608.577216151811,0.4594298245614035,112.17964406399165,122.59872538802867,395.1660596625649,False,False
without_quadrupole_misalignment,with_quadrupole_misalignment,shared_target_local_ridge,3,32,7296,596.3832320383472,435.9233865422709,738.7165616059973,652.2989296102658,1064.7398279565894,1094.3920092181231,1174.2482913958288,1618.2450452666685,0.0,661.0718631817426,1056.4690384642197,1048.5495546239888,False,False
without_quadrupole_misalignment,with_quadrupole_misalignment,shared_joint_ridge,3,32,7296,593.9659431181675,483.47198640996874,765.8594539649264,691.227281492972,1095.6840241408158,1125.337540269263,1200.0970733972842,1642.967375692696,0.0,699.8479845601858,1087.9888432909152,1063.8775430985277,False,False
without_quadrupole_misalignment,with_quadrupole_misalignment,shared_joint_random_feature,3,32,7296,242.96690637442515,276.7661871622395,368.28309756148525,325.58771080850306,522.5968348425254,555.786188179128,617.1467200247612,1051.4843530474354,0.004523026315789474,342.07836064788864,518.0628431101517,661.5914648601242,False,False
with_quadrupole_misalignment,with_quadrupole_misalignment,shared_target_local_ridge,3,32,7296,77.650043653521,62.6874930089327,99.7960473121992,53.399714367580415,149.0799276770656,185.02823746691922,379.33036960883805,571.7996645388318,0.46573464912280704,108.67991949069756,121.16116795497214,361.0840681563894,False,False
with_quadrupole_misalignment,with_quadrupole_misalignment,shared_joint_ridge,3,32,7296,77.41663170149046,62.69335260267136,99.61822787305091,53.37374435673127,148.59514629630524,185.13308012975676,377.8444179397941,573.4186676588984,0.4682017543859649,108.70058700213932,120.64571482752721,362.5134710849344,False,False
with_quadrupole_misalignment,with_quadrupole_misalignment,shared_joint_random_feature,3,32,7296,76.53944914029135,62.979175749917744,99.11944235536374,54.01499723013248,147.28840563382698,183.895279026782,371.9176173057756,563.479666118801,0.4608004385964912,107.88670189644384,119.34146542692974,354.5701330783309,False,False
